,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,brits,russians,1369,1643,-1.9900476932525635,-1.1792746782302856,0.8107730150222778
1,brits,russians,1004,1919,-2.071511745452881,-1.7647746801376343,0.3067370653152466
2,brits,russians,1324,1947,-2.6441850662231445,-1.9629147052764893,0.6812703609466553
3,brits,russians,185,1629,-1.913922905921936,-1.4971145391464233,0.4168083667755127
4,brits,russians,79,1507,-1.508710503578186,-1.6007717847824097,-0.09206128120422363
5,brits,russians,485,787,-2.5038650035858154,-1.3783124685287476,1.1255525350570679
6,brits,russians,161,1384,-1.681667685508728,-1.7509268522262573,-0.0692591667175293
7,brits,russians,897,444,-1.2777576446533203,-2.277740240097046,-0.9999825954437256
8,brits,russians,1707,1006,-1.757053017616272,-2.435091733932495,-0.6780387163162231
9,brits,russians,1365,609,-1.69611394405365,-2.2197177410125732,-0.5236037969589233
10,brits,russians,1559,1877,-2.1937975883483887,-1.5123637914657593,0.6814337968826294
11,brits,russians,1376,1120,-1.5712798833847046,-2.065106153488159,-0.4938262701034546
12,brits,russians,122,1088,-1.6751922369003296,-1.5404824018478394,0.13470983505249023
13,brits,russians,522,191,-1.5722492933273315,-3.048182249069214,-1.4759329557418823
14,brits,russians,326,1552,-1.9314689636230469,-1.5883172750473022,0.34315168857574463
15,brits,russians,1342,1870,-2.357558012008667,-1.8172581195831299,0.5402998924255371
16,brits,russians,1141,298,-1.5018421411514282,-2.410734176635742,-0.908892035484314
17,brits,russians,1610,899,-1.987017035484314,-2.4911344051361084,-0.5041173696517944
18,brits,russians,1449,1437,-1.539313554763794,-1.786428451538086,-0.247114896774292
19,brits,russians,1943,1985,-1.833963394165039,-1.5098942518234253,0.32406914234161377
20,brits,russians,370,609,-2.1984739303588867,-1.5124424695968628,0.6860314607620239
21,brits,russians,1772,1721,-2.03755521774292,-1.9203083515167236,0.11724686622619629
22,brits,russians,961,1016,-1.9671299457550049,-1.2786606550216675,0.6884692907333374
23,brits,russians,1061,1391,-2.0398178100585938,-1.304834246635437,0.7349835634231567
24,brits,russians,1217,1922,-1.9970149993896484,-1.5738650560379028,0.4231499433517456
25,brits,russians,1584,15,-1.7441002130508423,-2.3792693614959717,-0.6351691484451294
26,brits,russians,1985,633,-1.673986792564392,-2.38647198677063,-0.7124851942062378
27,brits,russians,422,1129,-2.058720111846924,-1.5336068868637085,0.5251132249832153
28,brits,russians,545,508,-1.53305983543396,-2.230347156524658,-0.6972873210906982
29,brits,russians,1912,1575,-1.4414011240005493,-1.669501543045044,-0.22810041904449463
30,brits,russians,381,1644,-2.1895675659179688,-1.6473873853683472,0.5421801805496216
31,brits,russians,1238,1108,-1.1934559345245361,-2.042055606842041,-0.8485996723175049
32,brits,russians,1221,801,-1.5503267049789429,-2.002950429916382,-0.45262372493743896
33,brits,russians,1312,628,-1.7064402103424072,-1.8950194120407104,-0.18857920169830322
34,brits,russians,351,4,-1.4579946994781494,-1.6451336145401,-0.18713891506195068
35,brits,russians,1421,1528,-2.060441493988037,-1.415714144706726,0.644727349281311
36,brits,russians,247,192,-1.510532259941101,-2.782597303390503,-1.2720650434494019
37,brits,russians,55,551,-1.7996406555175781,-1.414939284324646,0.38470137119293213
38,brits,russians,1209,1318,-1.7444807291030884,-1.2741130590438843,0.4703676700592041
39,brits,russians,1630,1247,-1.7068928480148315,-2.224565267562866,-0.5176724195480347
40,brits,russians,1877,1980,-2.0724282264709473,-1.264658808708191,0.8077694177627563
41,brits,russians,21,906,-1.690264105796814,-1.3534765243530273,0.3367875814437866
42,brits,russians,433,50,-1.465958833694458,-2.231248617172241,-0.7652897834777832
43,brits,russians,1781,1701,-1.8376251459121704,-2.0171258449554443,-0.17950069904327393
44,brits,russians,167,1551,-1.9629429578781128,-1.4978982210159302,0.4650447368621826
45,brits,russians,1437,1498,-1.3955574035644531,-1.013750433921814,0.38180696964263916
46,brits,russians,1088,1138,-1.9567946195602417,-1.8393696546554565,0.11742496490478516
47,brits,russians,1272,253,-1.3091777563095093,-2.552989959716797,-1.2438122034072876
48,brits,russians,696,635,-1.5054916143417358,-2.310805320739746,-0.8053137063980103
49,brits,russians,592,332,-1.6447330713272095,-2.3236756324768066,-0.6789425611495972
