,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,mexicans,1949,968,-2.6955647468566895,-1.975437045097351,0.7201277017593384
1,french,mexicans,1272,1378,-2.1274662017822266,-1.0604501962661743,1.0670160055160522
2,french,mexicans,1637,107,-1.9172815084457397,-1.6750401258468628,0.24224138259887695
3,french,mexicans,1133,298,-1.9910238981246948,-1.6954965591430664,0.2955273389816284
4,french,mexicans,1670,1294,-1.867852807044983,-1.6418297290802002,0.22602307796478271
5,french,mexicans,461,1457,-2.300245761871338,-0.868269145488739,1.4319766163825989
6,french,mexicans,1108,929,-1.8968985080718994,-1.74382483959198,0.15307366847991943
7,french,mexicans,1949,822,-2.6595990657806396,-1.7469459772109985,0.9126530885696411
8,french,mexicans,920,1446,-2.485506772994995,-1.2270156145095825,1.2584911584854126
9,french,mexicans,1222,776,-1.8594053983688354,-1.7163959741592407,0.14300942420959473
10,french,mexicans,1066,1316,-2.445174217224121,-1.4367971420288086,1.0083770751953125
11,french,mexicans,936,370,-1.947640061378479,-1.8902126550674438,0.057427406311035156
12,french,mexicans,1083,812,-1.631609320640564,-1.5201889276504517,0.1114203929901123
13,french,mexicans,340,57,-2.013882875442505,-1.8796337842941284,0.13424909114837646
14,french,mexicans,1464,1743,-2.2733383178710938,-1.0831772089004517,1.190161108970642
15,french,mexicans,265,1208,-2.5507113933563232,-1.2670859098434448,1.2836254835128784
16,french,mexicans,1914,1239,-2.4810922145843506,-1.9416550397872925,0.5394371747970581
17,french,mexicans,537,1357,-2.1283323764801025,-0.8565260767936707,1.2718062996864319
18,french,mexicans,906,1939,-2.721585273742676,-1.2480952739715576,1.4734899997711182
19,french,mexicans,529,547,-2.3444137573242188,-1.3641250133514404,0.9802887439727783
20,french,mexicans,197,1461,-2.5902163982391357,-0.9116790890693665,1.6785373091697693
21,french,mexicans,732,1436,-2.4199624061584473,-1.1287916898727417,1.2911707162857056
22,french,mexicans,1934,1740,-2.5299770832061768,-1.7996437549591064,0.7303333282470703
23,french,mexicans,838,1266,-2.6576857566833496,-1.286769151687622,1.3709166049957275
24,french,mexicans,1213,1879,-2.372314214706421,-1.4412367343902588,0.9310774803161621
25,french,mexicans,11,1223,-1.8540241718292236,-0.9260508418083191,0.9279733300209045
26,french,mexicans,616,268,-2.1155011653900146,-1.9247655868530273,0.1907355785369873
27,french,mexicans,1170,1132,-1.841839075088501,-1.688668131828308,0.15317094326019287
28,french,mexicans,604,1416,-2.870763063430786,-1.2913092374801636,1.5794538259506226
29,french,mexicans,920,589,-1.9383801221847534,-1.8252090215682983,0.11317110061645508
30,french,mexicans,566,473,-2.2605512142181396,-1.7709388732910156,0.489612340927124
31,french,mexicans,9,394,-1.9187692403793335,-1.1890558004379272,0.7297134399414062
32,french,mexicans,338,689,-2.4452033042907715,-1.5330439805984497,0.9121593236923218
33,french,mexicans,406,730,-2.5540802478790283,-1.6410741806030273,0.913006067276001
34,french,mexicans,1702,1750,-2.5696473121643066,-1.2281712293624878,1.3414760828018188
35,french,mexicans,1177,1460,-2.464038372039795,-1.4373414516448975,1.0266969203948975
36,french,mexicans,1863,781,-2.552414655685425,-1.5852922201156616,0.9671224355697632
37,french,mexicans,1837,1899,-2.3571279048919678,-1.3884774446487427,0.9686504602432251
38,french,mexicans,755,1431,-2.657822847366333,-1.1721982955932617,1.4856245517730713
39,french,mexicans,378,123,-1.6529998779296875,-1.5191898345947266,0.13381004333496094
40,french,mexicans,1027,948,-1.5333435535430908,-1.6022666692733765,-0.06892311573028564
41,french,mexicans,1086,28,-2.0347633361816406,-1.61163330078125,0.4231300354003906
42,french,mexicans,821,535,-2.167274236679077,-1.7325795888900757,0.43469464778900146
43,french,mexicans,1910,1965,-2.4038538932800293,-1.5861918926239014,0.8176620006561279
44,french,mexicans,949,1015,-2.5037307739257812,-1.053904414176941,1.4498263597488403
45,french,mexicans,1690,1816,-2.526005268096924,-1.2721083164215088,1.253896951675415
46,french,mexicans,884,1205,-2.577960968017578,-1.1382707357406616,1.4396902322769165
47,french,mexicans,341,1497,-2.5812575817108154,-1.348683476448059,1.2325741052627563
48,french,mexicans,1238,628,-1.4843991994857788,-1.6303461790084839,-0.14594697952270508
49,french,mexicans,539,1466,-2.7923474311828613,-1.2815600633621216,1.5107873678207397
