,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,south africans,693,683,-2.0524282455444336,-1.730596899986267,0.3218313455581665
1,germans,south africans,905,1450,-2.220050573348999,-0.7836306691169739,1.4364199042320251
2,germans,south africans,1307,1485,-2.17969012260437,-1.0114816427230835,1.1682084798812866
3,germans,south africans,374,1266,-2.3288838863372803,-0.9035917520523071,1.4252921342849731
4,germans,south africans,455,611,-2.2606701850891113,-1.1081181764602661,1.1525520086288452
5,germans,south africans,1853,470,-2.519922971725464,-1.9737154245376587,0.5462075471878052
6,germans,south africans,1842,1571,-2.1155993938446045,-1.7145923376083374,0.4010070562362671
7,germans,south africans,1756,1515,-2.3384318351745605,-2.1272904872894287,0.21114134788513184
8,germans,south africans,673,1590,-2.4894750118255615,-1.1661652326583862,1.3233097791671753
9,germans,south africans,160,982,-2.4451825618743896,-0.811404824256897,1.6337777376174927
10,germans,south africans,1086,1872,-2.015639543533325,-1.0217424631118774,0.9938970804214478
11,germans,south africans,791,823,-1.844948172569275,-1.057824969291687,0.7871232032775879
12,germans,south africans,487,776,-2.2673089504241943,-1.2227238416671753,1.044585108757019
13,germans,south africans,1861,1820,-2.066208600997925,-1.6668819189071655,0.3993266820907593
14,germans,south africans,1766,1140,-1.9155739545822144,-1.8988255262374878,0.016748428344726562
15,germans,south africans,1080,1218,-2.102900981903076,-1.0341688394546509,1.0687321424484253
16,germans,south africans,1287,157,-1.9809845685958862,-1.7820650339126587,0.19891953468322754
17,germans,south africans,1884,930,-2.6145150661468506,-1.9032354354858398,0.7112796306610107
18,germans,south africans,607,1820,-2.635662317276001,-1.1934888362884521,1.4421734809875488
19,germans,south africans,1052,837,-1.8477575778961182,-2.0268924236297607,-0.17913484573364258
20,germans,south africans,1022,796,-1.5171676874160767,-1.7990334033966064,-0.2818657159805298
21,germans,south africans,773,510,-2.1894569396972656,-2.0601460933685303,0.12931084632873535
22,germans,south africans,1518,1054,-1.8655575513839722,-1.731648325920105,0.1339092254638672
23,germans,south africans,1106,1494,-2.0466747283935547,-1.020194172859192,1.0264805555343628
24,germans,south africans,501,1116,-2.889561891555786,-1.264190673828125,1.6253712177276611
25,germans,south africans,935,398,-1.6519269943237305,-1.5903273820877075,0.06159961223602295
26,germans,south africans,706,1947,-2.3085553646087646,-0.7414750456809998,1.567080318927765
27,germans,south africans,300,853,-2.408417224884033,-1.0799901485443115,1.3284270763397217
28,germans,south africans,540,1785,-2.7630650997161865,-1.1211010217666626,1.641964077949524
29,germans,south africans,1845,1236,-2.0056662559509277,-1.8700990676879883,0.13556718826293945
30,germans,south africans,1168,1330,-2.073585271835327,-1.1203092336654663,0.9532760381698608
31,germans,south africans,548,1993,-2.055392026901245,-0.6912075281143188,1.3641844987869263
32,germans,south africans,410,768,-2.291048049926758,-1.0398540496826172,1.2511940002441406
33,germans,south africans,1779,1160,-2.0568788051605225,-1.9774471521377563,0.07943165302276611
34,germans,south africans,233,1901,-2.4640653133392334,-1.1018093824386597,1.3622559309005737
35,germans,south africans,1527,1545,-1.8647857904434204,-1.0602858066558838,0.8044999837875366
36,germans,south africans,640,690,-1.9163187742233276,-0.9327482581138611,0.9835705161094666
37,germans,south africans,1702,1367,-1.3657234907150269,-1.6172727346420288,-0.25154924392700195
38,germans,south africans,539,1828,-2.3668503761291504,-1.1154532432556152,1.2513971328735352
39,germans,south africans,1157,853,-1.8763675689697266,-1.7573540210723877,0.11901354789733887
40,germans,south africans,1560,1708,-2.1663551330566406,-1.2909284830093384,0.8754266500473022
41,germans,south africans,1299,1297,-1.7946783304214478,-1.619940996170044,0.1747373342514038
42,germans,south africans,857,1837,-2.536816358566284,-1.2032333612442017,1.3335829973220825
43,germans,south africans,143,957,-2.4699018001556396,-0.986179769039154,1.4837220311164856
44,germans,south africans,1292,1662,-2.151585578918457,-1.0815536975860596,1.0700318813323975
45,germans,south africans,635,516,-1.967605471611023,-2.0134098529815674,-0.045804381370544434
46,germans,south africans,1314,1754,-1.9586995840072632,-0.9762649536132812,0.9824346303939819
47,germans,south africans,1233,1058,-1.475685715675354,-1.4691815376281738,0.006504178047180176
48,germans,south africans,853,1205,-2.5616159439086914,-1.1331214904785156,1.4284944534301758
49,germans,south africans,1513,232,-1.6112034320831299,-1.611087441444397,0.00011599063873291016
