,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,french,1702,1674,-1.8140099048614502,-1.9144439697265625,-0.1004340648651123
1,japanese,french,1028,546,-2.3948962688446045,-2.2732465267181396,0.12164974212646484
2,japanese,french,1709,1916,-2.2956080436706543,-1.6131067276000977,0.6825013160705566
3,japanese,french,783,1192,-2.65347957611084,-1.4908841848373413,1.1625953912734985
4,japanese,french,1002,1679,-2.872281074523926,-1.5417871475219727,1.3304939270019531
5,japanese,french,1543,1576,-2.4049599170684814,-1.7758152484893799,0.6291446685791016
6,japanese,french,1690,1058,-2.591533899307251,-2.2210075855255127,0.3705263137817383
7,japanese,french,1524,1219,-2.3015058040618896,-2.222583532333374,0.07892227172851562
8,japanese,french,646,1267,-2.957893133163452,-1.5814064741134644,1.3764866590499878
9,japanese,french,250,1045,-3.13795804977417,-1.7896060943603516,1.3483519554138184
10,japanese,french,556,1691,-3.311955690383911,-1.5466758012771606,1.7652798891067505
11,japanese,french,214,890,-2.9115333557128906,-1.2080515623092651,1.7034817934036255
12,japanese,french,153,1463,-2.9682047367095947,-1.328482747077942,1.6397219896316528
13,japanese,french,553,1891,-2.957054615020752,-1.6075142621994019,1.34954035282135
14,japanese,french,1934,523,-2.2013401985168457,-2.1005401611328125,0.1008000373840332
15,japanese,french,73,425,-2.905043363571167,-1.6746469736099243,1.2303963899612427
16,japanese,french,839,278,-2.1965434551239014,-2.0023295879364014,0.1942138671875
17,japanese,french,921,646,-2.0804011821746826,-2.283357620239258,-0.2029564380645752
18,japanese,french,735,435,-2.0772621631622314,-2.5514047145843506,-0.47414255142211914
19,japanese,french,1267,10,-2.6086959838867188,-2.351044178009033,0.25765180587768555
20,japanese,french,1721,1080,-2.499028444290161,-2.346264600753784,0.15276384353637695
21,japanese,french,210,938,-3.1034581661224365,-1.2740694284439087,1.8293887376785278
22,japanese,french,297,488,-2.7774276733398438,-1.5125106573104858,1.264917016029358
23,japanese,french,859,1996,-2.4397079944610596,-1.5887764692306519,0.8509315252304077
24,japanese,french,119,206,-2.9642515182495117,-1.5886449813842773,1.3756065368652344
25,japanese,french,842,666,-1.9342803955078125,-2.4257638454437256,-0.4914834499359131
26,japanese,french,1510,384,-2.403390645980835,-2.6013429164886475,-0.1979522705078125
27,japanese,french,40,354,-2.8771445751190186,-1.758379340171814,1.1187652349472046
28,japanese,french,1033,852,-2.285856008529663,-2.0855207443237305,0.20033526420593262
29,japanese,french,1293,527,-2.1878888607025146,-2.2490694522857666,-0.06118059158325195
30,japanese,french,572,129,-2.46907114982605,-2.4807188510894775,-0.011647701263427734
31,japanese,french,644,1778,-3.0784833431243896,-1.6176395416259766,1.460843801498413
32,japanese,french,657,1838,-3.1215031147003174,-1.602142572402954,1.5193605422973633
33,japanese,french,1276,131,-2.6672890186309814,-2.9413702487945557,-0.2740812301635742
34,japanese,french,1784,1661,-2.4092087745666504,-1.945315957069397,0.4638928174972534
35,japanese,french,1731,870,-2.6536149978637695,-2.40802264213562,0.24559235572814941
36,japanese,french,1526,606,-2.6682369709014893,-2.6868653297424316,-0.018628358840942383
37,japanese,french,960,1832,-2.794717788696289,-1.5620174407958984,1.2327003479003906
38,japanese,french,1282,877,-2.2138671875,-2.096745252609253,0.11712193489074707
39,japanese,french,83,490,-2.9653589725494385,-1.667109727859497,1.2982492446899414
40,japanese,french,1194,1638,-2.936757802963257,-1.6447590589523315,1.2919987440109253
41,japanese,french,1045,372,-2.5491504669189453,-2.239305019378662,0.3098454475402832
42,japanese,french,1804,1871,-1.828474998474121,-1.4590320587158203,0.3694429397583008
43,japanese,french,1690,1113,-2.5735433101654053,-2.2251827716827393,0.348360538482666
44,japanese,french,1418,1091,-2.5791382789611816,-2.1941189765930176,0.38501930236816406
45,japanese,french,713,158,-2.556192398071289,-2.7246127128601074,-0.16842031478881836
46,japanese,french,377,1463,-3.1947829723358154,-1.3928955793380737,1.8018873929977417
47,japanese,french,163,1713,-3.123321533203125,-1.5404071807861328,1.5829143524169922
48,japanese,french,1130,1311,-2.993828296661377,-2.0676937103271484,0.9261345863342285
49,japanese,french,1328,76,-2.730278730392456,-2.3966519832611084,0.33362674713134766
