,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,palestinians,1224,95,-2.312385320663452,-1.9742491245269775,0.3381361961364746
1,japanese,palestinians,275,1529,-2.3482491970062256,-0.9561142325401306,1.392134964466095
2,japanese,palestinians,83,699,-2.505774736404419,-1.4682015180587769,1.037573218345642
3,japanese,palestinians,1503,21,-2.1755518913269043,-1.5540536642074585,0.6214982271194458
4,japanese,palestinians,1260,806,-2.1326658725738525,-1.67816162109375,0.45450425148010254
5,japanese,palestinians,3,84,-2.1849865913391113,-1.6465038061141968,0.5384827852249146
6,japanese,palestinians,1199,65,-2.0532689094543457,-1.602364420890808,0.4509044885635376
7,japanese,palestinians,1498,1823,-2.3149216175079346,-1.0200692415237427,1.294852375984192
8,japanese,palestinians,1309,1752,-2.13692307472229,-1.1250380277633667,1.0118850469589233
9,japanese,palestinians,1010,684,-2.0893473625183105,-1.5017869472503662,0.5875604152679443
10,japanese,palestinians,1019,764,-1.9511409997940063,-1.3752408027648926,0.5759001970291138
11,japanese,palestinians,1950,398,-2.3691296577453613,-1.54043447971344,0.8286951780319214
12,japanese,palestinians,391,942,-2.0164077281951904,-1.0680900812149048,0.9483176469802856
13,japanese,palestinians,74,620,-2.512986898422241,-1.5765066146850586,0.9364802837371826
14,japanese,palestinians,476,1816,-2.527484655380249,-1.0611032247543335,1.4663814306259155
15,japanese,palestinians,505,1330,-2.6360509395599365,-0.9815188646316528,1.6545320749282837
16,japanese,palestinians,1397,1490,-2.077023506164551,-0.7607188820838928,1.316304624080658
17,japanese,palestinians,1360,185,-2.276263952255249,-1.844458818435669,0.4318051338195801
18,japanese,palestinians,322,913,-2.146291494369507,-1.302990198135376,0.8433012962341309
19,japanese,palestinians,1635,1806,-2.487623691558838,-1.310457706451416,1.1771659851074219
20,japanese,palestinians,870,506,-2.1046950817108154,-1.6478716135025024,0.456823468208313
21,japanese,palestinians,1501,365,-1.9435310363769531,-1.5065168142318726,0.43701422214508057
22,japanese,palestinians,888,22,-2.4793612957000732,-1.714093804359436,0.7652674913406372
23,japanese,palestinians,1510,609,-2.464529037475586,-1.6993656158447266,0.7651634216308594
24,japanese,palestinians,1665,1064,-2.37219500541687,-1.9397567510604858,0.4324382543563843
25,japanese,palestinians,240,839,-2.330212116241455,-1.334408164024353,0.995803952217102
26,japanese,palestinians,739,1938,-2.3378007411956787,-1.2022943496704102,1.1355063915252686
27,japanese,palestinians,1806,1451,-2.28751277923584,-1.4192047119140625,0.8683080673217773
28,japanese,palestinians,47,1166,-2.5585105419158936,-1.1825950145721436,1.37591552734375
29,japanese,palestinians,500,1028,-2.604511260986328,-1.0423309803009033,1.5621802806854248
30,japanese,palestinians,1662,527,-2.182213306427002,-1.7727177143096924,0.40949559211730957
31,japanese,palestinians,1507,1357,-1.9257677793502808,-1.5055079460144043,0.42025983333587646
32,japanese,palestinians,1973,1973,-2.357388734817505,-1.9771941900253296,0.3801945447921753
33,japanese,palestinians,1230,642,-2.32643723487854,-1.6646442413330078,0.6617929935455322
34,japanese,palestinians,1461,983,-1.760250449180603,-1.3981480598449707,0.3621023893356323
35,japanese,palestinians,453,1266,-2.35980486869812,-0.7149769067764282,1.644827961921692
36,japanese,palestinians,1278,1693,-2.138957977294922,-1.035854697227478,1.1031032800674438
37,japanese,palestinians,846,1024,-2.356998920440674,-0.9252082109451294,1.4317907094955444
38,japanese,palestinians,1181,132,-2.0834832191467285,-1.7188373804092407,0.3646458387374878
39,japanese,palestinians,1778,1762,-1.8641067743301392,-0.8656852841377258,0.9984214901924133
40,japanese,palestinians,718,61,-1.8997337818145752,-1.6899925470352173,0.2097412347793579
41,japanese,palestinians,1342,998,-1.6783008575439453,-1.4817670583724976,0.19653379917144775
42,japanese,palestinians,722,1176,-2.4299843311309814,-1.2891383171081543,1.1408460140228271
43,japanese,palestinians,850,1383,-2.325326919555664,-0.8765103220939636,1.4488165974617004
44,japanese,palestinians,940,603,-1.9330066442489624,-1.5473963022232056,0.38561034202575684
45,japanese,palestinians,565,1412,-2.503065824508667,-0.8987067341804504,1.6043590903282166
46,japanese,palestinians,958,97,-2.2854995727539062,-2.0083491802215576,0.27715039253234863
47,japanese,palestinians,1214,1805,-2.3917322158813477,-1.1909350156784058,1.200797200202942
48,japanese,palestinians,116,1684,-2.37768292427063,-1.337654948234558,1.0400279760360718
49,japanese,palestinians,698,248,-2.1582093238830566,-1.6975914239883423,0.46061789989471436
