,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,palestinians,ukrainians,428,708,-2.1995460987091064,-1.4392411708831787,0.7603049278259277
1,palestinians,ukrainians,1727,490,-2.461665391921997,-1.8759602308273315,0.5857051610946655
2,palestinians,ukrainians,25,1032,-2.983858823776245,-1.3280078172683716,1.6558510065078735
3,palestinians,ukrainians,700,1900,-2.0782134532928467,-1.4395606517791748,0.6386528015136719
4,palestinians,ukrainians,697,420,-1.6537147760391235,-1.329559564590454,0.32415521144866943
5,palestinians,ukrainians,1705,1034,-2.099236011505127,-1.68157958984375,0.41765642166137695
6,palestinians,ukrainians,218,1633,-2.4402928352355957,-1.107429027557373,1.3328638076782227
7,palestinians,ukrainians,1198,1124,-1.9378044605255127,-1.6556453704833984,0.28215909004211426
8,palestinians,ukrainians,394,34,-1.7799742221832275,-1.174643874168396,0.6053303480148315
9,palestinians,ukrainians,797,330,-2.0096912384033203,-1.4104745388031006,0.5992166996002197
10,palestinians,ukrainians,1147,120,-2.136201858520508,-1.3732463121414185,0.7629555463790894
11,palestinians,ukrainians,665,143,-2.171858549118042,-1.480160117149353,0.691698431968689
12,palestinians,ukrainians,1045,683,-2.3591713905334473,-1.650119662284851,0.7090517282485962
13,palestinians,ukrainians,1669,504,-2.4857425689697266,-1.9619072675704956,0.523835301399231
14,palestinians,ukrainians,99,468,-2.7384824752807617,-1.1659892797470093,1.5724931955337524
15,palestinians,ukrainians,1321,448,-2.2582180500030518,-1.5899721384048462,0.6682459115982056
16,palestinians,ukrainians,1157,1437,-2.5798823833465576,-1.1663817167282104,1.4135006666183472
17,palestinians,ukrainians,1124,1219,-2.418217420578003,-1.2683273553848267,1.1498900651931763
18,palestinians,ukrainians,1887,344,-2.2200772762298584,-1.338321566581726,0.8817557096481323
19,palestinians,ukrainians,264,1896,-3.105891466140747,-1.3876174688339233,1.7182739973068237
20,palestinians,ukrainians,341,449,-2.366915464401245,-1.5265164375305176,0.8403990268707275
21,palestinians,ukrainians,1558,422,-2.412287473678589,-1.7451575994491577,0.6671298742294312
22,palestinians,ukrainians,172,1960,-2.1933553218841553,-1.161478042602539,1.0318772792816162
23,palestinians,ukrainians,409,562,-2.318779706954956,-1.4833091497421265,0.8354705572128296
24,palestinians,ukrainians,1219,174,-1.9792393445968628,-1.4893442392349243,0.4898951053619385
25,palestinians,ukrainians,1346,1675,-2.900847911834717,-1.5167769193649292,1.3840709924697876
26,palestinians,ukrainians,1818,158,-2.1249139308929443,-1.4545986652374268,0.6703152656555176
27,palestinians,ukrainians,1940,413,-2.4694321155548096,-1.7342275381088257,0.7352045774459839
28,palestinians,ukrainians,1576,1571,-2.471334218978882,-1.7537946701049805,0.7175395488739014
29,palestinians,ukrainians,763,271,-2.1512444019317627,-1.468661904335022,0.6825824975967407
30,palestinians,ukrainians,1429,893,-2.3523921966552734,-1.5812041759490967,0.7711880207061768
31,palestinians,ukrainians,284,1682,-2.515085220336914,-1.2888737916946411,1.226211428642273
32,palestinians,ukrainians,100,1955,-2.0876224040985107,-0.8245539665222168,1.263068437576294
33,palestinians,ukrainians,705,949,-2.6222987174987793,-1.2903765439987183,1.331922173500061
34,palestinians,ukrainians,1541,1006,-2.488267660140991,-1.8709772825241089,0.6172903776168823
35,palestinians,ukrainians,1729,99,-1.9427772760391235,-1.02191162109375,0.9208656549453735
36,palestinians,ukrainians,481,485,-2.4295408725738525,-1.4173771142959595,1.012163758277893
37,palestinians,ukrainians,573,1775,-2.7646281719207764,-1.400343418121338,1.3642847537994385
38,palestinians,ukrainians,1050,667,-2.425250291824341,-1.9106937646865845,0.5145565271377563
39,palestinians,ukrainians,1865,47,-2.092474937438965,-1.2612096071243286,0.8312653303146362
40,palestinians,ukrainians,580,15,-2.044196844100952,-1.3428434133529663,0.7013534307479858
41,palestinians,ukrainians,276,1227,-2.301025152206421,-1.2064707279205322,1.0945544242858887
42,palestinians,ukrainians,1884,1983,-2.207378387451172,-1.1897810697555542,1.0175973176956177
43,palestinians,ukrainians,887,715,-2.0163912773132324,-1.513762354850769,0.5026289224624634
44,palestinians,ukrainians,135,210,-2.550424575805664,-1.644112229347229,0.9063123464584351
45,palestinians,ukrainians,1758,104,-2.3494186401367188,-1.7972452640533447,0.552173376083374
46,palestinians,ukrainians,67,836,-2.2414844036102295,-1.3661718368530273,0.8753125667572021
47,palestinians,ukrainians,1344,1238,-2.2280728816986084,-1.760781168937683,0.4672917127609253
48,palestinians,ukrainians,1653,1790,-2.6489202976226807,-1.401118516921997,1.2478017807006836
49,palestinians,ukrainians,1965,869,-2.7432756423950195,-2.1059632301330566,0.6373124122619629
