,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,russians,ukrainians,472,1076,-2.3298630714416504,-1.133103370666504,1.1967597007751465
1,russians,ukrainians,1192,1054,-1.3954886198043823,-1.4750523567199707,-0.07956373691558838
2,russians,ukrainians,1365,1961,-2.1737730503082275,-1.1708382368087769,1.0029348134994507
3,russians,ukrainians,1320,953,-1.897718071937561,-1.8201080560684204,0.07761001586914062
4,russians,ukrainians,785,1813,-2.269350290298462,-1.1379518508911133,1.1313984394073486
5,russians,ukrainians,1086,1243,-1.982725739479065,-0.8965490460395813,1.0861766934394836
6,russians,ukrainians,1438,75,-1.4190601110458374,-0.8954668045043945,0.5235933065414429
7,russians,ukrainians,58,998,-1.9033266305923462,-0.7805790901184082,1.122747540473938
8,russians,ukrainians,997,1003,-1.924661636352539,-0.4826064109802246,1.4420552253723145
9,russians,ukrainians,1800,1600,-1.234012484550476,-1.8256800174713135,-0.5916675329208374
10,russians,ukrainians,1364,1180,-1.8797584772109985,-1.5371294021606445,0.342629075050354
11,russians,ukrainians,6,47,-2.3521974086761475,-1.2042161226272583,1.1479812860488892
12,russians,ukrainians,828,547,-1.6200412511825562,-1.5953596830368042,0.024681568145751953
13,russians,ukrainians,1330,346,-1.966264009475708,-1.1267327070236206,0.8395313024520874
14,russians,ukrainians,631,393,-2.1619999408721924,-1.7898902893066406,0.37210965156555176
15,russians,ukrainians,886,1014,-2.485041856765747,-0.9623793959617615,1.5226624608039856
16,russians,ukrainians,261,142,-1.6421982049942017,-1.497229814529419,0.14496839046478271
17,russians,ukrainians,647,1961,-2.655413866043091,-1.0552382469177246,1.6001756191253662
18,russians,ukrainians,1811,942,-1.8645771741867065,-1.292028784751892,0.5725483894348145
19,russians,ukrainians,954,733,-2.020037889480591,-1.6336826086044312,0.38635528087615967
20,russians,ukrainians,737,1391,-2.198366641998291,-1.0024036169052124,1.1959630250930786
21,russians,ukrainians,884,696,-1.6500657796859741,-1.431554913520813,0.21851086616516113
22,russians,ukrainians,1494,1007,-1.726785659790039,-1.6455042362213135,0.08128142356872559
23,russians,ukrainians,1503,1426,-1.4599087238311768,-1.0882079601287842,0.3717007637023926
24,russians,ukrainians,1531,1656,-1.8916863203048706,-0.7961652874946594,1.0955210328102112
25,russians,ukrainians,1974,1189,-2.045496940612793,-1.112544298171997,0.9329526424407959
26,russians,ukrainians,621,1401,-2.4036338329315186,-1.1907835006713867,1.2128503322601318
27,russians,ukrainians,312,882,-2.372487783432007,-1.0142751932144165,1.3582125902175903
28,russians,ukrainians,1483,1557,-1.8289002180099487,-0.9532201886177063,0.8756800293922424
29,russians,ukrainians,750,1024,-2.0963735580444336,-0.8390194773674011,1.2573540806770325
30,russians,ukrainians,1799,1110,-1.8623799085617065,-1.5525765419006348,0.3098033666610718
31,russians,ukrainians,399,1478,-2.55975079536438,-1.3157663345336914,1.2439844608306885
32,russians,ukrainians,1710,233,-2.1055922508239746,-1.3895854949951172,0.7160067558288574
33,russians,ukrainians,1608,1739,-2.0787112712860107,-1.0751197338104248,1.003591537475586
34,russians,ukrainians,241,1222,-2.336515188217163,-0.8632198572158813,1.4732953310012817
35,russians,ukrainians,647,1624,-2.5429515838623047,-1.2681204080581665,1.2748311758041382
36,russians,ukrainians,876,600,-1.5489424467086792,-1.4564968347549438,0.09244561195373535
37,russians,ukrainians,1750,1996,-2.2786478996276855,-1.2268328666687012,1.0518150329589844
38,russians,ukrainians,13,138,-2.1048927307128906,-1.1728888750076294,0.9320038557052612
39,russians,ukrainians,57,445,-2.08738374710083,-0.8897765278816223,1.1976072192192078
40,russians,ukrainians,181,1094,-2.3328545093536377,-0.888150155544281,1.4447043538093567
41,russians,ukrainians,1878,263,-2.2021543979644775,-1.2168720960617065,0.985282301902771
42,russians,ukrainians,793,1622,-2.3141701221466064,-1.0670820474624634,1.247088074684143
43,russians,ukrainians,1304,782,-1.4262266159057617,-1.3213391304016113,0.10488748550415039
44,russians,ukrainians,1872,1114,-1.9903234243392944,-1.398041009902954,0.5922824144363403
45,russians,ukrainians,1911,1862,-1.8504444360733032,-0.9577187895774841,0.8927256464958191
46,russians,ukrainians,1688,418,-1.9485714435577393,-1.4487614631652832,0.49980998039245605
47,russians,ukrainians,875,346,-1.424648642539978,-1.3135473728179932,0.11110126972198486
48,russians,ukrainians,988,1599,-2.543593645095825,-1.084506630897522,1.4590870141983032
49,russians,ukrainians,96,1275,-2.096550703048706,-0.850307285785675,1.246243417263031
