,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,germans,1176,621,-0.270556777715683,-0.5759462118148804,-0.3053894340991974
1,americans,germans,907,633,-0.5574874877929688,-0.7254030108451843,-0.16791552305221558
2,americans,germans,397,932,-0.4912123382091522,-0.29616743326187134,0.19504490494728088
3,americans,germans,944,1185,-0.6162173748016357,-0.2026643604040146,0.41355301439762115
4,americans,germans,1554,1715,-0.8963716626167297,-0.1984058916568756,0.6979657709598541
5,americans,germans,802,1155,-0.795735776424408,-0.2752642035484314,0.5204715728759766
6,americans,germans,1260,1606,-1.0134855508804321,-0.2114713191986084,0.8020142316818237
7,americans,germans,1246,140,-0.2808085083961487,-0.7797294855117798,-0.4989209771156311
8,americans,germans,657,367,-0.6233054995536804,-0.6357357501983643,-0.012430250644683838
9,americans,germans,1728,1024,-0.2944863736629486,-0.6025774478912354,-0.30809107422828674
10,americans,germans,1279,1614,-0.896821141242981,-0.18755336105823517,0.7092677801847458
11,americans,germans,1581,1250,-0.5576936602592468,-0.7519471049308777,-0.19425344467163086
12,americans,germans,1142,1451,-0.9052830934524536,0.05885658413171768,0.9641396775841713
13,americans,germans,851,528,-0.4739302098751068,-0.7375712394714355,-0.26364102959632874
14,americans,germans,519,22,-0.47650814056396484,-0.7704381942749023,-0.2939300537109375
15,americans,germans,211,44,-0.7942419052124023,-0.8627811670303345,-0.06853926181793213
16,americans,germans,934,552,-0.4283509850502014,-0.6587821841239929,-0.2304311990737915
17,americans,germans,1158,1955,-0.8737211227416992,-0.3002283275127411,0.5734927952289581
18,americans,germans,1422,1164,-0.5323823690414429,-0.7127653956413269,-0.18038302659988403
19,americans,germans,1020,419,-0.2963889241218567,-0.6247956156730652,-0.3284066915512085
20,americans,germans,1935,632,0.08203931152820587,-0.6248171925544739,-0.7068565040826797
21,americans,germans,932,580,-0.4553965628147125,-0.7077030539512634,-0.2523064911365509
22,americans,germans,496,1628,-0.9371582865715027,-0.460733562707901,0.4764247238636017
23,americans,germans,635,693,-0.8693866729736328,-0.4319034516811371,0.4374832212924957
24,americans,germans,1140,1673,-1.0419310331344604,-0.17078320682048798,0.8711478263139725
25,americans,germans,1959,266,0.004030847456306219,-0.6811201572418213,-0.6851510046981275
26,americans,germans,739,1838,-0.5023154616355896,-0.22504746913909912,0.2772679924964905
27,americans,germans,677,1096,-0.6572127938270569,-0.25098493695259094,0.40622785687446594
28,americans,germans,1610,1701,-0.9538688659667969,-0.45906978845596313,0.49479907751083374
29,americans,germans,1343,1881,-1.0470236539840698,-0.4128040373325348,0.634219616651535
30,americans,germans,712,589,-0.4303322434425354,-0.6505696773529053,-0.22023743391036987
31,americans,germans,1677,1105,-0.7749194502830505,-0.8453183174133301,-0.07039886713027954
32,americans,germans,702,1796,-0.7778526544570923,-0.290010005235672,0.4878426492214203
33,americans,germans,262,148,-0.8239070773124695,-0.7980096936225891,0.02589738368988037
34,americans,germans,1696,852,-0.4249764382839203,-0.6468620300292969,-0.2218855917453766
35,americans,germans,1424,416,-0.031125759705901146,-0.7139983177185059,-0.6828725580126047
36,americans,germans,1264,35,-0.16607625782489777,-0.7616464495658875,-0.5955701917409897
37,americans,germans,1558,43,-0.13903799653053284,-0.7371516227722168,-0.598113626241684
38,americans,germans,1139,1221,-1.0383362770080566,-0.1502644270658493,0.8880718499422073
39,americans,germans,1294,1115,-0.5468347668647766,-0.6965438723564148,-0.14970910549163818
40,americans,germans,936,359,-0.5612321496009827,-0.818922221660614,-0.25769007205963135
41,americans,germans,1564,424,-0.18886564671993256,-0.7376670837402344,-0.5488014370203018
42,americans,germans,347,1738,-0.6439937949180603,-0.15317535400390625,0.49081844091415405
43,americans,germans,155,788,-0.9261030554771423,-0.18513722717761993,0.7409658282995224
44,americans,germans,1430,1616,-0.8818641901016235,-0.19225406646728516,0.6896101236343384
45,americans,germans,1062,1955,-0.9003269076347351,-0.326240599155426,0.5740863084793091
46,americans,germans,502,395,-0.49725958704948425,-0.6546564102172852,-0.1573968231678009
47,americans,germans,698,802,-0.6190716028213501,-0.3878280818462372,0.23124352097511292
48,americans,germans,1116,828,-0.6047539114952087,-0.6107609868049622,-0.006007075309753418
49,americans,germans,231,699,-0.9945761561393738,-0.25678750872612,0.7377886474132538
50,americans,brits,116,237,-0.5142201781272888,-0.2434215098619461,0.2707986682653427
51,americans,brits,691,1949,-0.6284339427947998,-0.5285719633102417,0.0998619794845581
52,americans,brits,889,1532,-0.4663224220275879,-0.20837147533893585,0.25795094668865204
53,americans,brits,1508,945,-0.21898868680000305,-0.512526273727417,-0.29353758692741394
54,americans,brits,795,261,-0.41539907455444336,-0.6229615807533264,-0.20756250619888306
55,americans,brits,1825,1250,-0.4809250831604004,-0.7507231831550598,-0.2697980999946594
56,americans,brits,929,1206,-0.43038201332092285,-0.17556574940681458,0.2548162639141083
57,americans,brits,792,129,-0.41354355216026306,-0.6675599813461304,-0.2540164291858673
58,americans,brits,1707,1792,-0.5555639863014221,-0.37344878911972046,0.18211519718170166
59,americans,brits,169,1385,-0.7115505337715149,-0.06503887474536896,0.6465116590261459
60,americans,brits,1799,1315,-0.3216371536254883,-0.6749507188796997,-0.3533135652542114
61,americans,brits,1966,495,-0.022656846791505814,-0.5987867712974548,-0.576129924505949
62,americans,brits,697,902,-0.45511409640312195,-0.18152983486652374,0.2735842615365982
63,americans,brits,216,1217,-0.5171151161193848,0.10720844566822052,0.6243235617876053
64,americans,brits,1537,1685,-0.6431566476821899,-0.0946136936545372,0.5485429540276527
65,americans,brits,1074,1888,-0.7560828328132629,-0.3708089590072632,0.38527387380599976
66,americans,brits,1521,7,0.2982192933559418,-0.7381205558776855,-1.0363398492336273
67,americans,brits,357,528,-0.45888814330101013,-0.2024054378271103,0.25648270547389984
68,americans,brits,1424,810,-0.1481468230485916,-0.5168144106864929,-0.3686675876379013
69,americans,brits,208,1567,-0.5647629499435425,0.05966293811798096,0.6244258880615234
70,americans,brits,62,1881,-0.6384033560752869,-0.5282596945762634,0.11014366149902344
71,americans,brits,1301,113,-0.18817205727100372,-0.6432018876075745,-0.45502983033657074
72,americans,brits,1997,196,0.3176600933074951,-0.6816744804382324,-0.9993345737457275
73,americans,brits,1679,1362,-0.3571150004863739,-0.7177701592445374,-0.36065515875816345
74,americans,brits,875,361,-0.3911665380001068,-0.646770179271698,-0.2556036412715912
75,americans,brits,49,828,-0.5718740820884705,-0.08014459908008575,0.4917294830083847
76,americans,brits,1455,61,0.08736345916986465,-0.5712922811508179,-0.6586557403206825
77,americans,brits,16,1886,-0.7204074859619141,-0.527788519859314,0.1926189661026001
78,americans,brits,650,1799,-0.5995920300483704,-0.1968478411436081,0.40274418890476227
79,americans,brits,983,1307,-0.350731760263443,-0.21916258335113525,0.13156917691230774
80,americans,brits,1696,974,-0.2252001017332077,-0.4917881190776825,-0.2665880173444748
81,americans,brits,779,429,-0.3779325485229492,-0.5914167761802673,-0.21348422765731812
82,americans,brits,1315,1590,-0.583335280418396,0.0012949705123901367,0.5846302509307861
83,americans,brits,636,992,-0.46238765120506287,-0.11911876499652863,0.34326888620853424
84,americans,brits,1320,1902,-0.6956119537353516,-0.1920943260192871,0.5035176277160645
85,americans,brits,1410,1157,-0.3553827404975891,-0.7336668372154236,-0.3782840967178345
86,americans,brits,626,1889,-0.6292798519134521,-0.5634824633598328,0.06579738855361938
87,americans,brits,1798,319,-0.20255951583385468,-0.6829275488853455,-0.4803680330514908
88,americans,brits,491,1747,-0.5614383220672607,-0.2736947238445282,0.28774359822273254
89,americans,brits,687,317,-0.4285416305065155,-0.6160740852355957,-0.1875324547290802
90,americans,brits,558,1733,-0.6645979881286621,-0.3140714764595032,0.35052651166915894
91,americans,brits,1932,812,-0.1770656406879425,-0.4866963326931,-0.30963069200515747
92,americans,brits,1778,1891,-0.7182332873344421,-0.5320422649383545,0.18619102239608765
93,americans,brits,857,1393,-0.5238978266716003,-0.21967284381389618,0.30422498285770416
94,americans,brits,1133,1008,-0.40995675325393677,-0.683509886264801,-0.27355313301086426
95,americans,brits,1752,1770,-0.45653238892555237,-0.8130573630332947,-0.3565249741077423
96,americans,brits,598,260,-0.5310859084129333,-0.6386393308639526,-0.10755342245101929
97,americans,brits,1536,506,-0.139550119638443,-0.585324764251709,-0.445774644613266
98,americans,brits,1864,1317,-0.3905678987503052,-0.7571195960044861,-0.3665516972541809
99,americans,brits,349,669,-0.44029465317726135,-0.1992882341146469,0.24100641906261444
100,americans,canadians,1608,1293,-0.44976806640625,-0.9001116752624512,-0.45034360885620117
101,americans,canadians,321,798,-0.542273759841919,-0.3374139964580536,0.20485976338386536
102,americans,canadians,444,857,-0.4488011300563812,-0.34693413972854614,0.10186699032783508
103,americans,canadians,1017,1288,-0.6167442202568054,-0.018363429233431816,0.5983807910233736
104,americans,canadians,1823,1855,-0.8385273218154907,-0.3094803988933563,0.5290469229221344
105,americans,canadians,1984,363,-0.30231937766075134,-0.5522154569625854,-0.2498960793018341
106,americans,canadians,909,745,-0.3043110966682434,-0.7243451476097107,-0.4200340509414673
107,americans,canadians,559,599,-0.4748363196849823,-0.49881288409233093,-0.023976564407348633
108,americans,canadians,31,6,-0.42596301436424255,-0.6658281683921814,-0.23986515402793884
109,americans,canadians,381,1598,-0.5102344155311584,-0.024716854095458984,0.48551756143569946
110,americans,canadians,375,1582,-0.5568107962608337,-0.041985608637332916,0.5148251876235008
111,americans,canadians,1436,275,-0.16510522365570068,-0.6982347369194031,-0.5331295132637024
112,americans,canadians,1076,1682,-0.6964303851127625,-0.006852149963378906,0.6895782351493835
113,americans,canadians,1892,1582,-0.4945065975189209,-0.7543911337852478,-0.2598845362663269
114,americans,canadians,1137,117,-0.13125823438167572,-0.5840632319450378,-0.4528049975633621
115,americans,canadians,1939,1106,-0.3978027105331421,-0.8823732733726501,-0.48457056283950806
116,americans,canadians,1910,1675,-0.5314223170280457,-0.8641470074653625,-0.3327246904373169
117,americans,canadians,1091,1259,-0.7130903601646423,-0.00815520342439413,0.7049351567402482
118,americans,canadians,1515,1058,-0.33387431502342224,-0.7399539947509766,-0.4060796797275543
119,americans,canadians,80,1364,-0.5775931477546692,-0.14450712502002716,0.43308602273464203
120,americans,canadians,129,1257,-0.5729334354400635,-0.17517538368701935,0.39775805175304413
121,americans,canadians,1483,1172,-0.22120366990566254,-0.752652645111084,-0.5314489752054214
122,americans,canadians,646,1248,-0.5345496535301208,-0.19059328734874725,0.3439563661813736
