,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,indonesians,1190,1969,-1.653447151184082,-1.2620279788970947,0.3914191722869873
1,americans,indonesians,740,730,-1.617756724357605,-1.612573266029358,0.00518345832824707
2,americans,indonesians,1447,1621,-1.8003114461898804,-1.3854726552963257,0.4148387908935547
3,americans,indonesians,533,1139,-1.7943089008331299,-1.4824612140655518,0.3118476867675781
4,americans,indonesians,1518,930,-1.5663779973983765,-1.063670039176941,0.5027079582214355
5,americans,indonesians,1360,53,-1.4727048873901367,-1.1269323825836182,0.34577250480651855
6,americans,indonesians,1121,824,-1.6495527029037476,-1.2760635614395142,0.3734891414642334
7,americans,indonesians,610,551,-1.7902783155441284,-1.6604804992675781,0.1297978162765503
8,americans,indonesians,1655,203,-1.5199791193008423,-1.4009064435958862,0.11907267570495605
9,americans,indonesians,75,1650,-1.2304891347885132,-1.1968506574630737,0.03363847732543945
10,americans,indonesians,1849,246,-1.4501842260360718,-1.256124496459961,0.19405972957611084
11,americans,indonesians,624,1190,-1.8193367719650269,-1.6801941394805908,0.13914263248443604
12,americans,indonesians,1523,685,-1.6044853925704956,-1.393129587173462,0.2113558053970337
13,americans,indonesians,827,1024,-1.636898398399353,-1.517464518547058,0.11943387985229492
14,americans,indonesians,969,1454,-1.439881682395935,-1.2644567489624023,0.17542493343353271
15,americans,indonesians,1332,1082,-1.76263427734375,-1.4410978555679321,0.32153642177581787
16,americans,indonesians,686,609,-1.625705361366272,-1.4738682508468628,0.15183711051940918
17,americans,indonesians,842,388,-1.6209967136383057,-1.2383512258529663,0.38264548778533936
18,americans,indonesians,1674,923,-1.7785145044326782,-1.3428846597671509,0.43562984466552734
19,americans,indonesians,839,1375,-1.5800049304962158,-1.3461230993270874,0.23388183116912842
20,americans,indonesians,1656,393,-1.7617515325546265,-1.2006059885025024,0.561145544052124
21,americans,indonesians,544,1758,-1.746443748474121,-1.3546150922775269,0.39182865619659424
22,americans,indonesians,1603,1747,-1.657927393913269,-1.4420673847198486,0.2158600091934204
23,americans,indonesians,789,154,-1.5507515668869019,-1.5126672983169556,0.03808426856994629
24,americans,indonesians,1999,1048,-1.6767024993896484,-1.5877426862716675,0.08895981311798096
25,americans,indonesians,1681,1911,-1.6779755353927612,-1.2384235858917236,0.4395519495010376
26,americans,indonesians,1254,1230,-1.5536545515060425,-1.4666002988815308,0.08705425262451172
27,americans,indonesians,781,857,-1.659044623374939,-1.5025303363800049,0.15651428699493408
28,americans,indonesians,509,603,-1.5468047857284546,-1.3875998258590698,0.15920495986938477
29,americans,indonesians,1002,833,-1.765487551689148,-1.3670040369033813,0.3984835147857666
30,americans,indonesians,1807,931,-1.5086311101913452,-1.2199201583862305,0.28871095180511475
31,americans,indonesians,56,1554,-1.2450543642044067,-1.1600691080093384,0.08498525619506836
32,americans,indonesians,1353,942,-1.7298078536987305,-1.148889183998108,0.5809186697006226
33,americans,indonesians,1273,126,-1.7878191471099854,-1.3892936706542969,0.3985254764556885
34,americans,indonesians,256,1246,-1.666115164756775,-1.5474942922592163,0.1186208724975586
35,americans,indonesians,131,1658,-1.8606998920440674,-1.5422890186309814,0.31841087341308594
36,americans,indonesians,691,1340,-1.4583417177200317,-1.371116042137146,0.08722567558288574
37,americans,indonesians,1214,819,-1.7244888544082642,-1.1823649406433105,0.5421239137649536
38,americans,indonesians,752,364,-1.5830036401748657,-1.248012900352478,0.3349907398223877
39,americans,indonesians,586,239,-1.6246919631958008,-1.4256885051727295,0.1990034580230713
40,americans,indonesians,856,1220,-1.7054789066314697,-1.5383394956588745,0.16713941097259521
41,americans,indonesians,57,1547,-1.4159973859786987,-1.2001196146011353,0.21587777137756348
42,americans,indonesians,764,1709,-1.6642303466796875,-1.3135173320770264,0.35071301460266113
43,americans,indonesians,696,1993,-1.458112359046936,-1.1195744276046753,0.33853793144226074
44,americans,indonesians,48,1769,-1.162431001663208,-1.0471961498260498,0.1152348518371582
45,americans,indonesians,240,254,-1.7103912830352783,-1.692489504814148,0.01790177822113037
46,americans,indonesians,476,1984,-1.4159302711486816,-1.0637750625610352,0.3521552085876465
47,americans,indonesians,1278,413,-1.6747633218765259,-1.2081637382507324,0.46659958362579346
48,americans,indonesians,404,1366,-1.4833093881607056,-1.050002098083496,0.4333072900772095
49,americans,indonesians,386,1851,-1.6360244750976562,-1.20054030418396,0.4354841709136963
