,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,indonesians,1496,3,-0.8597610592842102,-1.649039626121521,-0.7892785668373108
1,americans,indonesians,1731,210,-1.8597334623336792,-2.1267964839935303,-0.2670630216598511
2,americans,indonesians,1378,1975,-1.615051507949829,-0.8168728947639465,0.7981786131858826
3,americans,indonesians,861,348,-1.343004584312439,-1.7068054676055908,-0.36380088329315186
4,americans,indonesians,1924,1678,-1.3665491342544556,-1.4677122831344604,-0.10116314888000488
5,americans,indonesians,1190,1041,-1.3919403553009033,-1.4976414442062378,-0.10570108890533447
6,americans,indonesians,1594,172,-1.6731204986572266,-1.8895368576049805,-0.2164163589477539
7,americans,indonesians,980,600,-1.3404499292373657,-1.9757314920425415,-0.6352815628051758
8,americans,indonesians,149,986,-2.015382766723633,-1.1209969520568848,0.894385814666748
9,americans,indonesians,1340,1670,-1.9440666437149048,-1.5534521341323853,0.39061450958251953
10,americans,indonesians,460,321,-1.1463274955749512,-1.5579535961151123,-0.41162610054016113
11,americans,indonesians,1823,1432,-1.5814709663391113,-1.9062823057174683,-0.32481133937835693
12,americans,indonesians,993,1690,-2.28117299079895,-1.0693929195404053,1.211780071258545
13,americans,indonesians,109,1307,-2.0690619945526123,-1.3648531436920166,0.7042088508605957
14,americans,indonesians,463,1649,-1.9066959619522095,-1.0968365669250488,0.8098593950271606
15,americans,indonesians,902,811,-0.9417757391929626,-1.5567539930343628,-0.6149782538414001
16,americans,indonesians,409,554,-1.6402157545089722,-1.2398589849472046,0.4003567695617676
17,americans,indonesians,352,60,-1.6110432147979736,-2.0183537006378174,-0.40731048583984375
18,americans,indonesians,1752,555,-1.6013466119766235,-1.7133922576904297,-0.11204564571380615
19,americans,indonesians,292,394,-1.7567633390426636,-0.9495941400527954,0.8071691989898682
20,americans,indonesians,1762,1630,-1.3267141580581665,-1.7945671081542969,-0.46785295009613037
21,americans,indonesians,451,1225,-2.105153799057007,-1.250489354133606,0.8546644449234009
22,americans,indonesians,147,722,-1.9105224609375,-1.1944538354873657,0.7160686254501343
23,americans,indonesians,299,51,-0.9228439331054688,-1.832400918006897,-0.9095569849014282
24,americans,indonesians,733,360,-1.7627534866333008,-1.777247667312622,-0.014494180679321289
25,americans,indonesians,436,1000,-1.5748473405838013,-0.981677234172821,0.5931701064109802
26,americans,indonesians,151,423,-1.8612078428268433,-1.2289588451385498,0.6322489976882935
27,americans,indonesians,1149,388,-1.751241683959961,-1.9277317523956299,-0.17649006843566895
28,americans,indonesians,1561,732,-1.6897363662719727,-1.7210716009140015,-0.03133523464202881
29,americans,indonesians,1398,1431,-1.6348600387573242,-0.8974493145942688,0.7374107241630554
30,americans,indonesians,564,1948,-2.0697431564331055,-1.0085842609405518,1.0611588954925537
31,americans,indonesians,1794,702,-1.7081129550933838,-1.6793596744537354,0.028753280639648438
32,americans,indonesians,1844,1655,-1.894242525100708,-1.5773855447769165,0.3168569803237915
33,americans,indonesians,1851,1792,-1.0128495693206787,-1.2910751104354858,-0.27822554111480713
34,americans,indonesians,1928,982,-1.51718008518219,-1.6630403995513916,-0.14586031436920166
35,americans,indonesians,924,203,-1.268900752067566,-1.9591203927993774,-0.6902196407318115
36,americans,indonesians,553,1518,-2.195662498474121,-1.137632131576538,1.058030366897583
37,americans,indonesians,1908,1392,-1.7113052606582642,-1.675520896911621,0.035784363746643066
38,americans,indonesians,449,1270,-1.9731197357177734,-1.1443370580673218,0.8287826776504517
39,americans,indonesians,1199,1537,-1.9114223718643188,-1.1032241582870483,0.8081982135772705
40,americans,indonesians,1145,872,-1.6996437311172485,-1.8202717304229736,-0.1206279993057251
41,americans,indonesians,153,1328,-2.0191237926483154,-1.1504201889038086,0.8687036037445068
42,americans,indonesians,357,430,-1.7330821752548218,-1.1937745809555054,0.5393075942993164
43,americans,indonesians,1848,1151,-1.7645343542099,-2.1344025135040283,-0.3698681592941284
44,americans,indonesians,1288,1522,-1.8935104608535767,-1.3446887731552124,0.5488216876983643
45,americans,indonesians,1777,439,-1.58358633518219,-1.4702532291412354,0.11333310604095459
46,americans,indonesians,1850,718,-1.643687129020691,-1.927164912223816,-0.283477783203125
47,americans,indonesians,644,1829,-1.8100982904434204,-1.0839120149612427,0.7261862754821777
48,americans,indonesians,123,1325,-2.3395392894744873,-1.0024977922439575,1.3370414972305298
49,americans,indonesians,516,1965,-1.6128705739974976,-0.7296189665794373,0.8832516074180603
