,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,palestinians,1657,1,-1.5711435079574585,-1.978872299194336,-0.40772879123687744
1,americans,palestinians,901,1614,-1.5049419403076172,-0.8351243138313293,0.6698176264762878
2,americans,palestinians,1827,1513,-1.6980100870132446,-1.573433756828308,0.12457633018493652
3,americans,palestinians,322,316,-1.5208452939987183,-1.6208209991455078,-0.09997570514678955
4,americans,palestinians,289,1840,-1.7260607481002808,-1.032114863395691,0.6939458847045898
5,americans,palestinians,314,1917,-1.9865028858184814,-1.0588490962982178,0.9276537895202637
6,americans,palestinians,23,838,-1.591888189315796,-1.401689887046814,0.19019830226898193
7,americans,palestinians,1760,1443,-1.5984365940093994,-1.6666778326034546,-0.06824123859405518
8,americans,palestinians,1942,677,-2.174484968185425,-1.6485592126846313,0.5259257555007935
9,americans,palestinians,869,1777,-2.061823606491089,-1.4054001569747925,0.6564234495162964
10,americans,palestinians,1789,947,-1.935130000114441,-1.3623636960983276,0.5727663040161133
11,americans,palestinians,1006,1754,-1.6730912923812866,-1.2799278497695923,0.39316344261169434
12,americans,palestinians,1431,1269,-1.3334261178970337,-1.5595015287399292,-0.2260754108428955
13,americans,palestinians,693,1899,-1.5802260637283325,-1.1367818117141724,0.44344425201416016
14,americans,palestinians,1085,1689,-1.7838619947433472,-1.1883045434951782,0.595557451248169
15,americans,palestinians,198,1248,-1.7866884469985962,-1.296511173248291,0.4901772737503052
16,americans,palestinians,1303,73,-1.8732318878173828,-1.4648796319961548,0.408352255821228
17,americans,palestinians,1278,411,-1.3186779022216797,-1.3779687881469727,-0.05929088592529297
18,americans,palestinians,184,1813,-1.8388099670410156,-1.4721077680587769,0.36670219898223877
19,americans,palestinians,1245,1865,-1.8475440740585327,-1.4940389394760132,0.35350513458251953
20,americans,palestinians,1125,111,-2.0163302421569824,-1.6553875207901,0.3609427213668823
21,americans,palestinians,1385,1458,-1.5901185274124146,-0.65264892578125,0.9374696016311646
22,americans,palestinians,892,1033,-1.472602367401123,-0.9573885202407837,0.5152138471603394
23,americans,palestinians,566,36,-1.86546790599823,-1.4670542478561401,0.39841365814208984
24,americans,palestinians,1344,1770,-1.9875530004501343,-1.6544220447540283,0.33313095569610596
25,americans,palestinians,1917,1481,-1.866026759147644,-1.5739688873291016,0.2920578718185425
26,americans,palestinians,381,1467,-1.5022451877593994,-1.0285375118255615,0.4737076759338379
27,americans,palestinians,997,1453,-1.7170320749282837,-0.7393655180931091,0.9776665568351746
28,americans,palestinians,935,627,-1.5411351919174194,-1.4583944082260132,0.08274078369140625
29,americans,palestinians,256,1905,-1.7612543106079102,-0.9935142397880554,0.7677400708198547
30,americans,palestinians,1287,823,-1.2575609683990479,-1.2247400283813477,0.032820940017700195
31,americans,palestinians,195,319,-1.8060158491134644,-1.312151551246643,0.4938642978668213
32,americans,palestinians,153,1256,-1.7560523748397827,-1.221325397491455,0.5347269773483276
33,americans,palestinians,821,1640,-1.4193392992019653,-1.0932201147079468,0.32611918449401855
34,americans,palestinians,1820,288,-2.27592396736145,-2.0855677127838135,0.19035625457763672
35,americans,palestinians,977,1005,-1.5746064186096191,-0.6753052473068237,0.8993011713027954
36,americans,palestinians,1218,1657,-1.6273218393325806,-1.058280348777771,0.5690414905548096
37,americans,palestinians,1489,390,-1.9835189580917358,-1.5608134269714355,0.4227055311203003
38,americans,palestinians,1237,219,-1.5704439878463745,-1.507973313331604,0.06247067451477051
39,americans,palestinians,570,1732,-1.7310703992843628,-1.1117831468582153,0.6192872524261475
40,americans,palestinians,1396,1191,-1.4544669389724731,-1.7151390314102173,-0.26067209243774414
41,americans,palestinians,1599,974,-1.7852226495742798,-1.3808764219284058,0.404346227645874
42,americans,palestinians,1076,1927,-1.8284292221069336,-1.5165172815322876,0.311911940574646
43,americans,palestinians,9,15,-1.8206433057785034,-1.3239586353302002,0.4966846704483032
44,americans,palestinians,773,624,-1.7703049182891846,-1.5670183897018433,0.2032865285873413
45,americans,palestinians,1453,1459,-1.8001965284347534,-0.7564603686332703,1.0437361598014832
46,americans,palestinians,1292,787,-1.6372140645980835,-1.525701880455017,0.1115121841430664
47,americans,palestinians,1882,1059,-1.826174020767212,-1.5905784368515015,0.23559558391571045
48,americans,palestinians,1538,509,-1.9624109268188477,-1.4941343069076538,0.46827661991119385
49,americans,palestinians,455,231,-1.8746429681777954,-1.9327518939971924,-0.05810892581939697
