,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,canadians,filipinos,605,56,-1.5283840894699097,-1.8378232717514038,-0.30943918228149414
1,canadians,filipinos,377,798,-2.273920774459839,-1.2428876161575317,1.0310331583023071
2,canadians,filipinos,1817,714,-1.699060082435608,-1.8424252271652222,-0.14336514472961426
3,canadians,filipinos,231,419,-2.498711347579956,-0.9744784235954285,1.5242329239845276
4,canadians,filipinos,1919,1942,-2.2055275440216064,-0.7778010964393616,1.4277264475822449
5,canadians,filipinos,1763,240,-1.9711248874664307,-2.0619332790374756,-0.09080839157104492
6,canadians,filipinos,166,431,-2.5639309883117676,-1.4001295566558838,1.1638014316558838
7,canadians,filipinos,818,1068,-2.4582529067993164,-1.185241460800171,1.2730114459991455
8,canadians,filipinos,1256,398,-1.393557071685791,-2.033825635910034,-0.6402685642242432
9,canadians,filipinos,1499,987,-1.216439962387085,-1.8162399530410767,-0.5997999906539917
10,canadians,filipinos,1332,70,-1.6945488452911377,-1.949534296989441,-0.2549854516983032
11,canadians,filipinos,426,797,-2.337501287460327,-1.1167411804199219,1.2207601070404053
12,canadians,filipinos,842,348,-1.3597491979599,-1.590706467628479,-0.2309572696685791
13,canadians,filipinos,232,382,-2.258115768432617,-1.2096679210662842,1.048447847366333
14,canadians,filipinos,1523,346,-1.3750427961349487,-1.8683969974517822,-0.4933542013168335
15,canadians,filipinos,81,1003,-2.628549814224243,-0.9184247851371765,1.7101250290870667
16,canadians,filipinos,1610,1411,-1.2281235456466675,-1.9014803171157837,-0.6733567714691162
17,canadians,filipinos,1104,392,-1.6873897314071655,-2.1587815284729004,-0.47139179706573486
18,canadians,filipinos,1735,1992,-1.7640327215194702,-0.9465886950492859,0.8174440264701843
19,canadians,filipinos,1056,1209,-2.3503735065460205,-1.2386192083358765,1.111754298210144
20,canadians,filipinos,1200,762,-1.7049492597579956,-1.7610294818878174,-0.05608022212982178
21,canadians,filipinos,1829,1185,-1.454829454421997,-1.871431589126587,-0.41660213470458984
22,canadians,filipinos,632,1511,-2.43243670463562,-1.0956482887268066,1.3367884159088135
23,canadians,filipinos,887,675,-1.629457712173462,-1.7118314504623413,-0.0823737382888794
24,canadians,filipinos,665,1888,-1.9234808683395386,-1.1436374187469482,0.7798434495925903
25,canadians,filipinos,1960,1601,-1.012128472328186,-1.2306064367294312,-0.21847796440124512
26,canadians,filipinos,42,1280,-2.2377936840057373,-1.1199663877487183,1.117827296257019
27,canadians,filipinos,1756,752,-1.588350772857666,-1.8794969320297241,-0.2911461591720581
28,canadians,filipinos,1105,1168,-1.8923485279083252,-1.0507516860961914,0.8415968418121338
29,canadians,filipinos,1637,1336,-1.1337233781814575,-1.847890853881836,-0.7141674757003784
30,canadians,filipinos,62,1614,-2.1335208415985107,-0.9647259712219238,1.168794870376587
31,canadians,filipinos,74,1929,-1.8288424015045166,-0.7876042723655701,1.0412381291389465
32,canadians,filipinos,577,1143,-2.3925042152404785,-1.3238871097564697,1.0686171054840088
33,canadians,filipinos,762,1038,-2.2209482192993164,-1.2278863191604614,0.993061900138855
34,canadians,filipinos,1229,1396,-1.9388068914413452,-0.9178364872932434,1.0209704041481018
35,canadians,filipinos,925,1077,-2.1712262630462646,-1.008013129234314,1.1632131338119507
36,canadians,filipinos,696,369,-1.3362853527069092,-1.774704933166504,-0.4384195804595947
37,canadians,filipinos,1593,833,-1.8843735456466675,-1.9114068746566772,-0.027033329010009766
38,canadians,filipinos,286,365,-1.8094309568405151,-1.139962077140808,0.669468879699707
39,canadians,filipinos,1852,714,-1.341454267501831,-1.7841318845748901,-0.4426776170730591
40,canadians,filipinos,719,76,-1.4418286085128784,-1.8231271505355835,-0.3812985420227051
41,canadians,filipinos,507,307,-1.8123947381973267,-2.2486467361450195,-0.43625199794769287
42,canadians,filipinos,1535,1223,-1.4581276178359985,-2.058746099472046,-0.6006184816360474
43,canadians,filipinos,1050,732,-1.883752703666687,-2.0164403915405273,-0.13268768787384033
44,canadians,filipinos,630,1212,-2.6722819805145264,-1.5751725435256958,1.0971094369888306
45,canadians,filipinos,498,638,-2.3193116188049316,-1.1858288049697876,1.133482813835144
46,canadians,filipinos,832,380,-1.5784486532211304,-1.8906725645065308,-0.3122239112854004
47,canadians,filipinos,754,1955,-2.130985736846924,-1.1095918416976929,1.021393895149231
48,canadians,filipinos,1546,1285,-1.3454701900482178,-1.6673099994659424,-0.3218398094177246
49,canadians,filipinos,13,426,-1.9737730026245117,-0.7882617115974426,1.185511291027069
