,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,brits,461,926,-1.6739062070846558,-1.2353419065475464,0.4385643005371094
1,chinese,brits,245,690,-1.870538592338562,-1.2180660963058472,0.6524724960327148
2,chinese,brits,320,367,-1.9063385725021362,-1.4143871068954468,0.49195146560668945
3,chinese,brits,338,226,-1.9248161315917969,-1.2890222072601318,0.635793924331665
4,chinese,brits,418,505,-1.9220924377441406,-1.402951955795288,0.5191404819488525
5,chinese,brits,919,1171,-2.0115184783935547,-1.3401153087615967,0.671403169631958
6,chinese,brits,1485,60,-1.9583154916763306,-1.3071702718734741,0.6511452198028564
7,chinese,brits,1746,1800,-1.8469303846359253,-1.4032853841781616,0.44364500045776367
8,chinese,brits,193,478,-1.8398851156234741,-1.390224814414978,0.4496603012084961
9,chinese,brits,1992,1307,-2.2608184814453125,-1.5457632541656494,0.7150552272796631
10,chinese,brits,1798,1177,-1.8408565521240234,-1.5103504657745361,0.3305060863494873
11,chinese,brits,452,594,-1.837131381034851,-1.2789076566696167,0.5582237243652344
12,chinese,brits,1230,1827,-1.911065697669983,-1.3174957036972046,0.5935699939727783
13,chinese,brits,1693,167,-2.076963186264038,-1.46469247341156,0.612270712852478
14,chinese,brits,289,1592,-2.1894843578338623,-1.3751791715621948,0.8143051862716675
15,chinese,brits,1342,419,-1.741099238395691,-1.353639006614685,0.38746023178100586
16,chinese,brits,420,375,-1.6674336194992065,-1.3147109746932983,0.3527226448059082
17,chinese,brits,433,1952,-2.0583608150482178,-1.3861947059631348,0.672166109085083
18,chinese,brits,65,1371,-1.6257504224777222,-1.092698574066162,0.5330518484115601
19,chinese,brits,42,1944,-1.4143474102020264,-1.037490725517273,0.3768566846847534
20,chinese,brits,807,1858,-1.8416481018066406,-1.3303403854370117,0.5113077163696289
21,chinese,brits,1948,1021,-1.8862894773483276,-1.4888033866882324,0.3974860906600952
22,chinese,brits,1263,245,-1.6347500085830688,-1.1361465454101562,0.4986034631729126
23,chinese,brits,745,1641,-1.9787544012069702,-1.3476386070251465,0.6311157941818237
24,chinese,brits,1736,677,-2.008742332458496,-1.2606700658798218,0.7480722665786743
25,chinese,brits,701,279,-2.0640251636505127,-1.4410133361816406,0.6230118274688721
26,chinese,brits,465,308,-1.7412899732589722,-1.1665364503860474,0.5747535228729248
27,chinese,brits,665,1031,-1.8369277715682983,-1.207075595855713,0.6298521757125854
28,chinese,brits,856,416,-1.8780176639556885,-1.300988793373108,0.5770288705825806
29,chinese,brits,42,882,-1.3281643390655518,-1.0993627309799194,0.22880160808563232
30,chinese,brits,1009,692,-1.6853443384170532,-1.1355918645858765,0.5497524738311768
31,chinese,brits,1909,396,-1.8292795419692993,-1.1796883344650269,0.6495912075042725
32,chinese,brits,59,971,-1.4438918828964233,-1.122109293937683,0.32178258895874023
33,chinese,brits,1430,1843,-1.7258446216583252,-1.2192374467849731,0.506607174873352
34,chinese,brits,1182,1207,-1.7727864980697632,-1.249591588973999,0.5231949090957642
35,chinese,brits,1432,807,-1.955688714981079,-1.3450120687484741,0.610676646232605
36,chinese,brits,1319,119,-1.8365917205810547,-1.2604578733444214,0.5761338472366333
37,chinese,brits,1178,862,-1.8236349821090698,-1.330456018447876,0.49317896366119385
38,chinese,brits,1698,1476,-1.9517288208007812,-1.5418713092803955,0.40985751152038574
39,chinese,brits,1123,265,-1.873335838317871,-1.474563479423523,0.39877235889434814
40,chinese,brits,39,1940,-1.6766300201416016,-1.1981016397476196,0.47852838039398193
41,chinese,brits,1378,188,-1.8441702127456665,-1.3055294752120972,0.5386407375335693
42,chinese,brits,603,806,-1.8496795892715454,-1.4471708536148071,0.4025087356567383
43,chinese,brits,975,1379,-1.931915283203125,-1.26654851436615,0.6653667688369751
44,chinese,brits,671,295,-1.758182406425476,-1.1889833211898804,0.5691990852355957
45,chinese,brits,793,1704,-1.6811789274215698,-1.1553577184677124,0.5258212089538574
46,chinese,brits,640,1667,-1.9730579853057861,-1.3686622381210327,0.6043957471847534
47,chinese,brits,1600,1908,-1.8464306592941284,-1.5035955905914307,0.34283506870269775
48,chinese,brits,1139,1468,-1.8747543096542358,-1.275116205215454,0.5996381044387817
49,chinese,brits,1763,201,-1.7422274351119995,-1.307063341140747,0.43516409397125244
