,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,japanese,918,77,-1.955443263053894,-1.5490965843200684,0.4063466787338257
1,chinese,japanese,923,1904,-1.5838533639907837,-1.3924640417099,0.1913893222808838
2,chinese,japanese,1705,1702,-1.7472107410430908,-1.3343665599822998,0.412844181060791
3,chinese,japanese,1441,1531,-1.8153742551803589,-1.4649900197982788,0.3503842353820801
4,chinese,japanese,782,448,-1.7032912969589233,-1.4677963256835938,0.2354949712753296
5,chinese,japanese,1920,933,-1.755196452140808,-1.4574154615402222,0.29778099060058594
6,chinese,japanese,194,785,-1.7256726026535034,-1.343501091003418,0.38217151165008545
7,chinese,japanese,1814,736,-1.7345908880233765,-1.32488214969635,0.40970873832702637
8,chinese,japanese,1297,1072,-1.7434654235839844,-1.4391050338745117,0.30436038970947266
9,chinese,japanese,1855,67,-1.9685972929000854,-1.6826199293136597,0.2859773635864258
10,chinese,japanese,1173,794,-1.8002499341964722,-1.3115711212158203,0.48867881298065186
11,chinese,japanese,940,1324,-1.7813217639923096,-1.5483859777450562,0.23293578624725342
12,chinese,japanese,259,706,-1.596866488456726,-1.372107744216919,0.22475874423980713
13,chinese,japanese,36,1118,-1.8450580835342407,-1.5620076656341553,0.28305041790008545
14,chinese,japanese,1691,562,-1.789602279663086,-1.270716667175293,0.518885612487793
15,chinese,japanese,40,782,-1.5577610731124878,-1.612388253211975,-0.054627180099487305
16,chinese,japanese,398,1037,-1.7296189069747925,-1.4030288457870483,0.32659006118774414
17,chinese,japanese,538,1412,-1.815284013748169,-1.6226141452789307,0.19266986846923828
18,chinese,japanese,421,375,-1.6708974838256836,-1.4928377866744995,0.17805969715118408
19,chinese,japanese,426,691,-1.7080535888671875,-1.3455092906951904,0.36254429817199707
20,chinese,japanese,1196,510,-1.8446006774902344,-1.3007463216781616,0.5438543558120728
21,chinese,japanese,209,4,-1.9236465692520142,-1.3291822671890259,0.5944643020629883
22,chinese,japanese,206,1026,-1.7703319787979126,-1.3872445821762085,0.3830873966217041
23,chinese,japanese,86,1372,-1.781106948852539,-1.5493040084838867,0.23180294036865234
24,chinese,japanese,1635,1438,-1.7362219095230103,-1.5298912525177002,0.20633065700531006
25,chinese,japanese,1635,571,-1.7152236700057983,-1.2423216104507446,0.4729020595550537
26,chinese,japanese,1567,399,-1.8443443775177002,-1.35027277469635,0.4940716028213501
27,chinese,japanese,1758,1514,-1.8573490381240845,-1.5963265895843506,0.2610224485397339
28,chinese,japanese,1169,639,-1.8128607273101807,-1.3071621656417847,0.505698561668396
29,chinese,japanese,17,1456,-1.6650196313858032,-1.1981559991836548,0.46686363220214844
30,chinese,japanese,1437,1705,-1.6956123113632202,-1.494155764579773,0.20145654678344727
31,chinese,japanese,148,515,-1.7639302015304565,-1.4468015432357788,0.31712865829467773
32,chinese,japanese,373,230,-1.721002221107483,-1.4194411039352417,0.3015611171722412
33,chinese,japanese,488,832,-1.8072861433029175,-1.479034423828125,0.3282517194747925
34,chinese,japanese,1817,661,-1.6445823907852173,-1.240113615989685,0.4044687747955322
35,chinese,japanese,275,1461,-1.8576072454452515,-1.4503225088119507,0.4072847366333008
36,chinese,japanese,581,1285,-1.8209011554718018,-1.5345855951309204,0.28631556034088135
37,chinese,japanese,1980,1857,-2.281991958618164,-1.887765884399414,0.39422607421875
38,chinese,japanese,800,424,-1.7177132368087769,-1.4642664194107056,0.2534468173980713
39,chinese,japanese,387,1646,-1.673586130142212,-1.5229289531707764,0.15065717697143555
40,chinese,japanese,1995,229,-2.246309757232666,-1.6924339532852173,0.5538758039474487
41,chinese,japanese,871,7,-1.9372282028198242,-1.627441644668579,0.3097865581512451
42,chinese,japanese,1370,151,-1.8917824029922485,-1.5124019384384155,0.379380464553833
43,chinese,japanese,1370,1498,-1.719530463218689,-1.4951800107955933,0.2243504524230957
44,chinese,japanese,933,314,-1.6497631072998047,-1.3136645555496216,0.3360985517501831
45,chinese,japanese,929,433,-1.5871374607086182,-1.4272587299346924,0.15987873077392578
46,chinese,japanese,1444,1510,-2.239713191986084,-1.7433782815933228,0.49633491039276123
47,chinese,japanese,37,1531,-1.446194052696228,-1.1131913661956787,0.3330026865005493
48,chinese,japanese,147,806,-1.6539344787597656,-1.444259762763977,0.20967471599578857
49,chinese,japanese,922,1602,-1.7548980712890625,-1.3496253490447998,0.4052727222442627
