,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,ukrainians,453,831,-2.4070942401885986,-0.9821906089782715,1.4249036312103271
1,filipinos,ukrainians,1615,436,-2.041656970977783,-1.8220525979995728,0.21960437297821045
2,filipinos,ukrainians,1393,197,-2.135099411010742,-1.9112135171890259,0.2238858938217163
3,filipinos,ukrainians,1986,968,-2.270432233810425,-1.8734560012817383,0.3969762325286865
4,filipinos,ukrainians,1917,137,-2.2752182483673096,-1.5698821544647217,0.7053360939025879
5,filipinos,ukrainians,1693,1813,-1.9897018671035767,-0.6122906804084778,1.3774111866950989
6,filipinos,ukrainians,903,925,-2.347970485687256,-1.0557140111923218,1.292256474494934
7,filipinos,ukrainians,369,515,-2.4345757961273193,-1.240112543106079,1.1944632530212402
8,filipinos,ukrainians,1860,1841,-1.4535235166549683,-1.5409122705459595,-0.08738875389099121
9,filipinos,ukrainians,486,1840,-2.484200954437256,-1.184687614440918,1.299513339996338
10,filipinos,ukrainians,1872,1039,-1.7167129516601562,-1.4693304300308228,0.2473825216293335
11,filipinos,ukrainians,1044,192,-2.1242690086364746,-1.9739903211593628,0.15027868747711182
12,filipinos,ukrainians,361,1190,-2.5167815685272217,-1.23569655418396,1.2810850143432617
13,filipinos,ukrainians,1219,1445,-2.3335797786712646,-1.0444748401641846,1.28910493850708
14,filipinos,ukrainians,473,1035,-2.4875800609588623,-1.0859802961349487,1.4015997648239136
15,filipinos,ukrainians,144,96,-1.8836666345596313,-1.3480912446975708,0.5355753898620605
16,filipinos,ukrainians,1114,1029,-1.9258946180343628,-1.4706478118896484,0.45524680614471436
17,filipinos,ukrainians,199,598,-2.450256109237671,-1.3203741312026978,1.1298819780349731
18,filipinos,ukrainians,1542,1842,-2.198195695877075,-0.9051589965820312,1.293036699295044
19,filipinos,ukrainians,824,1049,-2.4173896312713623,-1.0459368228912354,1.371452808380127
20,filipinos,ukrainians,1717,1343,-2.0499024391174316,-1.5686575174331665,0.48124492168426514
21,filipinos,ukrainians,658,4,-1.8748050928115845,-1.3750278949737549,0.4997771978378296
22,filipinos,ukrainians,611,1435,-2.5020804405212402,-1.2425960302352905,1.2594844102859497
23,filipinos,ukrainians,1485,962,-1.9842332601547241,-1.880590796470642,0.10364246368408203
24,filipinos,ukrainians,878,685,-2.0097715854644775,-1.6453462839126587,0.36442530155181885
25,filipinos,ukrainians,1913,1401,-1.4075416326522827,-1.22727370262146,0.18026793003082275
26,filipinos,ukrainians,1407,1113,-1.9333025217056274,-1.5298173427581787,0.40348517894744873
27,filipinos,ukrainians,1164,1761,-2.4692885875701904,-1.1462711095809937,1.3230174779891968
28,filipinos,ukrainians,1237,1132,-1.7881265878677368,-1.6797466278076172,0.10837996006011963
29,filipinos,ukrainians,1630,1159,-2.282630443572998,-1.7642334699630737,0.5183969736099243
30,filipinos,ukrainians,618,140,-2.438676118850708,-1.7823680639266968,0.6563080549240112
31,filipinos,ukrainians,1598,234,-1.9822403192520142,-1.7954609394073486,0.18677937984466553
32,filipinos,ukrainians,923,1472,-2.3239262104034424,-0.8773199915885925,1.4466062188148499
33,filipinos,ukrainians,630,650,-2.5407044887542725,-1.350750207901001,1.1899542808532715
34,filipinos,ukrainians,157,913,-2.456023931503296,-1.2963958978652954,1.1596280336380005
35,filipinos,ukrainians,688,119,-2.2510769367218018,-1.5837072134017944,0.6673697233200073
36,filipinos,ukrainians,637,1773,-2.624027967453003,-1.1816484928131104,1.4423794746398926
37,filipinos,ukrainians,817,1202,-2.215409994125366,-0.9294336438179016,1.2859763503074646
38,filipinos,ukrainians,1559,478,-1.8686983585357666,-1.863384485244751,0.005313873291015625
39,filipinos,ukrainians,1020,1434,-2.413233995437622,-1.03549325466156,1.377740740776062
40,filipinos,ukrainians,199,484,-2.551743984222412,-1.2053617238998413,1.3463822603225708
41,filipinos,ukrainians,1520,90,-2.0401418209075928,-1.691218376159668,0.3489234447479248
42,filipinos,ukrainians,440,323,-2.2476589679718018,-1.93657648563385,0.31108248233795166
43,filipinos,ukrainians,886,395,-2.3223183155059814,-1.803885817527771,0.5184324979782104
44,filipinos,ukrainians,1555,347,-2.010687828063965,-1.642547607421875,0.36814022064208984
45,filipinos,ukrainians,1229,1721,-2.438474416732788,-1.0621410608291626,1.3763333559036255
46,filipinos,ukrainians,1394,532,-1.920653223991394,-1.618904709815979,0.30174851417541504
47,filipinos,ukrainians,1234,1481,-2.698017120361328,-1.1879838705062866,1.5100332498550415
48,filipinos,ukrainians,1565,991,-2.120140552520752,-1.8720552921295166,0.24808526039123535
49,filipinos,ukrainians,35,1777,-2.941319704055786,-1.4937057495117188,1.4476139545440674
