,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,filipinos,1148,51,-2.1170215606689453,-1.1989322900772095,0.9180892705917358
1,french,filipinos,38,732,-1.623625636100769,-1.0773752927780151,0.5462503433227539
2,french,filipinos,1144,236,-2.000889539718628,-1.2734565734863281,0.7274329662322998
3,french,filipinos,1779,1074,-1.856573462486267,-1.4314353466033936,0.42513811588287354
4,french,filipinos,1453,1729,-1.8218659162521362,-1.297959327697754,0.5239065885543823
5,french,filipinos,176,1050,-1.979583740234375,-1.2509021759033203,0.7286815643310547
6,french,filipinos,504,512,-1.7987051010131836,-0.9935137033462524,0.8051913976669312
7,french,filipinos,331,152,-2.0704548358917236,-1.4342262744903564,0.6362285614013672
8,french,filipinos,1944,453,-2.2170379161834717,-1.3294013738632202,0.8876365423202515
9,french,filipinos,1147,64,-1.9669239521026611,-1.2620880603790283,0.7048358917236328
10,french,filipinos,1327,926,-1.9491275548934937,-1.3683313131332397,0.5807962417602539
11,french,filipinos,401,1783,-1.630295991897583,-0.9688653945922852,0.6614305973052979
12,french,filipinos,1539,1094,-1.8692330121994019,-1.3515169620513916,0.5177160501480103
13,french,filipinos,1241,1316,-1.665024995803833,-1.1591379642486572,0.5058870315551758
14,french,filipinos,1013,526,-1.9506889581680298,-1.2511471509933472,0.6995418071746826
15,french,filipinos,364,882,-1.8496267795562744,-1.282456874847412,0.5671699047088623
16,french,filipinos,525,361,-2.138922929763794,-1.4013937711715698,0.7375291585922241
17,french,filipinos,459,1704,-1.7223132848739624,-1.1515371799468994,0.570776104927063
18,french,filipinos,263,1560,-1.8747971057891846,-1.139786958694458,0.7350101470947266
19,french,filipinos,1329,1178,-1.7180804014205933,-1.366690993309021,0.35138940811157227
20,french,filipinos,1588,1938,-1.7317066192626953,-1.2080566883087158,0.5236499309539795
21,french,filipinos,1003,1108,-1.5979527235031128,-1.1105716228485107,0.48738110065460205
22,french,filipinos,1373,417,-1.992125391960144,-1.2741138935089111,0.7180114984512329
23,french,filipinos,1013,1168,-1.815672755241394,-1.2410106658935547,0.5746620893478394
24,french,filipinos,1120,1380,-1.9649238586425781,-1.4844017028808594,0.48052215576171875
25,french,filipinos,1328,1095,-1.8998615741729736,-1.3445767164230347,0.555284857749939
26,french,filipinos,860,364,-1.887855887413025,-1.257174015045166,0.6306818723678589
27,french,filipinos,28,773,-1.63327157497406,-1.2328178882598877,0.40045368671417236
28,french,filipinos,1504,1821,-1.7606152296066284,-1.2925628423690796,0.46805238723754883
29,french,filipinos,1249,70,-2.075838327407837,-1.4194058179855347,0.6564325094223022
30,french,filipinos,1293,368,-1.9628719091415405,-1.1801038980484009,0.7827680110931396
31,french,filipinos,471,797,-1.711825966835022,-1.1429415941238403,0.5688843727111816
32,french,filipinos,1605,1612,-1.6655702590942383,-1.1704611778259277,0.49510908126831055
33,french,filipinos,1920,491,-1.9834352731704712,-1.3940473794937134,0.5893878936767578
34,french,filipinos,1075,1925,-1.9889097213745117,-1.45755136013031,0.5313583612442017
35,french,filipinos,954,176,-2.1249566078186035,-1.4410911798477173,0.6838654279708862
36,french,filipinos,1271,1898,-1.9298477172851562,-1.4308522939682007,0.49899542331695557
37,french,filipinos,150,1589,-1.9519188404083252,-1.2525993585586548,0.6993194818496704
38,french,filipinos,1451,746,-1.982282280921936,-1.4095745086669922,0.5727077722549438
39,french,filipinos,938,1317,-1.722755789756775,-1.015199065208435,0.7075567245483398
40,french,filipinos,189,1719,-1.7643232345581055,-1.2115085124969482,0.5528147220611572
41,french,filipinos,465,1429,-1.720223307609558,-1.0751219987869263,0.6451013088226318
42,french,filipinos,1348,1402,-1.8219940662384033,-1.3044768571853638,0.5175172090530396
43,french,filipinos,1274,1569,-1.8540050983428955,-1.309805154800415,0.5441999435424805
44,french,filipinos,1045,912,-1.9130152463912964,-1.3032922744750977,0.6097229719161987
45,french,filipinos,1998,740,-2.0637147426605225,-1.2601675987243652,0.8035471439361572
46,french,filipinos,348,430,-1.966915488243103,-1.451096773147583,0.51581871509552
47,french,filipinos,1648,462,-2.028564453125,-1.2188382148742676,0.8097262382507324
48,french,filipinos,1044,806,-2.0625009536743164,-1.4869542121887207,0.5755467414855957
49,french,filipinos,298,639,-1.7384570837020874,-1.2062017917633057,0.5322552919387817
