,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,iranians,180,682,-1.2757364511489868,-0.16522374749183655,1.1105127036571503
1,french,iranians,1775,922,-0.48290157318115234,-0.4954679608345032,-0.01256638765335083
2,french,iranians,1488,578,-0.49444228410720825,-0.16710467636585236,0.3273376077413559
3,french,iranians,991,971,-1.1229056119918823,-0.39646679162979126,0.7264388203620911
4,french,iranians,179,1618,-1.3793625831604004,-0.05403013154864311,1.3253324516117573
5,french,iranians,157,1206,-1.2697614431381226,-0.0479314811527729,1.2218299619853497
6,french,iranians,1388,606,-0.5871941447257996,-0.5288326740264893,0.0583614706993103
7,french,iranians,1891,717,-0.8322857022285461,-0.48609185218811035,0.3461938500404358
8,french,iranians,1811,1550,-0.7296844720840454,-0.8135858774185181,-0.08390140533447266
9,french,iranians,1353,1003,-0.7801517844200134,-0.7859475612640381,-0.005795776844024658
10,french,iranians,594,1378,-1.2743524312973022,-0.16728249192237854,1.1070699393749237
11,french,iranians,26,687,-1.223933458328247,-0.07754199951887131,1.1463914588093758
12,french,iranians,57,367,-1.2324708700180054,-0.02947101555764675,1.2029998544603586
13,french,iranians,1611,1729,-1.2183001041412354,-0.32422468066215515,0.8940754234790802
14,french,iranians,1580,255,-0.556061863899231,-0.5707728266716003,-0.014710962772369385
15,french,iranians,1562,527,-0.5951650142669678,-0.49455124139785767,0.10061377286911011
16,french,iranians,1557,1070,-0.8259424567222595,-0.8158330917358398,0.010109364986419678
17,french,iranians,738,976,-0.9382556080818176,-0.241951584815979,0.6963040232658386
18,french,iranians,1843,1456,-0.5968201160430908,-0.42859601974487305,0.16822409629821777
19,french,iranians,652,1107,-1.2550181150436401,-0.30130699276924133,0.9537111222743988
20,french,iranians,991,530,-0.954602837562561,-0.6757951974868774,0.2788076400756836
21,french,iranians,516,1825,-1.0490676164627075,-0.05827808380126953,0.990789532661438
22,french,iranians,795,96,-1.1408518552780151,-0.678346574306488,0.4625052809715271
23,french,iranians,598,1862,-1.2264385223388672,-0.11188866943120956,1.1145498529076576
24,french,iranians,943,1083,-0.9234207272529602,-0.09489255398511887,0.8285281732678413
25,french,iranians,1776,1907,-1.1509069204330444,-0.4941807687282562,0.6567261517047882
26,french,iranians,488,532,-1.3178383111953735,-0.42523860931396484,0.8925997018814087
27,french,iranians,140,400,-1.0478686094284058,-0.015247679315507412,1.0326209301128983
28,french,iranians,509,348,-0.9748062491416931,-0.5995670557022095,0.37523919343948364
29,french,iranians,1430,1604,-1.0003505945205688,-0.16387639939785004,0.8364741951227188
30,french,iranians,694,1905,-1.162419080734253,-0.1278722733259201,1.0345468074083328
31,french,iranians,296,689,-1.1242632865905762,-0.309420645236969,0.8148426413536072
32,french,iranians,1899,1871,-0.9473749399185181,-0.7917553782463074,0.1556195616722107
33,french,iranians,918,213,-0.634270429611206,-0.6620301604270935,-0.02775973081588745
34,french,iranians,1679,1064,-0.8102914690971375,-0.9217693209648132,-0.11147785186767578
35,french,iranians,942,161,-0.9374035000801086,-0.5272234082221985,0.41018009185791016
36,french,iranians,207,462,-1.2772163152694702,-0.16383309662342072,1.1133832186460495
37,french,iranians,495,712,-1.133154273033142,-0.3314201831817627,0.8017340898513794
38,french,iranians,1464,1710,-1.067501425743103,-0.20603032410144806,0.861471101641655
39,french,iranians,1485,1703,-1.1826211214065552,-0.21537862718105316,0.967242494225502
40,french,iranians,990,1935,-1.0583555698394775,-0.14205753803253174,0.9162980318069458
41,french,iranians,1667,1448,-0.7308923006057739,-0.8016248941421509,-0.07073259353637695
42,french,iranians,49,357,-1.2134422063827515,0.05282047018408775,1.2662626765668392
43,french,iranians,241,491,-1.1895296573638916,-0.29366979002952576,0.8958598673343658
44,french,iranians,1223,1904,-1.017222285270691,-0.1678851842880249,0.849337100982666
45,french,iranians,1763,1428,-0.6773864030838013,-0.9075468182563782,-0.2301604151725769
46,french,iranians,1780,147,-0.7829435467720032,-0.5490425825119019,0.23390096426010132
47,french,iranians,776,343,-0.9690927863121033,-0.7325399518013,0.23655283451080322
48,french,iranians,483,330,-0.9778119921684265,-0.6034891605377197,0.3743228316307068
49,french,iranians,419,1438,-1.1270390748977661,-0.08882427215576172,1.0382148027420044
