,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,mexicans,1260,663,-1.9582451581954956,-1.1855496168136597,0.7726955413818359
1,french,mexicans,1573,838,-1.9017513990402222,-1.26828932762146,0.6334620714187622
2,french,mexicans,503,1871,-2.0081703662872314,-1.1504004001617432,0.8577699661254883
3,french,mexicans,1415,1014,-1.5969765186309814,-1.2733763456344604,0.323600172996521
4,french,mexicans,1276,748,-1.9302457571029663,-1.292763590812683,0.6374821662902832
5,french,mexicans,1973,92,-1.9167858362197876,-1.289732813835144,0.6270530223846436
6,french,mexicans,83,747,-1.5300568342208862,-1.114565134048462,0.4154917001724243
7,french,mexicans,1475,354,-2.0906982421875,-1.2344974279403687,0.8562008142471313
8,french,mexicans,1320,1143,-1.5970033407211304,-1.361681342124939,0.2353219985961914
9,french,mexicans,1394,483,-1.7466175556182861,-1.2766308784484863,0.4699866771697998
10,french,mexicans,1572,290,-1.9747053384780884,-1.3300080299377441,0.6446973085403442
11,french,mexicans,1068,753,-1.698024034500122,-1.1492840051651,0.548740029335022
12,french,mexicans,647,1191,-1.5959484577178955,-1.2121626138687134,0.38378584384918213
13,french,mexicans,1384,1130,-1.7194191217422485,-1.2920095920562744,0.4274095296859741
14,french,mexicans,1445,430,-2.0998051166534424,-1.3917042016983032,0.7081009149551392
15,french,mexicans,302,1551,-1.8837705850601196,-1.1959189176559448,0.6878516674041748
16,french,mexicans,1805,639,-2.4765701293945312,-1.7512577772140503,0.725312352180481
17,french,mexicans,587,1839,-1.5648103952407837,-1.0856002569198608,0.47921013832092285
18,french,mexicans,977,1708,-1.569029450416565,-1.0891698598861694,0.4798595905303955
19,french,mexicans,453,1798,-1.5996372699737549,-1.1043039560317993,0.49533331394195557
20,french,mexicans,846,1119,-1.7226976156234741,-1.1121724843978882,0.6105251312255859
21,french,mexicans,190,991,-1.7112493515014648,-1.3358248472213745,0.37542450428009033
22,french,mexicans,1354,1717,-1.71941339969635,-1.1531612873077393,0.5662521123886108
23,french,mexicans,1452,860,-1.887022852897644,-1.4352130889892578,0.45180976390838623
24,french,mexicans,167,1482,-1.7358897924423218,-1.2343769073486328,0.501512885093689
25,french,mexicans,1818,1052,-1.9560463428497314,-1.5202659368515015,0.43578040599823
26,french,mexicans,297,835,-1.7535394430160522,-1.2696079015731812,0.4839315414428711
27,french,mexicans,1621,1046,-1.6937364339828491,-1.4625599384307861,0.231176495552063
28,french,mexicans,474,153,-1.9663431644439697,-1.209739327430725,0.7566038370132446
29,french,mexicans,804,25,-2.0729892253875732,-1.1814292669296265,0.8915599584579468
30,french,mexicans,938,380,-1.9440937042236328,-1.2500475645065308,0.694046139717102
31,french,mexicans,1634,1329,-1.6745538711547852,-1.3557052612304688,0.3188486099243164
32,french,mexicans,653,1660,-1.7187296152114868,-1.1752948760986328,0.543434739112854
33,french,mexicans,1293,1996,-1.7163536548614502,-1.1315171718597412,0.584836483001709
34,french,mexicans,1747,1728,-1.6559416055679321,-1.2214241027832031,0.434517502784729
35,french,mexicans,1683,1245,-1.723385214805603,-1.4640239477157593,0.25936126708984375
36,french,mexicans,1444,1094,-1.8502143621444702,-1.339166522026062,0.5110478401184082
37,french,mexicans,1885,798,-2.255697250366211,-1.4670637845993042,0.7886334657669067
38,french,mexicans,1436,276,-2.000918388366699,-1.3282498121261597,0.6726685762405396
39,french,mexicans,213,860,-1.79180109500885,-1.379101037979126,0.4127000570297241
40,french,mexicans,876,59,-1.9565191268920898,-1.4323092699050903,0.5242098569869995
41,french,mexicans,1051,1845,-1.7881042957305908,-1.2114921808242798,0.576612114906311
42,french,mexicans,1288,412,-2.064281940460205,-1.3990833759307861,0.665198564529419
43,french,mexicans,625,714,-1.7429450750350952,-1.2129720449447632,0.529973030090332
44,french,mexicans,1312,1884,-1.6913350820541382,-0.854291558265686,0.8370435237884521
45,french,mexicans,1717,1632,-1.730328917503357,-1.3991014957427979,0.3312274217605591
46,french,mexicans,247,959,-1.8352130651474,-1.3602890968322754,0.4749239683151245
47,french,mexicans,491,1392,-1.7518980503082275,-1.159000277519226,0.5928977727890015
48,french,mexicans,1680,102,-2.3165929317474365,-1.5834674835205078,0.7331254482269287
49,french,mexicans,1376,1591,-1.8027557134628296,-1.1312980651855469,0.6714576482772827
