,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,canadians,1036,1863,-1.0480259656906128,-0.6824195981025696,0.3656063675880432
1,germans,canadians,142,18,-1.551814079284668,-1.0466667413711548,0.5051473379135132
2,germans,canadians,54,1623,-0.9214186668395996,-0.6915150880813599,0.22990357875823975
3,germans,canadians,28,727,-1.0400067567825317,-0.8327342867851257,0.207272469997406
4,germans,canadians,1851,403,-1.2731572389602661,-1.0184866189956665,0.2546706199645996
5,germans,canadians,488,1365,-1.0691250562667847,-0.7348506450653076,0.33427441120147705
6,germans,canadians,1262,1614,-0.8760883212089539,-0.6662499308586121,0.2098383903503418
7,germans,canadians,1266,1769,-1.0604034662246704,-0.8828282356262207,0.1775752305984497
8,germans,canadians,589,67,-1.1604636907577515,-0.8670384287834167,0.2934252619743347
9,germans,canadians,1443,756,-1.3306303024291992,-0.9026800394058228,0.42795026302337646
10,germans,canadians,76,1500,-1.1295465230941772,-0.7620034217834473,0.36754310131073
11,germans,canadians,952,1952,-0.8376489877700806,-0.7608164548873901,0.07683253288269043
12,germans,canadians,436,3,-1.334011435508728,-0.9592046737670898,0.3748067617416382
13,germans,canadians,602,1374,-1.0263084173202515,-0.7740190625190735,0.252289354801178
14,germans,canadians,1625,59,-1.4248665571212769,-0.994083821773529,0.4307827353477478
15,germans,canadians,1844,1422,-1.3243284225463867,-1.0484662055969238,0.2758622169494629
16,germans,canadians,545,723,-1.1398911476135254,-0.9256731271743774,0.21421802043914795
17,germans,canadians,35,1735,-0.8920604586601257,-0.7283952236175537,0.16366523504257202
18,germans,canadians,1370,684,-1.046277642250061,-0.6381300687789917,0.40814757347106934
19,germans,canadians,404,210,-1.2065271139144897,-0.9402438998222351,0.26628321409225464
20,germans,canadians,1554,425,-1.346461296081543,-0.9294439554214478,0.4170173406600952
21,germans,canadians,90,1392,-1.2106789350509644,-0.9377198219299316,0.2729591131210327
22,germans,canadians,1460,1197,-0.989369809627533,-0.9907243847846985,-0.0013545751571655273
23,germans,canadians,1722,1770,-0.9787052273750305,-0.5536062121391296,0.4250990152359009
24,germans,canadians,1558,702,-1.1476430892944336,-0.7560558915138245,0.39158719778060913
25,germans,canadians,637,1614,-0.7931801080703735,-0.6268522143363953,0.16632789373397827
26,germans,canadians,336,169,-1.2178558111190796,-0.8874220252037048,0.33043378591537476
27,germans,canadians,1238,555,-1.0699275732040405,-0.756950318813324,0.31297725439071655
28,germans,canadians,1793,117,-1.2706434726715088,-0.9427664875984192,0.3278769850730896
29,germans,canadians,210,591,-1.1811535358428955,-0.9264077544212341,0.2547457814216614
30,germans,canadians,1329,601,-1.0162609815597534,-0.6070196032524109,0.40924137830734253
31,germans,canadians,1886,1850,-1.4131726026535034,-1.2823429107666016,0.13082969188690186
32,germans,canadians,997,487,-1.3596490621566772,-1.0885097980499268,0.2711392641067505
33,germans,canadians,574,1499,-1.1144987344741821,-0.7897164225578308,0.3247823119163513
34,germans,canadians,1977,1145,-1.4962148666381836,-1.338060736656189,0.15815412998199463
35,germans,canadians,1996,349,-1.5501408576965332,-0.9343450665473938,0.6157957911491394
36,germans,canadians,1432,1697,-1.1202503442764282,-0.7533494234085083,0.3669009208679199
37,germans,canadians,341,1857,-0.9947453737258911,-0.80572110414505,0.18902426958084106
38,germans,canadians,1142,1709,-0.8752458691596985,-0.6559765338897705,0.21926933526992798
39,germans,canadians,1454,903,-1.2519818544387817,-0.8894080519676208,0.3625738024711609
40,germans,canadians,1626,5,-1.5047067403793335,-0.9667838215827942,0.5379229187965393
41,germans,canadians,1870,911,-2.1060988903045654,-1.2953022718429565,0.8107966184616089
42,germans,canadians,25,1696,-1.01118803024292,-0.68756502866745,0.32362300157546997
43,germans,canadians,553,1165,-1.0133401155471802,-0.8064374923706055,0.2069026231765747
44,germans,canadians,507,1289,-0.7881277203559875,-0.6318038702011108,0.1563238501548767
45,germans,canadians,512,1964,-0.916524350643158,-0.7876871824264526,0.12883716821670532
46,germans,canadians,335,1358,-1.33566153049469,-0.8367847800254822,0.49887675046920776
47,germans,canadians,1505,1110,-1.1103101968765259,-0.8884437680244446,0.2218664288520813
48,germans,canadians,31,121,-1.0564717054367065,-0.8791947364807129,0.17727696895599365
49,germans,canadians,1837,893,-1.3364869356155396,-0.9023371934890747,0.43414974212646484
