,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,israelis,824,1068,-1.3343125581741333,-1.2167108058929443,0.11760175228118896
1,germans,israelis,850,908,-1.3029059171676636,-1.1760953664779663,0.12681055068969727
2,germans,israelis,487,1111,-1.4338520765304565,-1.2586930990219116,0.17515897750854492
3,germans,israelis,785,230,-1.5705556869506836,-1.4373540878295898,0.13320159912109375
4,germans,israelis,1289,1644,-1.3762396574020386,-1.1074918508529663,0.26874780654907227
5,germans,israelis,974,1532,-1.2504006624221802,-1.1376230716705322,0.11277759075164795
6,germans,israelis,504,363,-1.5266168117523193,-1.1642900705337524,0.3623267412185669
7,germans,israelis,1738,1297,-1.362993597984314,-1.3417714834213257,0.02122211456298828
8,germans,israelis,1258,1058,-1.328298807144165,-1.1954138278961182,0.13288497924804688
9,germans,israelis,823,1249,-1.138620138168335,-1.2775591611862183,-0.1389390230178833
10,germans,israelis,537,444,-1.3939902782440186,-1.4013675451278687,-0.007377266883850098
11,germans,israelis,671,1051,-1.2229536771774292,-1.2140419483184814,0.008911728858947754
12,germans,israelis,241,486,-1.2908451557159424,-1.1902841329574585,0.10056102275848389
13,germans,israelis,87,1798,-1.3921083211898804,-1.0436038970947266,0.3485044240951538
14,germans,israelis,407,940,-1.372444987297058,-1.2597483396530151,0.11269664764404297
15,germans,israelis,1546,974,-1.5596956014633179,-1.1267566680908203,0.43293893337249756
16,germans,israelis,380,1749,-1.2742661237716675,-1.2110704183578491,0.06319570541381836
17,germans,israelis,1510,1126,-1.5182405710220337,-1.3315995931625366,0.18664097785949707
18,germans,israelis,1992,838,-1.525564193725586,-1.3006446361541748,0.22491955757141113
19,germans,israelis,530,573,-1.456909418106079,-1.2455451488494873,0.2113642692565918
20,germans,israelis,865,172,-1.3491802215576172,-1.1165682077407837,0.2326120138168335
21,germans,israelis,1889,1583,-1.3561519384384155,-1.2911615371704102,0.06499040126800537
22,germans,israelis,770,1564,-1.2229002714157104,-1.1507030725479126,0.07219719886779785
23,germans,israelis,843,1886,-1.1843751668930054,-1.052359938621521,0.13201522827148438
24,germans,israelis,1256,712,-1.446717619895935,-1.0665520429611206,0.38016557693481445
25,germans,israelis,229,501,-1.3560633659362793,-1.2352488040924072,0.12081456184387207
26,germans,israelis,1346,980,-1.5763089656829834,-1.3324289321899414,0.243880033493042
27,germans,israelis,1013,1720,-1.444891095161438,-1.2949024438858032,0.14998865127563477
28,germans,israelis,407,713,-1.3345531225204468,-1.1971349716186523,0.13741815090179443
29,germans,israelis,1199,679,-1.3262982368469238,-1.173336386680603,0.1529618501663208
30,germans,israelis,680,1509,-1.3112319707870483,-1.2375335693359375,0.07369840145111084
31,germans,israelis,830,802,-1.3228665590286255,-1.326528787612915,-0.0036622285842895508
32,germans,israelis,720,69,-1.352164626121521,-1.265497088432312,0.08666753768920898
33,germans,israelis,1896,624,-1.7145923376083374,-1.264683485031128,0.4499088525772095
34,germans,israelis,1987,783,-1.349998116493225,-1.4143400192260742,-0.06434190273284912
35,germans,israelis,1215,1019,-1.3830608129501343,-1.4009491205215454,-0.017888307571411133
36,germans,israelis,1096,1953,-1.1886308193206787,-1.038527488708496,0.15010333061218262
37,germans,israelis,1927,824,-1.8782604932785034,-1.2555248737335205,0.6227356195449829
38,germans,israelis,108,1030,-1.419010877609253,-1.2695648670196533,0.1494460105895996
39,germans,israelis,493,1104,-1.355708360671997,-1.2339905500411987,0.12171781063079834
40,germans,israelis,108,459,-1.3395135402679443,-1.181229829788208,0.15828371047973633
41,germans,israelis,584,515,-1.4042000770568848,-1.3122929334640503,0.09190714359283447
42,germans,israelis,1263,199,-1.568305253982544,-1.3542976379394531,0.21400761604309082
43,germans,israelis,580,1831,-1.4054490327835083,-1.2938228845596313,0.11162614822387695
44,germans,israelis,1368,8,-1.7011451721191406,-1.1928088665008545,0.5083363056182861
45,germans,israelis,1282,707,-1.4622966051101685,-0.9819726943969727,0.4803239107131958
46,germans,israelis,1507,456,-1.5014212131500244,-1.3957463502883911,0.1056748628616333
47,germans,israelis,1409,1730,-1.34951651096344,-0.9956596493721008,0.3538568615913391
48,germans,israelis,1105,1617,-1.2076188325881958,-1.129353404045105,0.07826542854309082
49,germans,israelis,362,191,-1.39214289188385,-1.2498884201049805,0.14225447177886963
