,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,indians,brits,1047,1571,-2.5998001098632812,-1.512266755104065,1.0875333547592163
1,indians,brits,1832,1553,-2.393433094024658,-1.7657743692398071,0.6276587247848511
2,indians,brits,570,1861,-2.8297815322875977,-1.7584842443466187,1.071297287940979
3,indians,brits,656,1708,-2.215869903564453,-1.3854821920394897,0.8303877115249634
4,indians,brits,1639,1149,-2.2631545066833496,-1.9235963821411133,0.33955812454223633
5,indians,brits,578,672,-2.176720380783081,-1.4433094263076782,0.7334109544754028
6,indians,brits,1317,1370,-2.231719732284546,-1.1155227422714233,1.1161969900131226
7,indians,brits,1252,712,-2.295314073562622,-1.7567485570907593,0.5385655164718628
8,indians,brits,1373,134,-2.2619361877441406,-2.0765419006347656,0.185394287109375
9,indians,brits,1387,1094,-2.05191969871521,-1.8723868131637573,0.17953288555145264
10,indians,brits,763,85,-2.5731589794158936,-2.1720759868621826,0.40108299255371094
11,indians,brits,1795,1403,-2.207298517227173,-1.9228371381759644,0.2844613790512085
12,indians,brits,995,1069,-2.609578847885132,-1.5237312316894531,1.0858476161956787
13,indians,brits,873,1673,-2.559751272201538,-1.30003023147583,1.259721040725708
14,indians,brits,179,143,-2.3843886852264404,-1.7834274768829346,0.6009612083435059
15,indians,brits,1003,225,-2.23589825630188,-2.104294538497925,0.13160371780395508
16,indians,brits,20,1942,-2.345571279525757,-2.2375402450561523,0.10803103446960449
17,indians,brits,981,1339,-2.4731032848358154,-1.320733904838562,1.1523693799972534
18,indians,brits,152,1696,-2.5106167793273926,-1.3796623945236206,1.130954384803772
19,indians,brits,1792,868,-2.4487404823303223,-2.225388765335083,0.22335171699523926
20,indians,brits,1764,1828,-2.767204761505127,-1.7900317907333374,0.9771729707717896
21,indians,brits,1580,1899,-2.6840322017669678,-2.156078815460205,0.5279533863067627
22,indians,brits,1503,360,-2.3465657234191895,-1.8091764450073242,0.5373892784118652
23,indians,brits,285,384,-2.2078733444213867,-1.5182476043701172,0.6896257400512695
24,indians,brits,1393,314,-2.3857128620147705,-1.7819985151290894,0.6037143468856812
25,indians,brits,1913,415,-2.8563127517700195,-2.5611469745635986,0.2951657772064209
26,indians,brits,277,250,-2.0758607387542725,-2.000124931335449,0.07573580741882324
27,indians,brits,1325,1452,-2.3417584896087646,-1.4829059839248657,0.8588525056838989
28,indians,brits,124,1024,-2.424006462097168,-1.6456025838851929,0.7784038782119751
29,indians,brits,1469,309,-2.141003131866455,-1.8560291528701782,0.28497397899627686
30,indians,brits,104,1608,-2.649858236312866,-1.6642764806747437,0.9855817556381226
31,indians,brits,1298,696,-1.8551431894302368,-1.5991270542144775,0.2560161352157593
32,indians,brits,106,1413,-2.7517333030700684,-1.1513590812683105,1.6003742218017578
33,indians,brits,647,777,-2.3756661415100098,-1.6632941961288452,0.7123719453811646
34,indians,brits,1474,747,-2.254209280014038,-1.5967477560043335,0.6574615240097046
35,indians,brits,1557,1189,-2.121703863143921,-2.001035213470459,0.12066864967346191
36,indians,brits,1044,1373,-2.760422468185425,-1.5895013809204102,1.1709210872650146
37,indians,brits,1723,1386,-2.5780627727508545,-2.0107266902923584,0.5673360824584961
38,indians,brits,1562,810,-2.020559072494507,-1.962900996208191,0.05765807628631592
39,indians,brits,1520,883,-2.4224913120269775,-2.260014772415161,0.1624765396118164
40,indians,brits,862,208,-1.9433603286743164,-2.003432512283325,-0.06007218360900879
41,indians,brits,1993,881,-2.521287679672241,-2.216665506362915,0.30462217330932617
42,indians,brits,863,1894,-2.276150941848755,-1.2263609170913696,1.0497900247573853
43,indians,brits,725,1037,-2.26202654838562,-1.6092878580093384,0.6527386903762817
44,indians,brits,943,474,-2.120460271835327,-2.014061212539673,0.1063990592956543
45,indians,brits,495,34,-2.1545135974884033,-1.954673171043396,0.19984042644500732
46,indians,brits,1646,1212,-2.4452614784240723,-2.038494825363159,0.4067666530609131
47,indians,brits,1097,898,-1.9394267797470093,-2.0251882076263428,-0.0857614278793335
48,indians,brits,1348,893,-2.3238539695739746,-1.774740219116211,0.5491137504577637
49,indians,brits,1,406,-3.0625483989715576,-1.1632646322250366,1.899283766746521
