,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,indians,germans,1632,71,-0.5305848121643066,-0.553884744644165,-0.0232999324798584
1,indians,germans,1990,68,-0.735536515712738,-0.7841967940330505,-0.0486602783203125
2,indians,germans,1035,586,-0.5493936538696289,-0.6139683127403259,-0.06457465887069702
3,indians,germans,881,1944,-0.35385799407958984,-0.4226548373699188,-0.06879684329032898
4,indians,germans,1734,1361,-0.5312182903289795,-0.4794095456600189,0.05180874466896057
5,indians,germans,1755,1082,-0.7167803645133972,-0.5207266807556152,0.19605368375778198
6,indians,germans,725,1312,-0.35344114899635315,-0.24360059201717377,0.10984055697917938
7,indians,germans,1943,969,0.05150115489959717,-0.3445143699645996,-0.3960155248641968
8,indians,germans,547,1872,-0.43132898211479187,-0.3527841567993164,0.07854482531547546
9,indians,germans,1603,1560,-0.3609437048435211,-0.4286036491394043,-0.06765994429588318
10,indians,germans,1830,351,-0.5251783728599548,-0.5305608510971069,-0.0053824782371521
11,indians,germans,1539,99,-0.7105287909507751,-0.5423664450645447,0.16816234588623047
12,indians,germans,967,1604,-0.5523530840873718,-0.29460594058036804,0.2577471435070038
13,indians,germans,156,1568,-0.5605139136314392,-0.39949938654899597,0.16101452708244324
14,indians,germans,668,270,-0.6830384731292725,-0.4663395583629608,0.21669891476631165
15,indians,germans,1743,1075,-0.6752067804336548,-0.5166516304016113,0.15855515003204346
16,indians,germans,135,589,-0.48226282000541687,-0.361518919467926,0.12074390053749084
17,indians,germans,18,436,-0.5998409390449524,-0.2739852964878082,0.32585564255714417
18,indians,germans,168,1027,-0.6149170994758606,-0.3964540660381317,0.21846303343772888
19,indians,germans,1718,399,-0.6665970087051392,-0.5404903292655945,0.12610667943954468
20,indians,germans,1178,457,-0.5787487030029297,-0.5574623942375183,0.021286308765411377
21,indians,germans,1837,239,-0.46803686022758484,-0.5122057199478149,-0.0441688597202301
22,indians,germans,204,1113,-0.530567467212677,-0.3311462104320526,0.1994212567806244
23,indians,germans,743,849,-0.4411197602748871,-0.39545533061027527,0.045664429664611816
24,indians,germans,842,109,-0.5939119458198547,-0.5580414533615112,0.035870492458343506
25,indians,germans,1784,749,-0.42165061831474304,-0.5556435585021973,-0.13399294018745422
26,indians,germans,447,406,-0.4604407250881195,-0.48995205760002136,-0.029511332511901855
27,indians,germans,1702,1568,-0.3767223060131073,-0.47219178080558777,-0.09546947479248047
28,indians,germans,1016,1836,-0.5160118341445923,-0.3899480402469635,0.12606379389762878
29,indians,germans,1950,965,-0.41048675775527954,-0.34016153216362,0.07032522559165955
30,indians,germans,1706,1019,-0.4587893486022949,-0.47815924882888794,-0.019369900226593018
31,indians,germans,847,342,-0.5955461859703064,-0.45630016922950745,0.13924601674079895
32,indians,germans,532,1793,-0.4833645820617676,-0.2847972512245178,0.19856733083724976
33,indians,germans,12,304,-0.7352908253669739,-0.6734799146652222,0.06181091070175171
34,indians,germans,1549,956,-0.5693925023078918,-0.5297701954841614,0.03962230682373047
35,indians,germans,455,150,-0.8278982043266296,-0.5577549934387207,0.27014321088790894
36,indians,germans,1207,343,-0.5997755527496338,-0.6004496812820435,-0.000674128532409668
37,indians,germans,1858,71,-0.5262112021446228,-0.5299245715141296,-0.003713369369506836
38,indians,germans,1751,705,-0.5482664108276367,-0.46789035201072693,0.08037605881690979
39,indians,germans,571,41,-0.6042056083679199,-0.5289815664291382,0.07522404193878174
40,indians,germans,1129,1431,-0.5179895162582397,-0.4730336368083954,0.04495587944984436
41,indians,germans,1761,1183,-0.5337831974029541,-0.48916807770729065,0.04461511969566345
42,indians,germans,1345,989,-0.506598949432373,-0.4904916286468506,0.01610732078552246
43,indians,germans,1183,414,-0.6952922940254211,-0.549458920955658,0.14583337306976318
44,indians,germans,1330,1923,-0.5898633599281311,-0.32497596740722656,0.26488739252090454
45,indians,germans,1605,442,-0.5577476024627686,-0.656330943107605,-0.09858334064483643
46,indians,germans,701,218,-0.5035151839256287,-0.5746525526046753,-0.07113736867904663
47,indians,germans,71,448,-0.5993058085441589,-0.3962351977825165,0.20307061076164246
48,indians,germans,925,290,-0.7649975419044495,-0.5509538650512695,0.21404367685317993
49,indians,germans,960,1711,-0.47242555022239685,-0.3693743646144867,0.10305118560791016
