,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,iranians,filipinos,765,1380,-0.29953524470329285,0.047975946217775345,0.3475111909210682
1,iranians,filipinos,1208,1652,-0.7140433192253113,0.010121273808181286,0.7241645930334926
2,iranians,filipinos,1460,1813,-0.539524257183075,-0.1664368361234665,0.37308742105960846
3,iranians,filipinos,1707,1040,-0.32380086183547974,-0.8528227806091309,-0.5290219187736511
4,iranians,filipinos,880,1308,-0.5964911580085754,-0.29634422063827515,0.3001469373703003
5,iranians,filipinos,1627,771,-0.1745866984128952,-0.5865487456321716,-0.41196204721927643
6,iranians,filipinos,800,662,-0.108655646443367,-0.484900563955307,-0.37624491751194
7,iranians,filipinos,286,1798,-0.6938751339912415,-0.1421433538198471,0.5517317801713943
8,iranians,filipinos,374,1137,-0.506174623966217,-0.15385031700134277,0.35232430696487427
9,iranians,filipinos,843,535,-0.1788461059331894,-0.5828973054885864,-0.40405119955539703
10,iranians,filipinos,1713,7,-0.15100577473640442,-0.5641611218452454,-0.41315534710884094
11,iranians,filipinos,610,1774,-0.7755395174026489,-0.19886842370033264,0.5766710937023163
12,iranians,filipinos,376,735,-0.4110841751098633,-0.21348825097084045,0.19759592413902283
13,iranians,filipinos,386,1398,-0.606024444103241,-0.19692380726337433,0.40910063683986664
14,iranians,filipinos,1958,1945,-0.2924446165561676,-0.4823554456233978,-0.18991082906723022
15,iranians,filipinos,622,961,-0.5333309173583984,-0.3098016679286957,0.22352924942970276
16,iranians,filipinos,1712,1353,-0.06262769550085068,-0.7111461758613586,-0.648518480360508
17,iranians,filipinos,807,715,-0.44174057245254517,-0.6254894733428955,-0.18374890089035034
18,iranians,filipinos,640,1639,-0.7250458598136902,0.005185532849282026,0.7302313926629722
19,iranians,filipinos,564,124,-0.06070880964398384,-0.5301708579063416,-0.4694620482623577
20,iranians,filipinos,417,1566,-0.5092740654945374,-0.0033873319625854492,0.5058867335319519
21,iranians,filipinos,1872,759,-0.11257600784301758,-0.530340850353241,-0.4177648425102234
22,iranians,filipinos,1824,406,-0.06159107759594917,-0.52372807264328,-0.46213699504733086
23,iranians,filipinos,1236,125,-0.16517825424671173,-0.5785317420959473,-0.41335348784923553
24,iranians,filipinos,1684,1160,-0.24536187946796417,-0.8887316584587097,-0.6433697789907455
25,iranians,filipinos,1563,533,0.023815274238586426,-0.703583300113678,-0.7273985743522644
26,iranians,filipinos,1692,1762,-0.4916214644908905,-0.14080853760242462,0.3508129268884659
27,iranians,filipinos,1898,293,-0.19282129406929016,-0.625849187374115,-0.43302789330482483
28,iranians,filipinos,1153,164,0.0316787026822567,-0.6089410185813904,-0.6406197212636471
29,iranians,filipinos,987,1596,-0.47033628821372986,0.04370901733636856,0.5140453055500984
30,iranians,filipinos,441,92,-0.20627248287200928,-0.5792321562767029,-0.3729596734046936
31,iranians,filipinos,878,1313,-0.5376297235488892,-0.34414124488830566,0.1934884786605835
32,iranians,filipinos,438,108,-0.19303679466247559,-0.5109856724739075,-0.3179488778114319
33,iranians,filipinos,1874,1312,-0.28034770488739014,-0.6445077657699585,-0.36416006088256836
34,iranians,filipinos,1687,1422,-0.14809644222259521,-0.7157506942749023,-0.5676542520523071
35,iranians,filipinos,745,511,-0.30135923624038696,-0.5800005793571472,-0.27864134311676025
36,iranians,filipinos,1283,1432,-0.5648531317710876,0.02197902277112007,0.5868321545422077
37,iranians,filipinos,1411,1483,-0.6863718628883362,-0.09791932255029678,0.5884525403380394
38,iranians,filipinos,229,629,-0.6677564978599548,-0.4887278079986572,0.1790286898612976
39,iranians,filipinos,22,1192,-0.7697622179985046,-0.04005551338195801,0.7297067046165466
40,iranians,filipinos,1150,815,-0.1151435375213623,-0.5514307022094727,-0.43628716468811035
41,iranians,filipinos,500,1559,-0.6550441384315491,-0.13486647605895996,0.5201776623725891
42,iranians,filipinos,1185,1566,-0.7525432109832764,-0.1786079853773117,0.5739352256059647
43,iranians,filipinos,1141,1756,-0.6820821762084961,-0.07636423408985138,0.6057179421186447
44,iranians,filipinos,204,555,-0.587836742401123,-0.32791176438331604,0.259924978017807
45,iranians,filipinos,539,1013,-0.6712740659713745,-0.2509734332561493,0.4203006327152252
46,iranians,filipinos,796,1848,-0.5879681706428528,-0.21271400153636932,0.37525416910648346
47,iranians,filipinos,1484,1210,-0.19563090801239014,-0.7728046774864197,-0.5771737694740295
48,iranians,filipinos,861,506,-0.23088589310646057,-0.7596740126609802,-0.5287881195545197
49,iranians,filipinos,1265,592,-0.0972723513841629,-0.6320791840553284,-0.5348068326711655
