,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,israelis,ukrainians,1135,1878,-2.8135974407196045,-1.4258670806884766,1.387730360031128
1,israelis,ukrainians,1092,596,-2.422919511795044,-1.8407481908798218,0.5821713209152222
2,israelis,ukrainians,675,29,-2.2236568927764893,-1.2731523513793945,0.9505045413970947
3,israelis,ukrainians,411,572,-2.963905096054077,-1.5522359609603882,1.411669135093689
4,israelis,ukrainians,1355,1642,-2.8302924633026123,-1.1779545545578003,1.652337908744812
5,israelis,ukrainians,1966,650,-2.6701064109802246,-1.790732979774475,0.8793734312057495
6,israelis,ukrainians,1468,1979,-2.5609397888183594,-1.3338192701339722,1.2271205186843872
7,israelis,ukrainians,1755,160,-2.45269775390625,-1.992309808731079,0.4603879451751709
8,israelis,ukrainians,1379,604,-2.424992084503174,-1.852976679801941,0.5720154047012329
9,israelis,ukrainians,479,1721,-3.3752458095550537,-1.4228262901306152,1.9524195194244385
10,israelis,ukrainians,370,104,-2.3644702434539795,-2.261784315109253,0.10268592834472656
11,israelis,ukrainians,1667,573,-2.5413148403167725,-1.8011448383331299,0.7401700019836426
12,israelis,ukrainians,175,1955,-3.1248366832733154,-1.2038681507110596,1.9209685325622559
13,israelis,ukrainians,1824,1883,-2.4247918128967285,-1.1452747583389282,1.2795170545578003
14,israelis,ukrainians,517,1593,-3.3537158966064453,-1.3595020771026611,1.9942138195037842
15,israelis,ukrainians,783,1076,-2.9819858074188232,-1.6270967721939087,1.3548890352249146
16,israelis,ukrainians,1876,1912,-2.3819358348846436,-0.9264618158340454,1.4554740190505981
17,israelis,ukrainians,1581,1236,-2.691092014312744,-1.876063585281372,0.8150284290313721
18,israelis,ukrainians,1970,331,-2.724781036376953,-1.4341139793395996,1.2906670570373535
19,israelis,ukrainians,1824,806,-2.4395577907562256,-1.9624851942062378,0.4770725965499878
20,israelis,ukrainians,399,1260,-3.4076836109161377,-1.3817352056503296,2.025948405265808
21,israelis,ukrainians,13,1824,-3.485790729522705,-1.7514866590499878,1.7343040704727173
22,israelis,ukrainians,1532,1289,-2.250298261642456,-1.6329536437988281,0.6173446178436279
23,israelis,ukrainians,1408,755,-3.1015095710754395,-2.239300012588501,0.8622095584869385
24,israelis,ukrainians,59,1547,-3.1239590644836426,-1.1440156698226929,1.9799433946609497
25,israelis,ukrainians,429,422,-2.5886831283569336,-1.7560758590698242,0.8326072692871094
26,israelis,ukrainians,329,1059,-3.0837857723236084,-1.47878098487854,1.6050047874450684
27,israelis,ukrainians,1663,377,-2.541978120803833,-2.0375473499298096,0.5044307708740234
28,israelis,ukrainians,651,1683,-3.2691707611083984,-1.3945379257202148,1.8746328353881836
29,israelis,ukrainians,778,732,-2.6999027729034424,-1.7760177850723267,0.9238849878311157
30,israelis,ukrainians,545,1761,-3.4869911670684814,-1.6676628589630127,1.8193283081054688
31,israelis,ukrainians,668,258,-2.4708168506622314,-2.1283938884735107,0.3424229621887207
32,israelis,ukrainians,1608,1522,-2.5536699295043945,-1.793002724647522,0.7606672048568726
33,israelis,ukrainians,943,1606,-2.8986153602600098,-1.5342326164245605,1.3643827438354492
34,israelis,ukrainians,1180,1453,-2.8724305629730225,-1.4265056848526,1.4459248781204224
35,israelis,ukrainians,927,533,-2.4893851280212402,-2.191847324371338,0.29753780364990234
36,israelis,ukrainians,1279,1052,-2.178849935531616,-1.4244025945663452,0.754447340965271
37,israelis,ukrainians,55,546,-3.318040132522583,-1.3395423889160156,1.9784977436065674
38,israelis,ukrainians,414,1325,-3.295827865600586,-1.5016096830368042,1.7942181825637817
39,israelis,ukrainians,1162,1233,-2.709435224533081,-1.353710412979126,1.355724811553955
40,israelis,ukrainians,1828,194,-2.4370830059051514,-1.8189510107040405,0.6181319952011108
41,israelis,ukrainians,1168,1386,-2.817506790161133,-1.5333343744277954,1.2841724157333374
42,israelis,ukrainians,1536,1602,-2.576256275177002,-1.1340187788009644,1.4422374963760376
43,israelis,ukrainians,1783,1232,-2.420212745666504,-1.6087030172348022,0.8115097284317017
44,israelis,ukrainians,1854,743,-2.3086605072021484,-1.7008661031723022,0.6077944040298462
45,israelis,ukrainians,558,1888,-3.416734457015991,-1.7091230154037476,1.7076114416122437
46,israelis,ukrainians,514,91,-2.324526309967041,-1.8681854009628296,0.4563409090042114
47,israelis,ukrainians,561,1285,-3.118907928466797,-1.4389113187789917,1.6799966096878052
48,israelis,ukrainians,1642,1386,-2.4284615516662598,-1.7698242664337158,0.658637285232544
49,israelis,ukrainians,1778,519,-2.4536595344543457,-1.5827378034591675,0.8709217309951782
