,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,iranians,1559,1302,-1.833726167678833,-1.4478667974472046,0.3858593702316284
1,japanese,iranians,567,1251,-1.5788236856460571,-1.055605173110962,0.5232185125350952
2,japanese,iranians,1564,890,-1.610824465751648,-1.1418997049331665,0.46892476081848145
3,japanese,iranians,1535,1187,-1.5773695707321167,-1.300585389137268,0.27678418159484863
4,japanese,iranians,512,22,-1.8982601165771484,-1.3135894536972046,0.5846706628799438
5,japanese,iranians,1949,1411,-1.5928314924240112,-1.1753062009811401,0.4175252914428711
6,japanese,iranians,41,500,-1.6135295629501343,-1.1394312381744385,0.4740983247756958
7,japanese,iranians,377,929,-1.5811326503753662,-1.1531895399093628,0.4279431104660034
8,japanese,iranians,1077,492,-1.6588808298110962,-1.1790432929992676,0.4798375368118286
9,japanese,iranians,726,1588,-1.4701144695281982,-1.0850416421890259,0.38507282733917236
10,japanese,iranians,121,487,-1.500503420829773,-1.1840640306472778,0.3164393901824951
11,japanese,iranians,290,1952,-1.8510903120040894,-1.0666719675064087,0.7844183444976807
12,japanese,iranians,1006,902,-1.732186198234558,-1.270617127418518,0.46156907081604004
13,japanese,iranians,1005,973,-1.6328296661376953,-1.320906162261963,0.3119235038757324
14,japanese,iranians,1294,129,-1.8220313787460327,-1.3264583349227905,0.4955730438232422
15,japanese,iranians,1732,673,-1.6328541040420532,-1.0413703918457031,0.5914837121963501
16,japanese,iranians,1870,1989,-2.0101444721221924,-1.0275599956512451,0.9825844764709473
17,japanese,iranians,92,83,-1.6734641790390015,-1.3328673839569092,0.3405967950820923
18,japanese,iranians,809,1014,-1.5630369186401367,-1.0991522073745728,0.46388471126556396
19,japanese,iranians,1867,374,-1.9889872074127197,-1.2564456462860107,0.732541561126709
20,japanese,iranians,1915,32,-2.398390531539917,-1.4169527292251587,0.9814378023147583
21,japanese,iranians,1503,1314,-1.5722137689590454,-1.2542173862457275,0.31799638271331787
22,japanese,iranians,1922,1328,-1.666426658630371,-1.1706042289733887,0.4958224296569824
23,japanese,iranians,734,517,-1.7946335077285767,-1.1694999933242798,0.6251335144042969
24,japanese,iranians,285,1367,-1.7737305164337158,-1.172139048576355,0.6015914678573608
25,japanese,iranians,254,120,-2.1343085765838623,-1.3378561735153198,0.7964524030685425
26,japanese,iranians,1742,1077,-1.425837755203247,-1.2441679239273071,0.18166983127593994
27,japanese,iranians,424,286,-1.994348168373108,-1.361099123954773,0.633249044418335
28,japanese,iranians,478,1855,-1.705574870109558,-1.0634876489639282,0.6420872211456299
29,japanese,iranians,1666,111,-1.9878290891647339,-1.36752450466156,0.6203045845031738
30,japanese,iranians,1399,1301,-1.5462760925292969,-1.1397303342819214,0.4065457582473755
31,japanese,iranians,246,714,-1.753839373588562,-1.145869493484497,0.6079698801040649
32,japanese,iranians,542,667,-1.5625261068344116,-1.0399526357650757,0.5225734710693359
33,japanese,iranians,1220,848,-1.8549606800079346,-1.280342698097229,0.5746179819107056
34,japanese,iranians,338,853,-1.6238857507705688,-1.1646827459335327,0.45920300483703613
35,japanese,iranians,1921,170,-2.2098746299743652,-1.4798692464828491,0.7300053834915161
36,japanese,iranians,1445,1468,-1.808481216430664,-1.1351102590560913,0.6733709573745728
37,japanese,iranians,1964,423,-1.8214706182479858,-1.289526343345642,0.5319442749023438
38,japanese,iranians,267,1668,-1.6812336444854736,-1.195546269416809,0.48568737506866455
39,japanese,iranians,1644,258,-1.9487698078155518,-1.2699459791183472,0.6788238286972046
40,japanese,iranians,1646,1896,-1.5842560529708862,-1.0357418060302734,0.5485142469406128
41,japanese,iranians,1921,1188,-1.9813896417617798,-1.518565058708191,0.46282458305358887
42,japanese,iranians,955,1088,-1.6417324542999268,-1.0622044801712036,0.5795279741287231
43,japanese,iranians,618,1652,-1.6066612005233765,-1.018984079360962,0.5876771211624146
44,japanese,iranians,1757,1674,-1.3555105924606323,-1.1851743459701538,0.17033624649047852
45,japanese,iranians,1462,581,-1.5817253589630127,-1.142651081085205,0.4390742778778076
46,japanese,iranians,391,1381,-1.6351072788238525,-1.2756931781768799,0.35941410064697266
47,japanese,iranians,960,192,-1.9180372953414917,-1.428722858428955,0.4893144369125366
48,japanese,iranians,212,385,-1.7456172704696655,-1.3310493230819702,0.4145679473876953
49,japanese,iranians,1469,803,-1.7337875366210938,-1.1341452598571777,0.599642276763916
