,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,israelis,122,1379,-2.594356060028076,-0.8913588523864746,1.7029972076416016
1,japanese,israelis,1381,24,-2.1142737865448,-1.759677529335022,0.35459625720977783
2,japanese,israelis,1497,1015,-1.798681616783142,-1.6118261814117432,0.18685543537139893
3,japanese,israelis,137,652,-2.3802857398986816,-1.1424726247787476,1.237813115119934
4,japanese,israelis,876,1460,-2.5658912658691406,-0.9796316027641296,1.586259663105011
5,japanese,israelis,990,1985,-2.584371328353882,-0.9885079264640808,1.595863401889801
6,japanese,israelis,1352,159,-1.8849090337753296,-1.7531801462173462,0.1317288875579834
7,japanese,israelis,1647,674,-2.1213557720184326,-1.5317481756210327,0.5896075963973999
8,japanese,israelis,79,968,-2.7567925453186035,-1.0548063516616821,1.7019861936569214
9,japanese,israelis,1766,1441,-2.141753673553467,-1.4835556745529175,0.6581979990005493
10,japanese,israelis,943,515,-1.9606106281280518,-1.922301173210144,0.038309454917907715
11,japanese,israelis,725,1735,-2.6338279247283936,-0.9823840260505676,1.651443898677826
12,japanese,israelis,371,232,-1.8795322179794312,-1.8357914686203003,0.04374074935913086
13,japanese,israelis,710,1206,-2.76725697517395,-1.132786512374878,1.6344704627990723
14,japanese,israelis,1363,101,-1.9069699048995972,-1.9173462390899658,-0.010376334190368652
15,japanese,israelis,382,440,-2.6775951385498047,-1.5243864059448242,1.1532087326049805
16,japanese,israelis,818,1266,-2.513270139694214,-0.964317798614502,1.548952341079712
17,japanese,israelis,1534,100,-1.9601706266403198,-1.54150390625,0.4186667203903198
18,japanese,israelis,1927,245,-2.336104393005371,-1.664147973060608,0.6719564199447632
19,japanese,israelis,1089,1519,-2.4395737648010254,-1.348109245300293,1.0914645195007324
20,japanese,israelis,1519,18,-1.8041858673095703,-1.8297642469406128,-0.02557837963104248
21,japanese,israelis,1665,1818,-2.2976036071777344,-1.1246627569198608,1.1729408502578735
22,japanese,israelis,660,1176,-2.6065917015075684,-1.1705057621002197,1.4360859394073486
23,japanese,israelis,697,1257,-2.4732682704925537,-1.1637293100357056,1.3095389604568481
24,japanese,israelis,1286,1249,-1.4545544385910034,-1.5136923789978027,-0.059137940406799316
25,japanese,israelis,668,1636,-2.629063129425049,-0.9176416397094727,1.7114214897155762
26,japanese,israelis,778,1545,-2.365248680114746,-1.0730717182159424,1.2921769618988037
27,japanese,israelis,1626,685,-2.1379659175872803,-1.989854097366333,0.14811182022094727
28,japanese,israelis,689,982,-2.3501269817352295,-1.045497179031372,1.3046298027038574
29,japanese,israelis,1143,1045,-1.9727203845977783,-1.670766830444336,0.3019535541534424
30,japanese,israelis,314,39,-2.0316884517669678,-1.7195980548858643,0.3120903968811035
31,japanese,israelis,1488,787,-1.918885588645935,-1.4049291610717773,0.5139564275741577
32,japanese,israelis,488,753,-2.6564464569091797,-1.2590121030807495,1.3974343538284302
33,japanese,israelis,751,77,-1.889290690422058,-1.6383459568023682,0.25094473361968994
34,japanese,israelis,1893,1326,-2.3970468044281006,-1.5228819847106934,0.8741648197174072
35,japanese,israelis,879,178,-1.9586902856826782,-1.8142849206924438,0.14440536499023438
36,japanese,israelis,617,1376,-2.7236850261688232,-0.9959301948547363,1.727754831314087
37,japanese,israelis,1143,140,-2.119462251663208,-1.6099401712417603,0.5095220804214478
38,japanese,israelis,1470,1715,-2.3863208293914795,-1.2370326519012451,1.1492881774902344
39,japanese,israelis,834,368,-2.1033809185028076,-1.6947768926620483,0.4086040258407593
40,japanese,israelis,489,1597,-2.993696928024292,-1.108136534690857,1.885560393333435
41,japanese,israelis,925,1153,-2.6162211894989014,-1.0579992532730103,1.5582219362258911
42,japanese,israelis,1875,1226,-1.8800363540649414,-1.5414278507232666,0.3386085033416748
43,japanese,israelis,1643,1848,-2.232070207595825,-0.9631345868110657,1.2689356207847595
44,japanese,israelis,1025,1216,-2.3866608142852783,-1.1144192218780518,1.2722415924072266
45,japanese,israelis,484,351,-2.421739339828491,-1.853880763053894,0.5678585767745972
46,japanese,israelis,1894,945,-2.607326030731201,-1.5606937408447266,1.0466322898864746
47,japanese,israelis,256,243,-1.7066627740859985,-1.665347695350647,0.04131507873535156
48,japanese,israelis,677,1527,-2.5440595149993896,-1.0616248846054077,1.482434630393982
49,japanese,israelis,11,675,-2.144554853439331,-1.240243673324585,0.9043111801147461
