,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,palestinians,369,34,-2.3319790363311768,-1.6564950942993164,0.6754839420318604
1,japanese,palestinians,1407,1987,-1.7392653226852417,-1.1377359628677368,0.6015293598175049
2,japanese,palestinians,1841,997,-1.9515869617462158,-1.4497963190078735,0.5017906427383423
3,japanese,palestinians,1569,1861,-1.9364662170410156,-1.272576928138733,0.6638892889022827
4,japanese,palestinians,856,454,-1.915734887123108,-1.309411883354187,0.6063230037689209
5,japanese,palestinians,779,169,-1.9317750930786133,-1.3694390058517456,0.5623360872268677
6,japanese,palestinians,737,581,-1.688044786453247,-1.343031406402588,0.3450133800506592
7,japanese,palestinians,193,1465,-2.091608762741089,-1.2980091571807861,0.7935996055603027
8,japanese,palestinians,829,704,-1.8681987524032593,-1.4475727081298828,0.42062604427337646
9,japanese,palestinians,262,1244,-1.8938621282577515,-1.1353302001953125,0.758531928062439
10,japanese,palestinians,221,1003,-1.8912209272384644,-1.2699947357177734,0.6212261915206909
11,japanese,palestinians,675,994,-1.8043040037155151,-1.1895984411239624,0.6147055625915527
12,japanese,palestinians,1269,101,-1.949977159500122,-1.3217123746871948,0.6282647848129272
13,japanese,palestinians,1558,1509,-1.827688455581665,-1.2546707391738892,0.5730177164077759
14,japanese,palestinians,1488,571,-1.7552000284194946,-1.2737112045288086,0.48148882389068604
15,japanese,palestinians,1623,1231,-1.7907718420028687,-1.3955971002578735,0.3951747417449951
16,japanese,palestinians,144,1088,-1.9165518283843994,-1.32375168800354,0.5928001403808594
17,japanese,palestinians,1723,464,-2.0044944286346436,-1.1815979480743408,0.8228964805603027
18,japanese,palestinians,755,142,-2.006131887435913,-1.405611276626587,0.6005206108093262
19,japanese,palestinians,1701,1953,-1.8291704654693604,-1.1017005443572998,0.7274699211120605
20,japanese,palestinians,1593,814,-2.2003238201141357,-1.3736603260040283,0.8266634941101074
21,japanese,palestinians,1014,18,-2.3004729747772217,-1.562016487121582,0.7384564876556396
22,japanese,palestinians,377,207,-1.9986423254013062,-1.5228337049484253,0.47580862045288086
23,japanese,palestinians,1735,1782,-1.6800673007965088,-1.0929301977157593,0.5871371030807495
24,japanese,palestinians,261,1750,-1.9788707494735718,-1.3161463737487793,0.6627243757247925
25,japanese,palestinians,1403,1013,-1.7010568380355835,-1.3815786838531494,0.3194781541824341
26,japanese,palestinians,814,1402,-1.9756759405136108,-1.1692190170288086,0.8064569234848022
27,japanese,palestinians,1913,75,-2.267017364501953,-1.599097490310669,0.6679198741912842
28,japanese,palestinians,570,1876,-1.8291200399398804,-1.2757281064987183,0.5533919334411621
29,japanese,palestinians,652,458,-1.926499605178833,-1.3961275815963745,0.5303720235824585
30,japanese,palestinians,498,1718,-1.9034864902496338,-1.1416829824447632,0.7618035078048706
31,japanese,palestinians,1766,515,-1.975535273551941,-1.225977897644043,0.749557375907898
32,japanese,palestinians,372,522,-1.8954282999038696,-1.3195246458053589,0.5759036540985107
33,japanese,palestinians,1405,447,-2.138237714767456,-1.4460715055465698,0.6921662092208862
34,japanese,palestinians,585,388,-1.930336356163025,-1.4668022394180298,0.4635341167449951
35,japanese,palestinians,550,619,-1.9025958776474,-1.2112501859664917,0.6913456916809082
36,japanese,palestinians,628,1979,-1.848602294921875,-1.0123891830444336,0.8362131118774414
37,japanese,palestinians,1043,1279,-1.7204526662826538,-1.0567083358764648,0.663744330406189
38,japanese,palestinians,71,1801,-1.944117784500122,-1.1502643823623657,0.7938534021377563
39,japanese,palestinians,107,114,-1.9093338251113892,-1.3545068502426147,0.5548269748687744
40,japanese,palestinians,1688,1847,-1.9354839324951172,-1.1102097034454346,0.8252742290496826
41,japanese,palestinians,679,1005,-1.9022893905639648,-1.1829261779785156,0.7193632125854492
42,japanese,palestinians,1285,316,-2.00601863861084,-1.319475769996643,0.6865428686141968
43,japanese,palestinians,1217,489,-1.7693595886230469,-1.2135499715805054,0.5558096170425415
44,japanese,palestinians,1748,1273,-1.7588589191436768,-1.3423973321914673,0.4164615869522095
45,japanese,palestinians,367,1308,-1.8728504180908203,-1.2570583820343018,0.6157920360565186
46,japanese,palestinians,1047,500,-1.9408987760543823,-1.2184950113296509,0.7224037647247314
47,japanese,palestinians,582,1260,-1.6936863660812378,-1.1403368711471558,0.553349494934082
48,japanese,palestinians,1387,1982,-1.7488349676132202,-0.9644250273704529,0.7844099402427673
49,japanese,palestinians,1871,1784,-2.017716407775879,-1.4754232168197632,0.5422931909561157
