,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,brits,630,633,-0.3841874599456787,-0.35715657472610474,0.027030885219573975
1,nigerians,brits,687,1061,-0.4086858332157135,-0.42611947655677795,-0.017433643341064453
2,nigerians,brits,1120,1325,-0.33075541257858276,-0.4326135814189911,-0.10185816884040833
3,nigerians,brits,913,107,-0.022368598729372025,-0.6422253251075745,-0.6198567263782024
4,nigerians,brits,273,1573,-0.3071064054965973,-0.326702743768692,-0.019596338272094727
5,nigerians,brits,1829,1974,0.003984689712524414,-0.06583990901708603,-0.06982459872961044
6,nigerians,brits,1804,1749,0.21801601350307465,-0.6910333037376404,-0.909049317240715
7,nigerians,brits,918,1599,-0.3996185064315796,-0.536458432674408,-0.13683992624282837
8,nigerians,brits,1838,1255,-0.012032938189804554,-0.7318936586380005,-0.7198607204481959
9,nigerians,brits,1033,1209,-0.44012099504470825,-0.3996492922306061,0.04047170281410217
10,nigerians,brits,200,706,-0.5154456496238708,-0.4234890639781952,0.09195658564567566
11,nigerians,brits,1218,1890,-0.24769942462444305,-0.38746923208236694,-0.1397698074579239
12,nigerians,brits,1611,1732,-0.11885416507720947,-0.17123079299926758,-0.052376627922058105
13,nigerians,brits,1991,121,-0.1513684242963791,-0.9608132243156433,-0.8094448000192642
14,nigerians,brits,957,829,-0.07529845088720322,-0.41535431146621704,-0.3400558605790138
15,nigerians,brits,1432,1774,-0.39045068621635437,-0.493798166513443,-0.10334748029708862
16,nigerians,brits,1407,1517,-0.18375428020954132,-0.4216100871562958,-0.23785580694675446
17,nigerians,brits,1024,1329,-0.14324508607387543,-0.27687737345695496,-0.13363228738307953
18,nigerians,brits,260,1371,-0.6494072079658508,-0.33098939061164856,0.31841781735420227
19,nigerians,brits,1614,1585,-0.09987016022205353,-0.5410903692245483,-0.4412202090024948
20,nigerians,brits,1674,578,-0.057305026799440384,-0.5503497123718262,-0.4930446855723858
21,nigerians,brits,196,682,-0.39826127886772156,-0.36677199602127075,0.031489282846450806
22,nigerians,brits,703,1907,-0.539463460445404,-0.5618684887886047,-0.022405028343200684
23,nigerians,brits,342,1460,-0.43130069971084595,-0.4686621129512787,-0.03736141324043274
24,nigerians,brits,453,1588,-0.26624786853790283,-0.42729249596595764,-0.1610446274280548
25,nigerians,brits,654,521,0.057157374918460846,-0.5373460054397583,-0.5945033803582191
26,nigerians,brits,1204,1894,-0.2409825623035431,-0.32680144906044006,-0.08581888675689697
27,nigerians,brits,120,1487,-0.37380728125572205,-0.18299579620361328,0.19081148505210876
28,nigerians,brits,196,1322,-0.3263680636882782,-0.24848055839538574,0.07788750529289246
29,nigerians,brits,919,1903,-0.36637428402900696,-0.4570019245147705,-0.09062764048576355
30,nigerians,brits,231,1699,-0.5345024466514587,-0.15095673501491547,0.3835457116365433
31,nigerians,brits,773,1729,-0.2734690010547638,-0.33471792936325073,-0.06124892830848694
32,nigerians,brits,635,229,-0.045648932456970215,-0.6405097842216492,-0.594860851764679
33,nigerians,brits,359,491,-0.5036263465881348,-0.4470437467098236,0.05658259987831116
34,nigerians,brits,1864,1768,-0.07744796574115753,-0.7316655516624451,-0.6542175859212875
35,nigerians,brits,200,1924,-0.497087687253952,-0.4496067464351654,0.04748094081878662
36,nigerians,brits,639,1809,-0.6915950179100037,-0.45332321524620056,0.2382718026638031
37,nigerians,brits,1857,215,-0.16340915858745575,-0.6992688179016113,-0.5358596593141556
38,nigerians,brits,1308,805,-0.23281648755073547,-0.617858350276947,-0.38504186272621155
39,nigerians,brits,42,922,-0.2802993357181549,-0.25502705574035645,0.025272279977798462
40,nigerians,brits,661,1929,-0.5215467810630798,-0.5860872864723206,-0.06454050540924072
41,nigerians,brits,31,1154,-0.259764701128006,-0.28464868664741516,-0.02488398551940918
42,nigerians,brits,631,1095,-0.4891299903392792,-0.47261810302734375,0.016511887311935425
43,nigerians,brits,12,1252,-0.507921040058136,-0.334076851606369,0.17384418845176697
44,nigerians,brits,395,491,-0.4781866669654846,-0.46594905853271484,0.012237608432769775
45,nigerians,brits,1,1565,-1.0877952575683594,-0.462297260761261,0.6254979968070984
46,nigerians,brits,1257,1373,-0.2224844992160797,-0.2738029658794403,-0.051318466663360596
47,nigerians,brits,1078,934,0.01095724105834961,-0.5042964816093445,-0.5152537226676941
48,nigerians,brits,1454,1831,-0.2487480640411377,-0.46128425002098083,-0.21253618597984314
49,nigerians,brits,171,1963,-0.2907126247882843,-0.2579698860645294,0.03274273872375488
