,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,canadians,636,650,-1.328168511390686,-1.182314157485962,0.14585435390472412
1,nigerians,canadians,1703,569,-1.4146605730056763,-1.0417429208755493,0.37291765213012695
2,nigerians,canadians,1333,300,-1.2729406356811523,-1.032715082168579,0.24022555351257324
3,nigerians,canadians,1661,1167,-1.2128642797470093,-1.1339255571365356,0.07893872261047363
4,nigerians,canadians,48,1516,-1.2637883424758911,-0.6014193892478943,0.6623689532279968
5,nigerians,canadians,1971,1587,-1.0210589170455933,-1.2419192790985107,-0.22086036205291748
6,nigerians,canadians,426,920,-1.2794345617294312,-0.9794920086860657,0.2999425530433655
7,nigerians,canadians,220,262,-1.4784349203109741,-1.2828198671340942,0.19561505317687988
8,nigerians,canadians,1985,1641,-0.9913406372070312,-1.1672600507736206,-0.17591941356658936
9,nigerians,canadians,84,1840,-1.0482890605926514,-0.6958532333374023,0.352435827255249
10,nigerians,canadians,1613,1867,-1.1547425985336304,-0.8507298827171326,0.3040127158164978
11,nigerians,canadians,210,768,-1.398779273033142,-1.096936821937561,0.30184245109558105
12,nigerians,canadians,852,1884,-1.0974787473678589,-0.8311120867729187,0.2663666605949402
13,nigerians,canadians,191,1088,-1.210788607597351,-0.9067579507827759,0.3040306568145752
14,nigerians,canadians,585,1404,-1.1968680620193481,-1.0267027616500854,0.1701653003692627
15,nigerians,canadians,806,602,-1.3418874740600586,-1.0444763898849487,0.29741108417510986
16,nigerians,canadians,739,437,-1.0799448490142822,-1.0001859664916992,0.07975888252258301
17,nigerians,canadians,1230,1844,-1.224793791770935,-0.8074570894241333,0.41733670234680176
18,nigerians,canadians,923,1098,-1.2277647256851196,-1.0315868854522705,0.19617784023284912
19,nigerians,canadians,943,34,-1.351134181022644,-0.9694780707359314,0.38165611028671265
20,nigerians,canadians,1333,719,-1.5032204389572144,-1.1240493059158325,0.37917113304138184
21,nigerians,canadians,1940,27,-1.0803635120391846,-0.9598065614700317,0.12055695056915283
22,nigerians,canadians,1725,1669,-1.0364793539047241,-1.06636643409729,-0.029887080192565918
23,nigerians,canadians,757,87,-1.5219227075576782,-1.1641960144042969,0.35772669315338135
24,nigerians,canadians,115,1618,-1.3212302923202515,-0.8614029884338379,0.4598273038864136
25,nigerians,canadians,1785,1122,-1.124181866645813,-1.0347002744674683,0.08948159217834473
26,nigerians,canadians,374,1831,-1.2002958059310913,-0.9078580737113953,0.29243773221969604
27,nigerians,canadians,1095,965,-1.2880257368087769,-1.2988871335983276,-0.010861396789550781
28,nigerians,canadians,1676,1077,-1.1752344369888306,-1.1821496486663818,-0.0069152116775512695
29,nigerians,canadians,1959,1139,-1.0269927978515625,-1.276466965675354,-0.2494741678237915
30,nigerians,canadians,1758,355,-1.5819987058639526,-0.9565954208374023,0.6254032850265503
31,nigerians,canadians,94,1552,-1.1283930540084839,-0.7988076210021973,0.3295854330062866
32,nigerians,canadians,1016,787,-1.2805789709091187,-1.1292942762374878,0.15128469467163086
33,nigerians,canadians,40,1151,-1.1628533601760864,-0.776641845703125,0.3862115144729614
34,nigerians,canadians,138,1710,-1.2743806838989258,-0.8479629755020142,0.4264177083969116
35,nigerians,canadians,1288,387,-1.5615519285202026,-0.9891477823257446,0.572404146194458
36,nigerians,canadians,1627,1555,-0.9079985022544861,-0.9973871111869812,-0.08938860893249512
37,nigerians,canadians,1984,1042,-1.5215990543365479,-1.4087482690811157,0.11285078525543213
38,nigerians,canadians,1655,85,-1.3518030643463135,-1.1642338037490845,0.187569260597229
39,nigerians,canadians,558,1618,-1.145682692527771,-0.858375072479248,0.28730762004852295
40,nigerians,canadians,1143,1134,-0.9324346780776978,-1.130731463432312,-0.19829678535461426
41,nigerians,canadians,1992,771,-1.3584727048873901,-1.164984941482544,0.1934877634048462
42,nigerians,canadians,866,749,-1.1827383041381836,-1.1442066431045532,0.03853166103363037
43,nigerians,canadians,1567,1058,-1.1966173648834229,-1.272134780883789,-0.07551741600036621
44,nigerians,canadians,1451,1863,-1.0849565267562866,-0.7929182052612305,0.29203832149505615
45,nigerians,canadians,882,169,-1.2247259616851807,-0.9839674234390259,0.24075853824615479
46,nigerians,canadians,1867,1478,-1.0834360122680664,-1.134433627128601,-0.05099761486053467
47,nigerians,canadians,1749,1246,-0.895328164100647,-1.1069746017456055,-0.2116464376449585
48,nigerians,canadians,29,179,-1.1819584369659424,-1.158768653869629,0.023189783096313477
49,nigerians,canadians,1628,265,-1.226898431777954,-1.0655498504638672,0.16134858131408691
