,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,germans,1028,146,-2.1388440132141113,-2.256763458251953,-0.1179194450378418
1,nigerians,germans,1317,1341,-2.362856388092041,-0.9992712140083313,1.3635851740837097
2,nigerians,germans,444,355,-2.2525479793548584,-2.0192067623138428,0.23334121704101562
3,nigerians,germans,1033,837,-2.472882032394409,-1.9671825170516968,0.5056995153427124
4,nigerians,germans,21,108,-2.6239335536956787,-1.6822668313980103,0.9416667222976685
5,nigerians,germans,1529,922,-2.2514801025390625,-1.848669409751892,0.4028106927871704
6,nigerians,germans,1660,216,-2.2701234817504883,-2.1880176067352295,0.08210587501525879
7,nigerians,germans,1610,1405,-2.2638766765594482,-1.6252586841583252,0.638617992401123
8,nigerians,germans,1386,1802,-2.7272918224334717,-1.2994335889816284,1.4278582334518433
9,nigerians,germans,1223,169,-2.308915853500366,-2.2572402954101562,0.05167555809020996
10,nigerians,germans,691,469,-2.0924408435821533,-2.209355592727661,-0.11691474914550781
11,nigerians,germans,1037,1183,-2.6480438709259033,-1.235180377960205,1.4128634929656982
12,nigerians,germans,53,694,-3.174147844314575,-1.4475281238555908,1.7266197204589844
13,nigerians,germans,1386,451,-2.209763765335083,-2.134430408477783,0.0753333568572998
14,nigerians,germans,379,1381,-3.147085428237915,-1.5846483707427979,1.5624370574951172
15,nigerians,germans,1909,282,-2.542646646499634,-2.2077434062957764,0.3349032402038574
16,nigerians,germans,262,769,-3.4942452907562256,-1.7053478956222534,1.7888973951339722
17,nigerians,germans,220,320,-3.19708251953125,-1.5274490118026733,1.6696335077285767
18,nigerians,germans,1932,1115,-2.5782458782196045,-2.00168776512146,0.5765581130981445
19,nigerians,germans,110,1656,-3.173565626144409,-1.4474947452545166,1.7260708808898926
20,nigerians,germans,1613,937,-2.5069596767425537,-1.768274188041687,0.7386854887008667
21,nigerians,germans,729,41,-1.9526010751724243,-1.6521618366241455,0.3004392385482788
22,nigerians,germans,9,721,-2.7317771911621094,-1.4727966785430908,1.2589805126190186
23,nigerians,germans,1334,1898,-2.827138662338257,-1.349077820777893,1.4780608415603638
24,nigerians,germans,1371,227,-2.403419017791748,-2.2991864681243896,0.1042325496673584
25,nigerians,germans,1770,372,-2.3894853591918945,-2.1075732707977295,0.28191208839416504
26,nigerians,germans,1628,1383,-2.2710940837860107,-1.6688722372055054,0.6022218465805054
27,nigerians,germans,381,262,-1.8126977682113647,-2.0992722511291504,-0.28657448291778564
28,nigerians,germans,1681,413,-2.5417842864990234,-2.03294038772583,0.5088438987731934
29,nigerians,germans,59,1242,-3.0216286182403564,-1.5189436674118042,1.5026849508285522
30,nigerians,germans,337,1627,-3.1342835426330566,-1.4532279968261719,1.6810555458068848
31,nigerians,germans,186,1886,-3.2772610187530518,-1.5382707118988037,1.738990306854248
32,nigerians,germans,268,896,-3.0334386825561523,-1.666754961013794,1.3666837215423584
33,nigerians,germans,999,524,-2.000678777694702,-1.5092267990112305,0.4914519786834717
34,nigerians,germans,502,399,-2.167980670928955,-2.0316193103790283,0.13636136054992676
35,nigerians,germans,915,1831,-3.113858938217163,-1.3318897485733032,1.7819691896438599
36,nigerians,germans,617,719,-3.148036479949951,-1.3798773288726807,1.7681591510772705
37,nigerians,germans,390,1501,-3.2769978046417236,-1.4320696592330933,1.8449281454086304
38,nigerians,germans,231,1519,-3.2875683307647705,-1.3146424293518066,1.9729259014129639
39,nigerians,germans,497,593,-2.8747541904449463,-1.3113526105880737,1.5634015798568726
40,nigerians,germans,1415,775,-2.240410327911377,-2.0693740844726562,0.1710362434387207
41,nigerians,germans,1372,1604,-2.741891622543335,-1.4415556192398071,1.3003360033035278
42,nigerians,germans,1429,1761,-2.7784671783447266,-1.4522908926010132,1.3261762857437134
43,nigerians,germans,994,747,-1.854455828666687,-2.0019869804382324,-0.1475311517715454
44,nigerians,germans,1930,1411,-2.4552133083343506,-1.6281099319458008,0.8271033763885498
45,nigerians,germans,277,1006,-3.398689031600952,-1.654945731163025,1.7437433004379272
46,nigerians,germans,1679,574,-2.463894844055176,-2.0287673473358154,0.43512749671936035
47,nigerians,germans,1326,296,-2.518310546875,-2.1091935634613037,0.4091169834136963
48,nigerians,germans,1161,1766,-2.806047201156616,-1.5085569620132446,1.2974902391433716
49,nigerians,germans,1592,392,-2.2304787635803223,-1.962963342666626,0.2675154209136963
