,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,japanese,829,321,0.33744072914123535,-0.6818174719810486,-1.019258201122284
1,nigerians,japanese,987,538,-0.015556812286376953,-0.8360233306884766,-0.8204665184020996
2,nigerians,japanese,1225,112,0.21117210388183594,-0.6720665097236633,-0.8832386136054993
3,nigerians,japanese,185,588,-0.2600981891155243,-0.3130600154399872,-0.05296182632446289
4,nigerians,japanese,1363,1876,-0.30438488721847534,-0.2832329273223877,0.021151959896087646
5,nigerians,japanese,179,503,-0.3866957128047943,-0.3834655284881592,0.003230184316635132
6,nigerians,japanese,416,1519,-0.29972562193870544,-0.15947090089321136,0.14025472104549408
7,nigerians,japanese,991,698,0.08971097320318222,-0.7668746709823608,-0.8565856441855431
8,nigerians,japanese,1266,1798,-0.4178652763366699,-0.24341543018817902,0.1744498461484909
9,nigerians,japanese,61,457,-0.3542998135089874,-0.5451744198799133,-0.1908746063709259
10,nigerians,japanese,1184,1467,-0.37450090050697327,-0.25853046774864197,0.1159704327583313
11,nigerians,japanese,989,516,0.10428829491138458,-0.6606379151344299,-0.7649262100458145
12,nigerians,japanese,625,1327,-0.13927669823169708,-0.09398191422224045,0.045294784009456635
13,nigerians,japanese,275,1685,-0.4373157024383545,-0.2402809113264084,0.1970347911119461
14,nigerians,japanese,1487,673,0.3017210364341736,-0.7626712322235107,-1.0643922686576843
15,nigerians,japanese,501,834,-0.2797475755214691,-0.5430265069007874,-0.26327893137931824
16,nigerians,japanese,1144,1087,0.17497873306274414,-0.6214987635612488,-0.7964774966239929
17,nigerians,japanese,1653,1994,-0.29250141978263855,-0.518313467502594,-0.22581204771995544
18,nigerians,japanese,1203,1314,-0.16280245780944824,-0.2263602316379547,-0.06355777382850647
19,nigerians,japanese,735,1699,-0.2143629640340805,-0.23115186393260956,-0.016788899898529053
20,nigerians,japanese,913,966,-0.07667815685272217,-0.37301871180534363,-0.29634055495262146
21,nigerians,japanese,889,1112,-0.2310386747121811,-0.4169808030128479,-0.1859421283006668
22,nigerians,japanese,20,266,-0.40593916177749634,-0.6127069592475891,-0.20676779747009277
23,nigerians,japanese,228,937,-0.3197129964828491,-0.4071318209171295,-0.0874188244342804
24,nigerians,japanese,1497,810,0.36248794198036194,-0.664843738079071,-1.027331680059433
25,nigerians,japanese,1917,1922,-0.32868143916130066,-0.35200995206832886,-0.023328512907028198
26,nigerians,japanese,404,1887,-0.378691703081131,-0.4639888405799866,-0.08529713749885559
27,nigerians,japanese,408,1624,-0.3489561975002289,-0.23085711896419525,0.11809907853603363
28,nigerians,japanese,648,1372,-0.20976033806800842,-0.27447161078453064,-0.06471127271652222
29,nigerians,japanese,362,153,-0.002827262971550226,-0.7231177687644958,-0.7202905057929456
30,nigerians,japanese,1236,1536,-0.25474366545677185,-0.18834443390369415,0.0663992315530777
31,nigerians,japanese,979,1910,-0.19160471856594086,-0.3672521114349365,-0.17564739286899567
32,nigerians,japanese,233,1775,-0.27172935009002686,-0.1313033550977707,0.14042599499225616
33,nigerians,japanese,659,128,-0.042253732681274414,-0.7776719927787781,-0.7354182600975037
34,nigerians,japanese,619,1807,-0.29648515582084656,-0.24907565116882324,0.047409504652023315
35,nigerians,japanese,666,1421,-0.19578461349010468,-0.3357321619987488,-0.1399475485086441
36,nigerians,japanese,255,969,-0.3089982569217682,-0.3093479573726654,-0.0003497004508972168
37,nigerians,japanese,307,169,-0.16073930263519287,-0.6671207547187805,-0.5063814520835876
38,nigerians,japanese,233,965,-0.37214669585227966,-0.37334609031677246,-0.0011993944644927979
39,nigerians,japanese,84,808,-0.3143959045410156,-0.46988996863365173,-0.1554940640926361
40,nigerians,japanese,1378,888,0.31392326951026917,-0.6301304697990417,-0.9440537393093109
41,nigerians,japanese,585,917,-0.12221846729516983,-0.2697943150997162,-0.14757584780454636
42,nigerians,japanese,1815,103,0.4476427137851715,-0.5900013446807861,-1.0376440584659576
43,nigerians,japanese,1110,1029,0.2028285562992096,-0.8242953419685364,-1.027123898267746
44,nigerians,japanese,1255,272,0.36205920577049255,-0.6662388443946838,-1.0282980501651764
45,nigerians,japanese,832,60,-0.2312043011188507,-0.7638532519340515,-0.5326489508152008
46,nigerians,japanese,547,74,0.009412527084350586,-0.6406494379043579,-0.6500619649887085
47,nigerians,japanese,1031,1544,-0.3479616343975067,-0.19307927787303925,0.15488235652446747
48,nigerians,japanese,1577,1637,-0.33980265259742737,-0.29728439450263977,0.0425182580947876
49,nigerians,japanese,892,265,0.057199835777282715,-0.7841897010803223,-0.841389536857605
