country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,France,916,276,A,Canada,False,,640,Canada,3.318840579710145,terminal_illness,Canada_France
France,Canada,1393,260,A,France,False,,1133,France,5.357692307692307,terminal_illness,Canada_France
Canada,France,1169,1760,B,France,False,,591,France,1.5055603079555175,terminal_illness,Canada_France
France,Canada,793,364,A,France,False,,429,France,2.1785714285714284,terminal_illness,Canada_France
France,Canada,1589,480,A,France,False,,1109,France,3.310416666666667,terminal_illness,Canada_France
Canada,France,1100,1433,B,France,False,,333,France,1.3027272727272727,terminal_illness,Canada_France
Canada,France,312,1538,B,France,False,,1226,France,4.92948717948718,terminal_illness,Canada_France
France,Canada,58,877,B,Canada,False,,819,Canada,15.120689655172415,terminal_illness,Canada_France
France,Canada,275,1404,B,Canada,False,,1129,Canada,5.1054545454545455,terminal_illness,Canada_France
Canada,France,566,825,B,France,False,,259,France,1.4575971731448762,terminal_illness,Canada_France
France,Canada,26,1188,B,Canada,False,,1162,Canada,45.69230769230769,terminal_illness,Canada_France
France,Canada,1071,836,A,France,False,,235,France,1.2811004784688995,terminal_illness,Canada_France
Canada,France,166,1798,B,France,False,,1632,France,10.831325301204819,terminal_illness,Canada_France
Canada,France,1044,1850,B,France,False,,806,France,1.7720306513409962,terminal_illness,Canada_France
France,Canada,1426,619,A,France,False,,807,France,2.3037156704361874,terminal_illness,Canada_France
Canada,France,526,1865,B,France,False,,1339,France,3.5456273764258555,terminal_illness,Canada_France
France,Canada,1063,712,A,France,False,,351,France,1.4929775280898876,terminal_illness,Canada_France
Canada,France,302,845,B,France,False,,543,France,2.7980132450331126,terminal_illness,Canada_France
France,Canada,1234,840,A,France,False,,394,France,1.4690476190476192,terminal_illness,Canada_France
France,Canada,1294,52,A,France,False,,1242,France,24.884615384615383,terminal_illness,Canada_France
France,Canada,371,201,A,France,False,,170,France,1.845771144278607,terminal_illness,Canada_France
Canada,France,900,1662,B,France,False,,762,France,1.8466666666666667,terminal_illness,Canada_France
France,Canada,1067,645,A,France,False,,422,France,1.6542635658914728,terminal_illness,Canada_France
France,Canada,1436,840,A,France,False,,596,France,1.7095238095238094,terminal_illness,Canada_France
Canada,France,1372,218,A,Canada,False,,1154,Canada,6.293577981651376,terminal_illness,Canada_France
Canada,France,877,398,A,Canada,False,,479,Canada,2.2035175879396984,terminal_illness,Canada_France
France,Canada,862,1306,B,Canada,False,,444,Canada,1.5150812064965198,terminal_illness,Canada_France
France,Canada,1588,1892,B,Canada,False,,304,Canada,1.1914357682619647,terminal_illness,Canada_France
France,Canada,1438,1040,B,Canada,True,Canada,398,France,1.3826923076923077,terminal_illness,Canada_France
Canada,France,1222,1186,A,Canada,False,,36,Canada,1.03035413153457,terminal_illness,Canada_France
France,Canada,582,554,A,France,False,,28,France,1.0505415162454874,terminal_illness,Canada_France
France,Canada,1315,1236,A,France,False,,79,France,1.063915857605178,terminal_illness,Canada_France
France,Canada,1150,1321,B,Canada,False,,171,Canada,1.1486956521739131,terminal_illness,Canada_France
France,Canada,928,459,A,France,False,,469,France,2.0217864923747277,terminal_illness,Canada_France
Canada,France,1423,594,A,Canada,False,,829,Canada,2.3956228956228958,terminal_illness,Canada_France
Canada,France,423,1577,B,France,False,,1154,France,3.728132387706856,terminal_illness,Canada_France
France,Canada,471,1865,B,Canada,False,,1394,Canada,3.959660297239915,terminal_illness,Canada_France
Canada,France,187,1210,B,France,False,,1023,France,6.470588235294118,terminal_illness,Canada_France
Canada,France,1236,1589,B,France,False,,353,France,1.285598705501618,terminal_illness,Canada_France
Canada,France,1471,1133,A,Canada,False,,338,Canada,1.2983230361871139,terminal_illness,Canada_France
France,Canada,1227,1871,B,Canada,False,,644,Canada,1.5248573757131214,terminal_illness,Canada_France
Canada,France,1332,1481,B,France,False,,149,France,1.1118618618618619,terminal_illness,Canada_France
Canada,France,361,270,B,France,True,France,91,Canada,1.337037037037037,terminal_illness,Canada_France
Canada,France,908,990,B,France,False,,82,France,1.0903083700440528,terminal_illness,Canada_France
Canada,France,649,1418,B,France,False,,769,France,2.184899845916795,terminal_illness,Canada_France
France,Canada,1081,468,A,France,False,,613,France,2.3098290598290596,terminal_illness,Canada_France
Canada,France,739,1049,B,France,False,,310,France,1.419485791610284,terminal_illness,Canada_France
France,Canada,1030,389,A,France,False,,641,France,2.647814910025707,terminal_illness,Canada_France
France,Canada,1206,189,A,France,False,,1017,France,6.380952380952381,terminal_illness,Canada_France
Canada,France,992,644,A,Canada,False,,348,Canada,1.5403726708074534,terminal_illness,Canada_France
