country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Taiwan,Canada,699,503,A,Taiwan,False,,196,Taiwan,1.389662027833002,terminal_illness,Canada_Taiwan
Taiwan,Canada,1169,1541,B,Canada,False,,372,Canada,1.3182207014542344,terminal_illness,Canada_Taiwan
Canada,Taiwan,154,282,B,Taiwan,False,,128,Taiwan,1.8311688311688312,terminal_illness,Canada_Taiwan
Taiwan,Canada,1180,604,A,Taiwan,False,,576,Taiwan,1.9536423841059603,terminal_illness,Canada_Taiwan
Taiwan,Canada,1931,1668,B,Canada,True,Canada,263,Taiwan,1.157673860911271,terminal_illness,Canada_Taiwan
Canada,Taiwan,1835,488,B,Taiwan,True,Taiwan,1347,Canada,3.7602459016393444,terminal_illness,Canada_Taiwan
Taiwan,Canada,399,330,B,Canada,True,Canada,69,Taiwan,1.209090909090909,terminal_illness,Canada_Taiwan
Canada,Taiwan,235,1089,B,Taiwan,False,,854,Taiwan,4.634042553191489,terminal_illness,Canada_Taiwan
Taiwan,Canada,732,1442,B,Canada,False,,710,Canada,1.969945355191257,terminal_illness,Canada_Taiwan
Canada,Taiwan,1378,1631,B,Taiwan,False,,253,Taiwan,1.183599419448476,terminal_illness,Canada_Taiwan
Taiwan,Canada,322,1008,B,Canada,False,,686,Canada,3.130434782608696,terminal_illness,Canada_Taiwan
Canada,Taiwan,411,924,B,Taiwan,False,,513,Taiwan,2.2481751824817517,terminal_illness,Canada_Taiwan
Canada,Taiwan,853,475,A,Canada,False,,378,Canada,1.7957894736842106,terminal_illness,Canada_Taiwan
Taiwan,Canada,35,1483,B,Canada,False,,1448,Canada,42.371428571428574,terminal_illness,Canada_Taiwan
Canada,Taiwan,1365,124,A,Canada,False,,1241,Canada,11.008064516129032,terminal_illness,Canada_Taiwan
Canada,Taiwan,5,1439,B,Taiwan,False,,1434,Taiwan,287.8,terminal_illness,Canada_Taiwan
Taiwan,Canada,385,1838,B,Canada,False,,1453,Canada,4.774025974025974,terminal_illness,Canada_Taiwan
Canada,Taiwan,1193,170,B,Taiwan,True,Taiwan,1023,Canada,7.017647058823529,terminal_illness,Canada_Taiwan
Taiwan,Canada,1990,1481,A,Taiwan,False,,509,Taiwan,1.3436866981769076,terminal_illness,Canada_Taiwan
Taiwan,Canada,1395,32,A,Taiwan,False,,1363,Taiwan,43.59375,terminal_illness,Canada_Taiwan
Taiwan,Canada,1471,1083,A,Taiwan,False,,388,Taiwan,1.358264081255771,terminal_illness,Canada_Taiwan
Canada,Taiwan,152,1379,B,Taiwan,False,,1227,Taiwan,9.072368421052632,terminal_illness,Canada_Taiwan
Canada,Taiwan,225,345,B,Taiwan,False,,120,Taiwan,1.5333333333333334,terminal_illness,Canada_Taiwan
Canada,Taiwan,91,1499,B,Taiwan,False,,1408,Taiwan,16.47252747252747,terminal_illness,Canada_Taiwan
Canada,Taiwan,1757,1652,B,Taiwan,True,Taiwan,105,Canada,1.0635593220338984,terminal_illness,Canada_Taiwan
Taiwan,Canada,490,602,B,Canada,False,,112,Canada,1.2285714285714286,terminal_illness,Canada_Taiwan
Taiwan,Canada,1130,888,B,Canada,True,Canada,242,Taiwan,1.2725225225225225,terminal_illness,Canada_Taiwan
Taiwan,Canada,1041,1806,B,Canada,False,,765,Canada,1.7348703170028819,terminal_illness,Canada_Taiwan
Canada,Taiwan,1486,719,B,Taiwan,True,Taiwan,767,Canada,2.066759388038943,terminal_illness,Canada_Taiwan
Taiwan,Canada,1940,1034,B,Canada,True,Canada,906,Taiwan,1.8762088974854931,terminal_illness,Canada_Taiwan
Canada,Taiwan,261,1344,B,Taiwan,False,,1083,Taiwan,5.149425287356322,terminal_illness,Canada_Taiwan
Taiwan,Canada,1788,283,A,Taiwan,False,,1505,Taiwan,6.318021201413427,terminal_illness,Canada_Taiwan
Taiwan,Canada,1075,1688,B,Canada,False,,613,Canada,1.5702325581395349,terminal_illness,Canada_Taiwan
Canada,Taiwan,388,1250,B,Taiwan,False,,862,Taiwan,3.2216494845360826,terminal_illness,Canada_Taiwan
Canada,Taiwan,1554,331,B,Taiwan,True,Taiwan,1223,Canada,4.694864048338369,terminal_illness,Canada_Taiwan
Canada,Taiwan,1127,1010,B,Taiwan,True,Taiwan,117,Canada,1.115841584158416,terminal_illness,Canada_Taiwan
Taiwan,Canada,447,1906,B,Canada,False,,1459,Canada,4.263982102908278,terminal_illness,Canada_Taiwan
Canada,Taiwan,674,1401,B,Taiwan,False,,727,Taiwan,2.078635014836795,terminal_illness,Canada_Taiwan
Taiwan,Canada,890,836,B,Canada,True,Canada,54,Taiwan,1.0645933014354068,terminal_illness,Canada_Taiwan
Canada,Taiwan,668,1707,B,Taiwan,False,,1039,Taiwan,2.555389221556886,terminal_illness,Canada_Taiwan
Taiwan,Canada,813,231,A,Taiwan,False,,582,Taiwan,3.5194805194805197,terminal_illness,Canada_Taiwan
Taiwan,Canada,901,1336,B,Canada,False,,435,Canada,1.4827968923418424,terminal_illness,Canada_Taiwan
Canada,Taiwan,751,349,B,Taiwan,True,Taiwan,402,Canada,2.151862464183381,terminal_illness,Canada_Taiwan
Taiwan,Canada,209,1706,B,Canada,False,,1497,Canada,8.16267942583732,terminal_illness,Canada_Taiwan
Taiwan,Canada,457,1385,B,Canada,False,,928,Canada,3.0306345733041575,terminal_illness,Canada_Taiwan
Canada,Taiwan,88,1763,B,Taiwan,False,,1675,Taiwan,20.03409090909091,terminal_illness,Canada_Taiwan
Taiwan,Canada,235,1363,B,Canada,False,,1128,Canada,5.8,terminal_illness,Canada_Taiwan
Canada,Taiwan,1304,1995,B,Taiwan,False,,691,Taiwan,1.5299079754601228,terminal_illness,Canada_Taiwan
Taiwan,Canada,219,1289,B,Canada,False,,1070,Canada,5.885844748858448,terminal_illness,Canada_Taiwan
Taiwan,Canada,1186,846,A,Taiwan,False,,340,Taiwan,1.4018912529550827,terminal_illness,Canada_Taiwan
