country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,United Kingdom,1604,1869,B,United Kingdom,False,,265,United Kingdom,1.165211970074813,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,951,974,B,Canada,False,,23,Canada,1.0241850683491063,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,601,169,A,Canada,False,,432,Canada,3.5562130177514795,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,221,845,B,Canada,False,,624,Canada,3.823529411764706,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,170,1097,B,Canada,False,,927,Canada,6.452941176470588,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,927,1609,B,United Kingdom,False,,682,United Kingdom,1.7357065803667746,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1956,1121,A,United Kingdom,False,,835,United Kingdom,1.744870651204282,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,565,1201,B,Canada,False,,636,Canada,2.1256637168141594,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1560,337,A,United Kingdom,False,,1223,United Kingdom,4.629080118694362,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,794,213,A,Canada,False,,581,Canada,3.727699530516432,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1304,839,A,Canada,False,,465,Canada,1.5542312276519665,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,214,1272,B,United Kingdom,False,,1058,United Kingdom,5.94392523364486,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1871,281,A,Canada,False,,1590,Canada,6.658362989323844,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1525,710,A,Canada,False,,815,Canada,2.147887323943662,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,771,850,B,Canada,False,,79,Canada,1.1024643320363166,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1105,33,A,United Kingdom,False,,1072,United Kingdom,33.484848484848484,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1540,800,A,United Kingdom,False,,740,United Kingdom,1.925,terminal_illness,Canada_United Kingdom
