country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Taiwan,China,1908,1470,B,China,True,China,438,Taiwan,1.2979591836734694,terminal_illness,China_Taiwan
China,Taiwan,554,993,B,Taiwan,False,,439,Taiwan,1.7924187725631768,terminal_illness,China_Taiwan
China,Taiwan,1700,979,I,neither,False,,721,China,1.7364657814096016,terminal_illness,China_Taiwan
China,Taiwan,167,989,B,Taiwan,False,,822,Taiwan,5.922155688622754,terminal_illness,China_Taiwan
Taiwan,China,1802,1992,B,China,False,,190,China,1.1054384017758048,terminal_illness,China_Taiwan
Taiwan,China,1801,594,I,neither,False,,1207,Taiwan,3.031986531986532,terminal_illness,China_Taiwan
China,Taiwan,688,613,I,neither,False,,75,China,1.1223491027732464,terminal_illness,China_Taiwan
China,Taiwan,656,106,I,neither,False,,550,China,6.188679245283019,terminal_illness,China_Taiwan
China,Taiwan,1101,1102,B,Taiwan,False,,1,Taiwan,1.0009082652134422,terminal_illness,China_Taiwan
China,Taiwan,1275,267,I,neither,False,,1008,China,4.775280898876405,terminal_illness,China_Taiwan
Taiwan,China,1698,1681,B,China,True,China,17,Taiwan,1.0101130279595478,terminal_illness,China_Taiwan
Taiwan,China,551,142,I,neither,False,,409,Taiwan,3.880281690140845,terminal_illness,China_Taiwan
Taiwan,China,227,581,B,China,False,,354,China,2.5594713656387666,terminal_illness,China_Taiwan
Taiwan,China,858,283,I,neither,False,,575,Taiwan,3.0318021201413425,terminal_illness,China_Taiwan
Taiwan,China,1816,1275,B,China,True,China,541,Taiwan,1.424313725490196,terminal_illness,China_Taiwan
Taiwan,China,1032,7,I,neither,False,,1025,Taiwan,147.42857142857142,terminal_illness,China_Taiwan
China,Taiwan,241,780,B,Taiwan,False,,539,Taiwan,3.236514522821577,terminal_illness,China_Taiwan
Taiwan,China,1900,1409,B,China,True,China,491,Taiwan,1.34847409510291,terminal_illness,China_Taiwan
China,Taiwan,1439,908,I,neither,False,,531,China,1.5848017621145374,terminal_illness,China_Taiwan
Taiwan,China,1458,1918,B,China,False,,460,China,1.3155006858710563,terminal_illness,China_Taiwan
China,Taiwan,1312,134,I,neither,False,,1178,China,9.791044776119403,terminal_illness,China_Taiwan
China,Taiwan,1532,117,I,neither,False,,1415,China,13.094017094017094,terminal_illness,China_Taiwan
China,Taiwan,1226,1882,B,Taiwan,False,,656,Taiwan,1.535073409461664,terminal_illness,China_Taiwan
China,Taiwan,957,1709,B,Taiwan,False,,752,Taiwan,1.7857889237199582,terminal_illness,China_Taiwan
China,Taiwan,512,316,I,neither,False,,196,China,1.620253164556962,terminal_illness,China_Taiwan
Taiwan,China,721,1681,B,China,False,,960,China,2.3314840499306517,terminal_illness,China_Taiwan
China,Taiwan,1821,812,I,neither,False,,1009,China,2.2426108374384235,terminal_illness,China_Taiwan
Taiwan,China,1659,1824,B,China,False,,165,China,1.0994575045207957,terminal_illness,China_Taiwan
Taiwan,China,764,1873,B,China,False,,1109,China,2.451570680628272,terminal_illness,China_Taiwan
China,Taiwan,1848,1039,I,neither,False,,809,China,1.778633301251203,terminal_illness,China_Taiwan
China,Taiwan,8,251,B,Taiwan,False,,243,Taiwan,31.375,terminal_illness,China_Taiwan
Taiwan,China,334,347,B,China,False,,13,China,1.0389221556886228,terminal_illness,China_Taiwan
Taiwan,China,1354,248,I,neither,False,,1106,Taiwan,5.459677419354839,terminal_illness,China_Taiwan
Taiwan,China,937,1566,B,China,False,,629,China,1.671291355389541,terminal_illness,China_Taiwan
Taiwan,China,1435,576,B,China,True,China,859,Taiwan,2.4913194444444446,terminal_illness,China_Taiwan
China,Taiwan,500,1515,B,Taiwan,False,,1015,Taiwan,3.03,terminal_illness,China_Taiwan
Taiwan,China,1409,348,I,neither,False,,1061,Taiwan,4.0488505747126435,terminal_illness,China_Taiwan
Taiwan,China,1962,1490,A,Taiwan,False,,472,Taiwan,1.316778523489933,terminal_illness,China_Taiwan
Taiwan,China,659,816,B,China,False,,157,China,1.2382397572078907,terminal_illness,China_Taiwan
Taiwan,China,628,1670,B,China,False,,1042,China,2.659235668789809,terminal_illness,China_Taiwan
Taiwan,China,1904,1074,B,China,True,China,830,Taiwan,1.7728119180633146,terminal_illness,China_Taiwan
China,Taiwan,274,1646,B,Taiwan,False,,1372,Taiwan,6.007299270072993,terminal_illness,China_Taiwan
China,Taiwan,1763,830,I,neither,False,,933,China,2.1240963855421686,terminal_illness,China_Taiwan
Taiwan,China,1645,576,I,neither,False,,1069,Taiwan,2.8559027777777777,terminal_illness,China_Taiwan
China,Taiwan,1519,1825,B,Taiwan,False,,306,Taiwan,1.2014483212639895,terminal_illness,China_Taiwan
China,Taiwan,407,289,I,neither,False,,118,China,1.4083044982698962,terminal_illness,China_Taiwan
Taiwan,China,935,1291,B,China,False,,356,China,1.3807486631016044,terminal_illness,China_Taiwan
Taiwan,China,245,1961,B,China,False,,1716,China,8.004081632653062,terminal_illness,China_Taiwan
China,Taiwan,1994,1615,I,neither,False,,379,China,1.2346749226006193,terminal_illness,China_Taiwan
China,Taiwan,1014,1821,B,Taiwan,False,,807,Taiwan,1.7958579881656804,terminal_illness,China_Taiwan
