country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Russia,Iran,1453,1942,B,Iran,False,,489,Iran,1.3365450791465932,terminal_illness,Iran_Russia
Russia,Iran,1969,67,A,Russia,False,,1902,Russia,29.388059701492537,terminal_illness,Iran_Russia
Iran,Russia,496,1459,B,Russia,False,,963,Russia,2.941532258064516,terminal_illness,Iran_Russia
Iran,Russia,1105,557,A,Iran,False,,548,Iran,1.9838420107719927,terminal_illness,Iran_Russia
Iran,Russia,465,287,A,Iran,False,,178,Iran,1.6202090592334495,terminal_illness,Iran_Russia
Russia,Iran,1942,328,A,Russia,False,,1614,Russia,5.920731707317073,terminal_illness,Iran_Russia
Iran,Russia,1369,1993,B,Russia,False,,624,Russia,1.4558071585098613,terminal_illness,Iran_Russia
Iran,Russia,833,662,A,Iran,False,,171,Iran,1.258308157099698,terminal_illness,Iran_Russia
Russia,Iran,1662,111,A,Russia,False,,1551,Russia,14.972972972972974,terminal_illness,Iran_Russia
Iran,Russia,829,1907,B,Russia,False,,1078,Russia,2.3003618817852836,terminal_illness,Iran_Russia
Russia,Iran,663,1592,B,Iran,False,,929,Iran,2.401206636500754,terminal_illness,Iran_Russia
Iran,Russia,1824,607,A,Iran,False,,1217,Iran,3.0049423393739705,terminal_illness,Iran_Russia
Iran,Russia,326,1292,B,Russia,False,,966,Russia,3.96319018404908,terminal_illness,Iran_Russia
Iran,Russia,82,680,B,Russia,False,,598,Russia,8.292682926829269,terminal_illness,Iran_Russia
Iran,Russia,749,1487,B,Russia,False,,738,Russia,1.985313751668892,terminal_illness,Iran_Russia
Russia,Iran,1550,572,B,Iran,True,Iran,978,Russia,2.7097902097902096,terminal_illness,Iran_Russia
Russia,Iran,1967,1802,B,Iran,True,Iran,165,Russia,1.0915649278579356,terminal_illness,Iran_Russia
Iran,Russia,279,1692,B,Russia,False,,1413,Russia,6.064516129032258,terminal_illness,Iran_Russia
Russia,Iran,1831,14,A,Russia,False,,1817,Russia,130.78571428571428,terminal_illness,Iran_Russia
Iran,Russia,308,1950,B,Russia,False,,1642,Russia,6.3311688311688314,terminal_illness,Iran_Russia
Russia,Iran,380,1058,B,Iran,False,,678,Iran,2.7842105263157895,terminal_illness,Iran_Russia
Iran,Russia,782,923,B,Russia,False,,141,Russia,1.180306905370844,terminal_illness,Iran_Russia
Iran,Russia,734,1624,B,Russia,False,,890,Russia,2.212534059945504,terminal_illness,Iran_Russia
Russia,Iran,718,1459,B,Iran,False,,741,Iran,2.032033426183844,terminal_illness,Iran_Russia
Iran,Russia,1048,861,A,Iran,False,,187,Iran,1.2171893147502904,terminal_illness,Iran_Russia
Russia,Iran,846,28,A,Russia,False,,818,Russia,30.214285714285715,terminal_illness,Iran_Russia
Iran,Russia,966,1178,B,Russia,False,,212,Russia,1.2194616977225672,terminal_illness,Iran_Russia
Iran,Russia,1935,335,A,Iran,False,,1600,Iran,5.776119402985074,terminal_illness,Iran_Russia
Iran,Russia,462,1863,B,Russia,False,,1401,Russia,4.032467532467533,terminal_illness,Iran_Russia
Russia,Iran,429,291,B,Iran,True,Iran,138,Russia,1.4742268041237114,terminal_illness,Iran_Russia
Russia,Iran,652,257,A,Russia,False,,395,Russia,2.536964980544747,terminal_illness,Iran_Russia
Russia,Iran,218,1427,B,Iran,False,,1209,Iran,6.545871559633028,terminal_illness,Iran_Russia
Russia,Iran,1756,233,A,Russia,False,,1523,Russia,7.536480686695279,terminal_illness,Iran_Russia
Iran,Russia,582,932,B,Russia,False,,350,Russia,1.6013745704467355,terminal_illness,Iran_Russia
Russia,Iran,1723,16,A,Russia,False,,1707,Russia,107.6875,terminal_illness,Iran_Russia
Iran,Russia,532,894,B,Russia,False,,362,Russia,1.6804511278195489,terminal_illness,Iran_Russia
Russia,Iran,161,557,B,Iran,False,,396,Iran,3.459627329192547,terminal_illness,Iran_Russia
Russia,Iran,1636,1388,B,Iran,True,Iran,248,Russia,1.1786743515850144,terminal_illness,Iran_Russia
Russia,Iran,728,1223,B,Iran,False,,495,Iran,1.679945054945055,terminal_illness,Iran_Russia
Iran,Russia,453,237,A,Iran,False,,216,Iran,1.9113924050632911,terminal_illness,Iran_Russia
Iran,Russia,1690,613,A,Iran,False,,1077,Iran,2.7569331158238173,terminal_illness,Iran_Russia
Russia,Iran,1116,865,A,Russia,False,,251,Russia,1.2901734104046243,terminal_illness,Iran_Russia
Russia,Iran,198,1302,B,Iran,False,,1104,Iran,6.575757575757576,terminal_illness,Iran_Russia
Russia,Iran,91,1623,B,Iran,False,,1532,Iran,17.835164835164836,terminal_illness,Iran_Russia
Iran,Russia,299,1105,B,Russia,False,,806,Russia,3.6956521739130435,terminal_illness,Iran_Russia
Iran,Russia,870,245,A,Iran,False,,625,Iran,3.5510204081632653,terminal_illness,Iran_Russia
Iran,Russia,983,563,A,Iran,False,,420,Iran,1.7460035523978685,terminal_illness,Iran_Russia
Iran,Russia,761,305,A,Iran,False,,456,Iran,2.495081967213115,terminal_illness,Iran_Russia
Iran,Russia,1995,292,A,Iran,False,,1703,Iran,6.832191780821918,terminal_illness,Iran_Russia
Iran,Russia,1792,1718,A,Iran,False,,74,Iran,1.0430733410942956,terminal_illness,Iran_Russia
