country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,Iran,648,912,B,Iran,False,,264,Iran,1.4074074074074074,terminal_illness,Iran_Ukraine
Iran,Ukraine,123,21,I,neither,False,,102,Iran,5.857142857142857,terminal_illness,Iran_Ukraine
Ukraine,Iran,1534,1911,B,Iran,False,,377,Iran,1.2457627118644068,terminal_illness,Iran_Ukraine
Iran,Ukraine,1364,218,I,neither,False,,1146,Iran,6.256880733944954,terminal_illness,Iran_Ukraine
Ukraine,Iran,162,472,B,Iran,False,,310,Iran,2.9135802469135803,terminal_illness,Iran_Ukraine
Iran,Ukraine,1870,1880,B,Ukraine,False,,10,Ukraine,1.0053475935828877,terminal_illness,Iran_Ukraine
Iran,Ukraine,1765,1260,I,neither,False,,505,Iran,1.4007936507936507,terminal_illness,Iran_Ukraine
Iran,Ukraine,1282,880,I,neither,False,,402,Iran,1.4568181818181818,terminal_illness,Iran_Ukraine
Iran,Ukraine,798,953,B,Ukraine,False,,155,Ukraine,1.194235588972431,terminal_illness,Iran_Ukraine
Iran,Ukraine,1983,1170,I,neither,False,,813,Iran,1.6948717948717948,terminal_illness,Iran_Ukraine
Ukraine,Iran,1022,110,I,neither,False,,912,Ukraine,9.290909090909091,terminal_illness,Iran_Ukraine
Ukraine,Iran,405,77,B,Iran,True,Iran,328,Ukraine,5.259740259740259,terminal_illness,Iran_Ukraine
Ukraine,Iran,1453,1639,B,Iran,False,,186,Iran,1.1280110116999311,terminal_illness,Iran_Ukraine
Iran,Ukraine,1862,1085,I,neither,False,,777,Iran,1.7161290322580645,terminal_illness,Iran_Ukraine
Iran,Ukraine,1989,632,A,Iran,False,,1357,Iran,3.1471518987341773,terminal_illness,Iran_Ukraine
Iran,Ukraine,224,668,B,Ukraine,False,,444,Ukraine,2.982142857142857,terminal_illness,Iran_Ukraine
Iran,Ukraine,1526,1183,I,neither,False,,343,Iran,1.2899408284023668,terminal_illness,Iran_Ukraine
Ukraine,Iran,1872,257,A,Ukraine,False,,1615,Ukraine,7.284046692607004,terminal_illness,Iran_Ukraine
Iran,Ukraine,847,1342,B,Ukraine,False,,495,Ukraine,1.5844155844155845,terminal_illness,Iran_Ukraine
Iran,Ukraine,1670,1817,B,Ukraine,False,,147,Ukraine,1.0880239520958084,terminal_illness,Iran_Ukraine
Ukraine,Iran,1247,1106,I,neither,False,,141,Ukraine,1.1274864376130198,terminal_illness,Iran_Ukraine
Ukraine,Iran,1206,1882,B,Iran,False,,676,Iran,1.560530679933665,terminal_illness,Iran_Ukraine
Ukraine,Iran,471,1343,B,Iran,False,,872,Iran,2.851380042462845,terminal_illness,Iran_Ukraine
Ukraine,Iran,910,989,B,Iran,False,,79,Iran,1.0868131868131867,terminal_illness,Iran_Ukraine
Iran,Ukraine,36,3,I,neither,False,,33,Iran,12.0,terminal_illness,Iran_Ukraine
Iran,Ukraine,378,823,B,Ukraine,False,,445,Ukraine,2.177248677248677,terminal_illness,Iran_Ukraine
Ukraine,Iran,500,1023,B,Iran,False,,523,Iran,2.046,terminal_illness,Iran_Ukraine
Iran,Ukraine,192,262,B,Ukraine,False,,70,Ukraine,1.3645833333333333,terminal_illness,Iran_Ukraine
