country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
France,Israel,465,1330,B,Israel,False,,865,Israel,2.860215053763441,terminal_illness,Israel_France
Israel,France,482,1478,B,France,False,,996,France,3.066390041493776,terminal_illness,Israel_France
France,Israel,1514,504,A,France,False,,1010,France,3.003968253968254,terminal_illness,Israel_France
France,Israel,524,989,B,Israel,False,,465,Israel,1.8874045801526718,terminal_illness,Israel_France
France,Israel,1155,1570,B,Israel,False,,415,Israel,1.3593073593073592,terminal_illness,Israel_France
Israel,France,1810,985,B,France,True,France,825,Israel,1.8375634517766497,terminal_illness,Israel_France
France,Israel,972,1222,B,Israel,False,,250,Israel,1.257201646090535,terminal_illness,Israel_France
France,Israel,1683,58,A,France,False,,1625,France,29.017241379310345,terminal_illness,Israel_France
Israel,France,1705,665,B,France,True,France,1040,Israel,2.56390977443609,terminal_illness,Israel_France
Israel,France,228,1324,B,France,False,,1096,France,5.807017543859649,terminal_illness,Israel_France
Israel,France,964,1860,B,France,False,,896,France,1.929460580912863,terminal_illness,Israel_France
France,Israel,1610,104,I,neither,False,,1506,France,15.48076923076923,terminal_illness,Israel_France
Israel,France,127,1723,B,France,False,,1596,France,13.566929133858268,terminal_illness,Israel_France
Israel,France,644,1311,B,France,False,,667,France,2.0357142857142856,terminal_illness,Israel_France
France,Israel,451,48,A,France,False,,403,France,9.395833333333334,terminal_illness,Israel_France
Israel,France,772,1425,B,France,False,,653,France,1.8458549222797926,terminal_illness,Israel_France
Israel,France,342,47,A,Israel,False,,295,Israel,7.276595744680851,terminal_illness,Israel_France
Israel,France,652,1814,B,France,False,,1162,France,2.7822085889570554,terminal_illness,Israel_France
France,Israel,667,1280,B,Israel,False,,613,Israel,1.91904047976012,terminal_illness,Israel_France
Israel,France,947,1416,B,France,False,,469,France,1.495248152059134,terminal_illness,Israel_France
Israel,France,223,1291,B,France,False,,1068,France,5.789237668161435,terminal_illness,Israel_France
France,Israel,1644,1024,I,neither,False,,620,France,1.60546875,terminal_illness,Israel_France
France,Israel,741,1612,B,Israel,False,,871,Israel,2.175438596491228,terminal_illness,Israel_France
Israel,France,1309,1495,B,France,False,,186,France,1.1420932009167304,terminal_illness,Israel_France
Israel,France,1804,729,A,Israel,False,,1075,Israel,2.4746227709190673,terminal_illness,Israel_France
France,Israel,1893,736,A,France,False,,1157,France,2.5720108695652173,terminal_illness,Israel_France
Israel,France,1702,1180,B,France,True,France,522,Israel,1.4423728813559322,terminal_illness,Israel_France
Israel,France,1734,1929,B,France,False,,195,France,1.1124567474048443,terminal_illness,Israel_France
Israel,France,435,596,B,France,False,,161,France,1.3701149425287356,terminal_illness,Israel_France
France,Israel,1814,511,A,France,False,,1303,France,3.5499021526418786,terminal_illness,Israel_France
France,Israel,904,1542,B,Israel,False,,638,Israel,1.7057522123893805,terminal_illness,Israel_France
France,Israel,1367,486,A,France,False,,881,France,2.8127572016460904,terminal_illness,Israel_France
France,Israel,712,258,I,neither,False,,454,France,2.75968992248062,terminal_illness,Israel_France
Israel,France,1431,1128,A,Israel,False,,303,Israel,1.2686170212765957,terminal_illness,Israel_France
Israel,France,1437,1569,B,France,False,,132,France,1.091858037578288,terminal_illness,Israel_France
Israel,France,578,437,A,Israel,False,,141,Israel,1.322654462242563,terminal_illness,Israel_France
Israel,France,656,238,A,Israel,False,,418,Israel,2.7563025210084033,terminal_illness,Israel_France
Israel,France,1144,1134,A,Israel,False,,10,Israel,1.0088183421516754,terminal_illness,Israel_France
France,Israel,700,646,A,France,False,,54,France,1.08359133126935,terminal_illness,Israel_France
France,Israel,1383,1130,A,France,False,,253,France,1.2238938053097346,terminal_illness,Israel_France
France,Israel,1155,1593,B,Israel,False,,438,Israel,1.3792207792207791,terminal_illness,Israel_France
Israel,France,981,894,A,Israel,False,,87,Israel,1.0973154362416107,terminal_illness,Israel_France
France,Israel,892,1128,B,Israel,False,,236,Israel,1.2645739910313902,terminal_illness,Israel_France
Israel,France,730,1081,B,France,False,,351,France,1.4808219178082191,terminal_illness,Israel_France
Israel,France,1519,1891,B,France,False,,372,France,1.2448979591836735,terminal_illness,Israel_France
France,Israel,1638,688,I,neither,False,,950,France,2.380813953488372,terminal_illness,Israel_France
Israel,France,1531,573,A,Israel,False,,958,Israel,2.6719022687609075,terminal_illness,Israel_France
Israel,France,918,822,B,France,True,France,96,Israel,1.1167883211678833,terminal_illness,Israel_France
France,Israel,506,1558,B,Israel,False,,1052,Israel,3.0790513833992095,terminal_illness,Israel_France
Israel,France,183,1582,B,France,False,,1399,France,8.6448087431694,terminal_illness,Israel_France
