country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Israel,Philippines,814,22,I,neither,False,,792,Israel,37.0,terminal_illness,Israel_Philippines
Philippines,Israel,407,490,I,neither,False,,83,Israel,1.203931203931204,terminal_illness,Israel_Philippines
Philippines,Israel,1080,1916,B,Israel,False,,836,Israel,1.7740740740740741,terminal_illness,Israel_Philippines
Israel,Philippines,1542,272,I,neither,False,,1270,Israel,5.669117647058823,terminal_illness,Israel_Philippines
Philippines,Israel,1193,405,A,Philippines,False,,788,Philippines,2.945679012345679,terminal_illness,Israel_Philippines
Philippines,Israel,795,1928,B,Israel,False,,1133,Israel,2.4251572327044024,terminal_illness,Israel_Philippines
Israel,Philippines,1132,1404,B,Philippines,False,,272,Philippines,1.2402826855123674,terminal_illness,Israel_Philippines
Israel,Philippines,231,307,B,Philippines,False,,76,Philippines,1.329004329004329,terminal_illness,Israel_Philippines
Israel,Philippines,336,286,B,Philippines,True,Philippines,50,Israel,1.1748251748251748,terminal_illness,Israel_Philippines
Philippines,Israel,58,571,B,Israel,False,,513,Israel,9.844827586206897,terminal_illness,Israel_Philippines
Israel,Philippines,1856,970,I,neither,False,,886,Israel,1.9134020618556702,terminal_illness,Israel_Philippines
Philippines,Israel,236,1346,B,Israel,False,,1110,Israel,5.703389830508475,terminal_illness,Israel_Philippines
Philippines,Israel,369,589,I,neither,False,,220,Israel,1.5962059620596205,terminal_illness,Israel_Philippines
Israel,Philippines,727,1445,B,Philippines,False,,718,Philippines,1.9876203576341127,terminal_illness,Israel_Philippines
Israel,Philippines,1979,816,I,neither,False,,1163,Israel,2.4252450980392157,terminal_illness,Israel_Philippines
Philippines,Israel,1737,1330,I,neither,False,,407,Philippines,1.306015037593985,terminal_illness,Israel_Philippines
Philippines,Israel,1839,33,I,neither,False,,1806,Philippines,55.72727272727273,terminal_illness,Israel_Philippines
Philippines,Israel,1722,1458,A,Philippines,False,,264,Philippines,1.1810699588477367,terminal_illness,Israel_Philippines
Philippines,Israel,1898,1189,A,Philippines,False,,709,Philippines,1.5962994112699749,terminal_illness,Israel_Philippines
Israel,Philippines,1654,1226,I,neither,False,,428,Israel,1.3491027732463294,terminal_illness,Israel_Philippines
Philippines,Israel,82,257,B,Israel,False,,175,Israel,3.1341463414634148,terminal_illness,Israel_Philippines
Philippines,Israel,1406,1111,I,neither,False,,295,Philippines,1.2655265526552655,terminal_illness,Israel_Philippines
Philippines,Israel,1222,272,I,neither,False,,950,Philippines,4.492647058823529,terminal_illness,Israel_Philippines
Philippines,Israel,611,1952,B,Israel,False,,1341,Israel,3.1947626841243864,terminal_illness,Israel_Philippines
Israel,Philippines,43,351,B,Philippines,False,,308,Philippines,8.162790697674419,terminal_illness,Israel_Philippines
Israel,Philippines,1313,55,B,Philippines,True,Philippines,1258,Israel,23.87272727272727,terminal_illness,Israel_Philippines
Israel,Philippines,234,1121,B,Philippines,False,,887,Philippines,4.7905982905982905,terminal_illness,Israel_Philippines
Israel,Philippines,354,594,B,Philippines,False,,240,Philippines,1.6779661016949152,terminal_illness,Israel_Philippines
Philippines,Israel,903,645,I,neither,False,,258,Philippines,1.4,terminal_illness,Israel_Philippines
Philippines,Israel,1807,1557,A,Philippines,False,,250,Philippines,1.1605651894669236,terminal_illness,Israel_Philippines
Philippines,Israel,722,946,I,neither,False,,224,Israel,1.3102493074792243,terminal_illness,Israel_Philippines
Israel,Philippines,1139,607,B,Philippines,True,Philippines,532,Israel,1.8764415156507412,terminal_illness,Israel_Philippines
Philippines,Israel,890,320,I,neither,False,,570,Philippines,2.78125,terminal_illness,Israel_Philippines
Philippines,Israel,1260,276,I,neither,False,,984,Philippines,4.565217391304348,terminal_illness,Israel_Philippines
Israel,Philippines,563,1270,B,Philippines,False,,707,Philippines,2.2557726465364123,terminal_illness,Israel_Philippines
Philippines,Israel,1575,1294,I,neither,False,,281,Philippines,1.2171561051004636,terminal_illness,Israel_Philippines
Philippines,Israel,1746,1140,I,neither,False,,606,Philippines,1.5315789473684212,terminal_illness,Israel_Philippines
Israel,Philippines,529,1021,B,Philippines,False,,492,Philippines,1.9300567107750473,terminal_illness,Israel_Philippines
Israel,Philippines,1613,1986,B,Philippines,False,,373,Philippines,1.231246125232486,terminal_illness,Israel_Philippines
Philippines,Israel,420,1413,B,Israel,False,,993,Israel,3.3642857142857143,terminal_illness,Israel_Philippines
Israel,Philippines,1747,1751,B,Philippines,False,,4,Philippines,1.0022896393817973,terminal_illness,Israel_Philippines
Philippines,Israel,732,1905,B,Israel,False,,1173,Israel,2.6024590163934427,terminal_illness,Israel_Philippines
Philippines,Israel,1354,1236,A,Philippines,False,,118,Philippines,1.0954692556634305,terminal_illness,Israel_Philippines
Philippines,Israel,46,1370,B,Israel,False,,1324,Israel,29.782608695652176,terminal_illness,Israel_Philippines
Philippines,Israel,774,1813,B,Israel,False,,1039,Israel,2.342377260981912,terminal_illness,Israel_Philippines
Philippines,Israel,899,1975,B,Israel,False,,1076,Israel,2.196885428253615,terminal_illness,Israel_Philippines
Israel,Philippines,963,981,B,Philippines,False,,18,Philippines,1.0186915887850467,terminal_illness,Israel_Philippines
Israel,Philippines,1025,1329,B,Philippines,False,,304,Philippines,1.2965853658536586,terminal_illness,Israel_Philippines
Israel,Philippines,222,1345,B,Philippines,False,,1123,Philippines,6.058558558558558,terminal_illness,Israel_Philippines
Israel,Philippines,1371,122,I,neither,False,,1249,Israel,11.237704918032787,terminal_illness,Israel_Philippines
