country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Kenya,1374,1806,B,Kenya,False,,432,Kenya,1.314410480349345,terminal_illness,Kenya_Philippines
Kenya,Philippines,1349,383,A,Kenya,False,,966,Kenya,3.5221932114882506,terminal_illness,Kenya_Philippines
Philippines,Kenya,1879,415,I,neither,False,,1464,Philippines,4.527710843373494,terminal_illness,Kenya_Philippines
Philippines,Kenya,544,743,B,Kenya,False,,199,Kenya,1.3658088235294117,terminal_illness,Kenya_Philippines
Philippines,Kenya,22,1150,B,Kenya,False,,1128,Kenya,52.27272727272727,terminal_illness,Kenya_Philippines
Philippines,Kenya,768,674,I,neither,False,,94,Philippines,1.13946587537092,terminal_illness,Kenya_Philippines
Kenya,Philippines,887,489,A,Kenya,False,,398,Kenya,1.8139059304703475,terminal_illness,Kenya_Philippines
Kenya,Philippines,1265,1765,B,Philippines,False,,500,Philippines,1.3952569169960474,terminal_illness,Kenya_Philippines
Philippines,Kenya,1923,91,I,neither,False,,1832,Philippines,21.13186813186813,terminal_illness,Kenya_Philippines
Philippines,Kenya,1177,875,I,neither,False,,302,Philippines,1.3451428571428572,terminal_illness,Kenya_Philippines
Philippines,Kenya,652,488,I,neither,False,,164,Philippines,1.3360655737704918,terminal_illness,Kenya_Philippines
Kenya,Philippines,1557,1602,B,Philippines,False,,45,Philippines,1.0289017341040463,terminal_illness,Kenya_Philippines
Kenya,Philippines,62,837,B,Philippines,False,,775,Philippines,13.5,terminal_illness,Kenya_Philippines
Philippines,Kenya,1181,11,I,neither,False,,1170,Philippines,107.36363636363636,terminal_illness,Kenya_Philippines
Philippines,Kenya,1848,1804,I,neither,False,,44,Philippines,1.024390243902439,terminal_illness,Kenya_Philippines
Philippines,Kenya,833,645,I,neither,False,,188,Philippines,1.2914728682170542,terminal_illness,Kenya_Philippines
Philippines,Kenya,1843,1508,I,neither,False,,335,Philippines,1.2221485411140585,terminal_illness,Kenya_Philippines
Philippines,Kenya,1104,882,I,neither,False,,222,Philippines,1.251700680272109,terminal_illness,Kenya_Philippines
Kenya,Philippines,1472,1318,I,neither,False,,154,Kenya,1.1168437025796663,terminal_illness,Kenya_Philippines
Philippines,Kenya,1377,1172,I,neither,False,,205,Philippines,1.174914675767918,terminal_illness,Kenya_Philippines
Kenya,Philippines,1421,5,A,Kenya,False,,1416,Kenya,284.2,terminal_illness,Kenya_Philippines
Kenya,Philippines,727,1643,B,Philippines,False,,916,Philippines,2.2599724896836313,terminal_illness,Kenya_Philippines
Philippines,Kenya,523,1160,B,Kenya,False,,637,Kenya,2.2179732313575524,terminal_illness,Kenya_Philippines
Philippines,Kenya,696,1358,B,Kenya,False,,662,Kenya,1.9511494252873562,terminal_illness,Kenya_Philippines
Philippines,Kenya,854,910,B,Kenya,False,,56,Kenya,1.0655737704918034,terminal_illness,Kenya_Philippines
Philippines,Kenya,3,1011,B,Kenya,False,,1008,Kenya,337.0,terminal_illness,Kenya_Philippines
Philippines,Kenya,338,1082,B,Kenya,False,,744,Kenya,3.201183431952663,terminal_illness,Kenya_Philippines
Kenya,Philippines,827,1723,B,Philippines,False,,896,Philippines,2.083434099153567,terminal_illness,Kenya_Philippines
Philippines,Kenya,950,1148,B,Kenya,False,,198,Kenya,1.2084210526315788,terminal_illness,Kenya_Philippines
Philippines,Kenya,326,1024,B,Kenya,False,,698,Kenya,3.1411042944785277,terminal_illness,Kenya_Philippines
Kenya,Philippines,1878,1623,I,neither,False,,255,Kenya,1.1571164510166358,terminal_illness,Kenya_Philippines
Philippines,Kenya,288,1046,B,Kenya,False,,758,Kenya,3.6319444444444446,terminal_illness,Kenya_Philippines
Kenya,Philippines,5,765,B,Philippines,False,,760,Philippines,153.0,terminal_illness,Kenya_Philippines
Philippines,Kenya,982,1127,B,Kenya,False,,145,Kenya,1.1476578411405296,terminal_illness,Kenya_Philippines
Kenya,Philippines,1429,1207,I,neither,False,,222,Kenya,1.183927091963546,terminal_illness,Kenya_Philippines
Kenya,Philippines,1592,890,A,Kenya,False,,702,Kenya,1.7887640449438202,terminal_illness,Kenya_Philippines
Kenya,Philippines,1249,865,I,neither,False,,384,Kenya,1.4439306358381503,terminal_illness,Kenya_Philippines
Philippines,Kenya,1109,368,I,neither,False,,741,Philippines,3.0135869565217392,terminal_illness,Kenya_Philippines
Kenya,Philippines,1836,1768,I,neither,False,,68,Kenya,1.0384615384615385,terminal_illness,Kenya_Philippines
Philippines,Kenya,1166,289,A,Philippines,False,,877,Philippines,4.034602076124568,terminal_illness,Kenya_Philippines
Philippines,Kenya,1659,509,I,neither,False,,1150,Philippines,3.2593320235756384,terminal_illness,Kenya_Philippines
Philippines,Kenya,1367,696,I,neither,False,,671,Philippines,1.964080459770115,terminal_illness,Kenya_Philippines
Philippines,Kenya,878,1428,B,Kenya,False,,550,Kenya,1.6264236902050113,terminal_illness,Kenya_Philippines
Philippines,Kenya,747,1128,B,Kenya,False,,381,Kenya,1.5100401606425702,terminal_illness,Kenya_Philippines
Kenya,Philippines,1656,1149,I,neither,False,,507,Kenya,1.441253263707572,terminal_illness,Kenya_Philippines
Kenya,Philippines,880,435,I,neither,False,,445,Kenya,2.0229885057471266,terminal_illness,Kenya_Philippines
Kenya,Philippines,1453,264,A,Kenya,False,,1189,Kenya,5.503787878787879,terminal_illness,Kenya_Philippines
Kenya,Philippines,687,918,B,Philippines,False,,231,Philippines,1.3362445414847162,terminal_illness,Kenya_Philippines
Kenya,Philippines,855,1531,B,Philippines,False,,676,Philippines,1.7906432748538013,terminal_illness,Kenya_Philippines
Kenya,Philippines,381,77,A,Kenya,False,,304,Kenya,4.9480519480519485,terminal_illness,Kenya_Philippines
