country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Pakistan,Mexico,533,1813,B,Mexico,False,,1280,Mexico,3.401500938086304,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1292,114,A,Mexico,False,,1178,Mexico,11.333333333333334,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,244,321,B,Pakistan,False,,77,Pakistan,1.3155737704918034,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1896,1102,I,neither,False,,794,Mexico,1.720508166969147,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1510,535,I,neither,False,,975,Mexico,2.822429906542056,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,357,1324,B,Mexico,False,,967,Mexico,3.708683473389356,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,89,805,B,Pakistan,False,,716,Pakistan,9.044943820224718,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1508,499,A,Mexico,False,,1009,Mexico,3.0220440881763526,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,846,1378,B,Pakistan,False,,532,Pakistan,1.6288416075650118,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1560,1518,I,neither,False,,42,Pakistan,1.0276679841897234,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1033,88,A,Pakistan,False,,945,Pakistan,11.738636363636363,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1482,1180,B,Mexico,True,Mexico,302,Pakistan,1.2559322033898306,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1601,1281,I,neither,False,,320,Mexico,1.2498048399687745,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,303,1689,B,Pakistan,False,,1386,Pakistan,5.574257425742574,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1585,1978,B,Pakistan,False,,393,Pakistan,1.24794952681388,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1811,75,A,Pakistan,False,,1736,Pakistan,24.14666666666667,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,626,196,A,Pakistan,False,,430,Pakistan,3.193877551020408,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,224,1067,B,Mexico,False,,843,Mexico,4.763392857142857,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1666,1872,B,Pakistan,False,,206,Pakistan,1.1236494597839135,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,819,671,I,neither,False,,148,Pakistan,1.2205663189269746,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,520,1569,B,Pakistan,False,,1049,Pakistan,3.0173076923076922,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,737,1477,B,Mexico,False,,740,Mexico,2.004070556309362,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1912,1812,A,Pakistan,False,,100,Pakistan,1.055187637969095,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,660,33,A,Pakistan,False,,627,Pakistan,20.0,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,226,95,I,neither,False,,131,Mexico,2.3789473684210525,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,31,1303,B,Pakistan,False,,1272,Pakistan,42.03225806451613,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1893,175,A,Mexico,False,,1718,Mexico,10.817142857142857,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1415,87,A,Mexico,False,,1328,Mexico,16.264367816091955,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1469,1500,B,Mexico,False,,31,Mexico,1.0211027910142954,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,587,880,B,Mexico,False,,293,Mexico,1.4991482112436116,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,715,1881,B,Mexico,False,,1166,Mexico,2.6307692307692307,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1476,1741,B,Mexico,False,,265,Mexico,1.179539295392954,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,986,722,I,neither,False,,264,Pakistan,1.365650969529086,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,920,788,I,neither,False,,132,Pakistan,1.16751269035533,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,1217,477,A,Pakistan,False,,740,Pakistan,2.551362683438155,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,375,77,A,Pakistan,False,,298,Pakistan,4.87012987012987,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,459,53,I,neither,False,,406,Mexico,8.660377358490566,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,1772,1038,I,neither,False,,734,Mexico,1.7071290944123314,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,546,1668,B,Pakistan,False,,1122,Pakistan,3.0549450549450547,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,790,1498,B,Mexico,False,,708,Mexico,1.8962025316455695,terminal_illness,Mexico_Pakistan
Pakistan,Mexico,647,1723,B,Mexico,False,,1076,Mexico,2.6630602782071096,terminal_illness,Mexico_Pakistan
Mexico,Pakistan,273,701,B,Pakistan,False,,428,Pakistan,2.567765567765568,terminal_illness,Mexico_Pakistan
