country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Nigeria,294,1429,B,Nigeria,False,,1135,Nigeria,4.860544217687075,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1326,1105,I,neither,False,,221,Nigeria,1.2,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,741,1662,B,Philippines,False,,921,Philippines,2.242914979757085,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1587,703,I,neither,False,,884,Philippines,2.2574679943100997,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,171,890,B,Nigeria,False,,719,Nigeria,5.204678362573099,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1014,1929,B,Nigeria,False,,915,Nigeria,1.9023668639053255,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,976,975,A,Nigeria,False,,1,Nigeria,1.001025641025641,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,752,987,B,Nigeria,False,,235,Nigeria,1.3125,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,138,983,B,Nigeria,False,,845,Nigeria,7.1231884057971016,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,227,1794,B,Nigeria,False,,1567,Nigeria,7.903083700440528,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1361,1433,B,Nigeria,False,,72,Nigeria,1.052902277736958,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,758,1075,B,Nigeria,False,,317,Nigeria,1.4182058047493404,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1473,220,A,Nigeria,False,,1253,Nigeria,6.695454545454545,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,713,583,A,Nigeria,False,,130,Nigeria,1.222984562607204,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1767,547,A,Nigeria,False,,1220,Nigeria,3.2303473491773307,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1931,43,A,Nigeria,False,,1888,Nigeria,44.906976744186046,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,151,1285,B,Philippines,False,,1134,Philippines,8.509933774834437,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,699,142,A,Nigeria,False,,557,Nigeria,4.922535211267606,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,121,1397,B,Nigeria,False,,1276,Nigeria,11.545454545454545,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,993,1469,B,Philippines,False,,476,Philippines,1.4793554884189326,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,543,370,A,Nigeria,False,,173,Nigeria,1.4675675675675677,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,944,831,I,neither,False,,113,Philippines,1.1359807460890494,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,849,1732,B,Philippines,False,,883,Philippines,2.040047114252061,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,563,797,B,Nigeria,False,,234,Nigeria,1.4156305506216695,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1508,1641,B,Nigeria,False,,133,Nigeria,1.0881962864721486,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,537,387,I,neither,False,,150,Philippines,1.3875968992248062,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,599,81,A,Nigeria,False,,518,Nigeria,7.395061728395062,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,147,1415,B,Nigeria,False,,1268,Nigeria,9.625850340136054,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1160,881,A,Nigeria,False,,279,Nigeria,1.3166855845629966,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,742,1739,B,Nigeria,False,,997,Nigeria,2.3436657681940702,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,342,970,B,Nigeria,False,,628,Nigeria,2.8362573099415203,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1726,777,I,neither,False,,949,Philippines,2.2213642213642215,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1389,1621,B,Nigeria,False,,232,Nigeria,1.1670266378689704,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1078,1923,B,Nigeria,False,,845,Nigeria,1.7838589981447124,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,690,628,I,neither,False,,62,Philippines,1.0987261146496816,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,669,1417,B,Nigeria,False,,748,Nigeria,2.118086696562033,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,856,419,I,neither,False,,437,Philippines,2.042959427207637,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,647,1856,B,Nigeria,False,,1209,Nigeria,2.8686244204018547,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1069,263,I,neither,False,,806,Philippines,4.064638783269962,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,531,226,I,neither,False,,305,Nigeria,2.349557522123894,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,657,1971,B,Nigeria,False,,1314,Nigeria,3.0,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,31,1065,B,Nigeria,False,,1034,Nigeria,34.354838709677416,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,1148,1599,B,Nigeria,False,,451,Nigeria,1.3928571428571428,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,363,500,B,Nigeria,False,,137,Nigeria,1.3774104683195592,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,857,1614,B,Philippines,False,,757,Philippines,1.883313885647608,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,924,720,I,neither,False,,204,Philippines,1.2833333333333334,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1382,703,A,Nigeria,False,,679,Nigeria,1.9658605974395449,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1211,787,I,neither,False,,424,Nigeria,1.5387547649301143,terminal_illness,Nigeria_Philippines
Philippines,Nigeria,485,1928,B,Nigeria,False,,1443,Nigeria,3.975257731958763,terminal_illness,Nigeria_Philippines
Nigeria,Philippines,1837,1795,I,neither,False,,42,Nigeria,1.0233983286908077,terminal_illness,Nigeria_Philippines
