country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Iran,Palestine,807,923,B,Palestine,False,,116,Palestine,1.143742255266419,terminal_illness,Palestine_Iran
Palestine,Iran,626,1491,B,Iran,False,,865,Iran,2.3817891373801916,terminal_illness,Palestine_Iran
Palestine,Iran,248,18,I,neither,False,,230,Palestine,13.777777777777779,terminal_illness,Palestine_Iran
Iran,Palestine,949,350,I,neither,False,,599,Iran,2.7114285714285713,terminal_illness,Palestine_Iran
Palestine,Iran,146,552,B,Iran,False,,406,Iran,3.780821917808219,terminal_illness,Palestine_Iran
Iran,Palestine,1431,1773,I,neither,False,,342,Palestine,1.2389937106918238,terminal_illness,Palestine_Iran
Iran,Palestine,520,1517,B,Palestine,False,,997,Palestine,2.917307692307692,terminal_illness,Palestine_Iran
Palestine,Iran,444,926,B,Iran,False,,482,Iran,2.0855855855855854,terminal_illness,Palestine_Iran
Palestine,Iran,26,1912,B,Iran,False,,1886,Iran,73.53846153846153,terminal_illness,Palestine_Iran
Palestine,Iran,159,1155,B,Iran,False,,996,Iran,7.264150943396227,terminal_illness,Palestine_Iran
Iran,Palestine,194,1953,B,Palestine,False,,1759,Palestine,10.06701030927835,terminal_illness,Palestine_Iran
Palestine,Iran,252,539,B,Iran,False,,287,Iran,2.138888888888889,terminal_illness,Palestine_Iran
Iran,Palestine,1022,631,I,neither,False,,391,Iran,1.6196513470681457,terminal_illness,Palestine_Iran
Iran,Palestine,689,1303,B,Palestine,False,,614,Palestine,1.8911465892597967,terminal_illness,Palestine_Iran
Palestine,Iran,1875,1241,A,Palestine,False,,634,Palestine,1.5108783239323127,terminal_illness,Palestine_Iran
Iran,Palestine,233,1897,B,Palestine,False,,1664,Palestine,8.141630901287554,terminal_illness,Palestine_Iran
Iran,Palestine,1447,1860,B,Palestine,False,,413,Palestine,1.2854181064270904,terminal_illness,Palestine_Iran
Palestine,Iran,1402,50,A,Palestine,False,,1352,Palestine,28.04,terminal_illness,Palestine_Iran
Iran,Palestine,1383,1757,B,Palestine,False,,374,Palestine,1.2704266088214027,terminal_illness,Palestine_Iran
Palestine,Iran,286,1454,B,Iran,False,,1168,Iran,5.083916083916084,terminal_illness,Palestine_Iran
Iran,Palestine,657,1705,B,Palestine,False,,1048,Palestine,2.5951293759512937,terminal_illness,Palestine_Iran
Iran,Palestine,691,1132,B,Palestine,False,,441,Palestine,1.638205499276411,terminal_illness,Palestine_Iran
Iran,Palestine,1716,192,I,neither,False,,1524,Iran,8.9375,terminal_illness,Palestine_Iran
Iran,Palestine,593,1087,B,Palestine,False,,494,Palestine,1.8330522765598651,terminal_illness,Palestine_Iran
Palestine,Iran,982,692,I,neither,False,,290,Palestine,1.4190751445086704,terminal_illness,Palestine_Iran
Iran,Palestine,433,282,I,neither,False,,151,Iran,1.5354609929078014,terminal_illness,Palestine_Iran
Palestine,Iran,610,376,I,neither,False,,234,Palestine,1.622340425531915,terminal_illness,Palestine_Iran
Palestine,Iran,1597,162,A,Palestine,False,,1435,Palestine,9.858024691358025,terminal_illness,Palestine_Iran
Palestine,Iran,1181,370,A,Palestine,False,,811,Palestine,3.191891891891892,terminal_illness,Palestine_Iran
Palestine,Iran,1145,1418,B,Iran,False,,273,Iran,1.2384279475982534,terminal_illness,Palestine_Iran
Iran,Palestine,1723,656,I,neither,False,,1067,Iran,2.6265243902439024,terminal_illness,Palestine_Iran
Palestine,Iran,1886,1011,I,neither,False,,875,Palestine,1.8654797230464886,terminal_illness,Palestine_Iran
Iran,Palestine,1133,1067,I,neither,False,,66,Iran,1.0618556701030928,terminal_illness,Palestine_Iran
Iran,Palestine,1739,646,I,neither,False,,1093,Iran,2.691950464396285,terminal_illness,Palestine_Iran
Iran,Palestine,885,306,I,neither,False,,579,Iran,2.892156862745098,terminal_illness,Palestine_Iran
Iran,Palestine,691,1915,B,Palestine,False,,1224,Palestine,2.771345875542692,terminal_illness,Palestine_Iran
Palestine,Iran,1093,621,A,Palestine,False,,472,Palestine,1.7600644122383253,terminal_illness,Palestine_Iran
Iran,Palestine,1706,618,I,neither,False,,1088,Iran,2.7605177993527508,terminal_illness,Palestine_Iran
Iran,Palestine,1790,406,I,neither,False,,1384,Iran,4.4088669950738915,terminal_illness,Palestine_Iran
Palestine,Iran,805,370,A,Palestine,False,,435,Palestine,2.175675675675676,terminal_illness,Palestine_Iran
Iran,Palestine,724,677,I,neither,False,,47,Iran,1.069423929098966,terminal_illness,Palestine_Iran
Iran,Palestine,1867,16,I,neither,False,,1851,Iran,116.6875,terminal_illness,Palestine_Iran
Iran,Palestine,1319,979,I,neither,False,,340,Iran,1.3472931562819204,terminal_illness,Palestine_Iran
Palestine,Iran,195,340,B,Iran,False,,145,Iran,1.7435897435897436,terminal_illness,Palestine_Iran
Iran,Palestine,419,1204,B,Palestine,False,,785,Palestine,2.873508353221957,terminal_illness,Palestine_Iran
Palestine,Iran,579,1284,B,Iran,False,,705,Iran,2.2176165803108807,terminal_illness,Palestine_Iran
Palestine,Iran,1562,1057,I,neither,False,,505,Palestine,1.477767265846736,terminal_illness,Palestine_Iran
Palestine,Iran,1918,87,A,Palestine,False,,1831,Palestine,22.04597701149425,terminal_illness,Palestine_Iran
Palestine,Iran,182,348,B,Iran,False,,166,Iran,1.9120879120879122,terminal_illness,Palestine_Iran
Palestine,Iran,1533,144,A,Palestine,False,,1389,Palestine,10.645833333333334,terminal_illness,Palestine_Iran
