country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,South Africa,1280,1299,B,South Africa,False,,19,South Africa,1.01484375,terminal_illness,Philippines_South Africa
South Africa,Philippines,758,1835,B,Philippines,False,,1077,Philippines,2.420844327176781,terminal_illness,Philippines_South Africa
Philippines,South Africa,684,1788,B,South Africa,False,,1104,South Africa,2.6140350877192984,terminal_illness,Philippines_South Africa
South Africa,Philippines,777,1327,B,Philippines,False,,550,Philippines,1.707850707850708,terminal_illness,Philippines_South Africa
South Africa,Philippines,669,439,I,neither,False,,230,South Africa,1.5239179954441913,terminal_illness,Philippines_South Africa
South Africa,Philippines,1928,1920,I,neither,False,,8,South Africa,1.0041666666666667,terminal_illness,Philippines_South Africa
South Africa,Philippines,1769,625,A,South Africa,False,,1144,South Africa,2.8304,terminal_illness,Philippines_South Africa
Philippines,South Africa,138,962,B,South Africa,False,,824,South Africa,6.971014492753623,terminal_illness,Philippines_South Africa
South Africa,Philippines,501,952,B,Philippines,False,,451,Philippines,1.9001996007984032,terminal_illness,Philippines_South Africa
South Africa,Philippines,1578,1663,B,Philippines,False,,85,Philippines,1.0538656527249683,terminal_illness,Philippines_South Africa
Philippines,South Africa,1932,878,A,Philippines,False,,1054,Philippines,2.2004555808656034,terminal_illness,Philippines_South Africa
South Africa,Philippines,868,525,I,neither,False,,343,South Africa,1.6533333333333333,terminal_illness,Philippines_South Africa
Philippines,South Africa,1050,408,I,neither,False,,642,Philippines,2.573529411764706,terminal_illness,Philippines_South Africa
Philippines,South Africa,991,1778,B,South Africa,False,,787,South Africa,1.7941473259334006,terminal_illness,Philippines_South Africa
South Africa,Philippines,1266,1649,B,Philippines,False,,383,Philippines,1.3025276461295419,terminal_illness,Philippines_South Africa
Philippines,South Africa,716,1381,B,South Africa,False,,665,South Africa,1.9287709497206704,terminal_illness,Philippines_South Africa
South Africa,Philippines,1802,354,A,South Africa,False,,1448,South Africa,5.090395480225989,terminal_illness,Philippines_South Africa
South Africa,Philippines,241,1819,B,Philippines,False,,1578,Philippines,7.547717842323651,terminal_illness,Philippines_South Africa
South Africa,Philippines,1181,887,A,South Africa,False,,294,South Africa,1.3314543404735062,terminal_illness,Philippines_South Africa
South Africa,Philippines,1911,1526,I,neither,False,,385,South Africa,1.2522935779816513,terminal_illness,Philippines_South Africa
