country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Russia,France,1948,744,A,Russia,False,,1204,Russia,2.618279569892473,terminal_illness,Russia_France
Russia,France,322,1904,B,France,False,,1582,France,5.913043478260869,terminal_illness,Russia_France
Russia,France,732,1460,B,France,False,,728,France,1.994535519125683,terminal_illness,Russia_France
Russia,France,687,1536,B,France,False,,849,France,2.2358078602620086,terminal_illness,Russia_France
Russia,France,131,1909,B,France,False,,1778,France,14.572519083969466,terminal_illness,Russia_France
Russia,France,182,1693,B,France,False,,1511,France,9.302197802197803,terminal_illness,Russia_France
Russia,France,1339,742,A,Russia,False,,597,Russia,1.8045822102425877,terminal_illness,Russia_France
Russia,France,881,1457,B,France,False,,576,France,1.6538024971623155,terminal_illness,Russia_France
France,Russia,47,8,A,France,False,,39,France,5.875,terminal_illness,Russia_France
Russia,France,1935,1242,A,Russia,False,,693,Russia,1.5579710144927537,terminal_illness,Russia_France
France,Russia,1318,53,A,France,False,,1265,France,24.867924528301888,terminal_illness,Russia_France
Russia,France,1341,655,A,Russia,False,,686,Russia,2.047328244274809,terminal_illness,Russia_France
Russia,France,1851,1380,A,Russia,False,,471,Russia,1.3413043478260869,terminal_illness,Russia_France
Russia,France,1369,454,A,Russia,False,,915,Russia,3.015418502202643,terminal_illness,Russia_France
Russia,France,473,1598,B,France,False,,1125,France,3.3784355179704018,terminal_illness,Russia_France
Russia,France,1919,1855,A,Russia,False,,64,Russia,1.034501347708895,terminal_illness,Russia_France
Russia,France,1673,1193,A,Russia,False,,480,Russia,1.4023470243084661,terminal_illness,Russia_France
France,Russia,468,6,A,France,False,,462,France,78.0,terminal_illness,Russia_France
Russia,France,1636,665,A,Russia,False,,971,Russia,2.4601503759398495,terminal_illness,Russia_France
Russia,France,1209,904,A,Russia,False,,305,Russia,1.3373893805309736,terminal_illness,Russia_France
France,Russia,1436,620,A,France,False,,816,France,2.3161290322580643,terminal_illness,Russia_France
Russia,France,20,317,B,France,False,,297,France,15.85,terminal_illness,Russia_France
France,Russia,1089,723,A,France,False,,366,France,1.5062240663900415,terminal_illness,Russia_France
France,Russia,330,259,A,France,False,,71,France,1.274131274131274,terminal_illness,Russia_France
Russia,France,1607,282,A,Russia,False,,1325,Russia,5.698581560283688,terminal_illness,Russia_France
Russia,France,15,1847,B,France,False,,1832,France,123.13333333333334,terminal_illness,Russia_France
France,Russia,260,1877,B,Russia,False,,1617,Russia,7.219230769230769,terminal_illness,Russia_France
Russia,France,66,594,B,France,False,,528,France,9.0,terminal_illness,Russia_France
Russia,France,926,1431,B,France,False,,505,France,1.5453563714902807,terminal_illness,Russia_France
France,Russia,1221,537,A,France,False,,684,France,2.2737430167597767,terminal_illness,Russia_France
France,Russia,1622,1432,A,France,False,,190,France,1.1326815642458101,terminal_illness,Russia_France
Russia,France,1623,1469,A,Russia,False,,154,Russia,1.1048332198774677,terminal_illness,Russia_France
Russia,France,656,1620,B,France,False,,964,France,2.4695121951219514,terminal_illness,Russia_France
Russia,France,1329,117,A,Russia,False,,1212,Russia,11.35897435897436,terminal_illness,Russia_France
Russia,France,1456,763,A,Russia,False,,693,Russia,1.908256880733945,terminal_illness,Russia_France
France,Russia,1464,635,A,France,False,,829,France,2.305511811023622,terminal_illness,Russia_France
France,Russia,1073,1321,B,Russia,False,,248,Russia,1.2311276794035415,terminal_illness,Russia_France
Russia,France,1324,64,A,Russia,False,,1260,Russia,20.6875,terminal_illness,Russia_France
Russia,France,1191,694,A,Russia,False,,497,Russia,1.7161383285302594,terminal_illness,Russia_France
France,Russia,503,371,A,France,False,,132,France,1.3557951482479784,terminal_illness,Russia_France
Russia,France,1308,1948,B,France,False,,640,France,1.489296636085627,terminal_illness,Russia_France
Russia,France,1207,112,A,Russia,False,,1095,Russia,10.776785714285714,terminal_illness,Russia_France
France,Russia,1897,1545,A,France,False,,352,France,1.227831715210356,terminal_illness,Russia_France
Russia,France,1507,740,A,Russia,False,,767,Russia,2.0364864864864867,terminal_illness,Russia_France
France,Russia,1410,1401,A,France,False,,9,France,1.006423982869379,terminal_illness,Russia_France
Russia,France,1471,1728,B,France,False,,257,France,1.1747110808973487,terminal_illness,Russia_France
France,Russia,802,1312,B,Russia,False,,510,Russia,1.6359102244389028,terminal_illness,Russia_France
France,Russia,1127,1296,B,Russia,False,,169,Russia,1.1499556344276842,terminal_illness,Russia_France
France,Russia,1221,505,A,France,False,,716,France,2.4178217821782177,terminal_illness,Russia_France
Russia,France,80,1471,B,France,False,,1391,France,18.3875,terminal_illness,Russia_France
