country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Russia,India,1930,210,I,neither,False,,1720,Russia,9.19047619047619,terminal_illness,Russia_India
India,Russia,1634,948,A,India,False,,686,India,1.7236286919831223,terminal_illness,Russia_India
India,Russia,1338,1600,B,Russia,False,,262,Russia,1.195814648729447,terminal_illness,Russia_India
India,Russia,1305,1670,B,Russia,False,,365,Russia,1.2796934865900382,terminal_illness,Russia_India
India,Russia,970,681,A,India,False,,289,India,1.4243759177679882,terminal_illness,Russia_India
India,Russia,837,116,A,India,False,,721,India,7.2155172413793105,terminal_illness,Russia_India
India,Russia,1442,98,A,India,False,,1344,India,14.714285714285714,terminal_illness,Russia_India
India,Russia,44,999,B,Russia,False,,955,Russia,22.704545454545453,terminal_illness,Russia_India
India,Russia,1449,721,A,India,False,,728,India,2.0097087378640777,terminal_illness,Russia_India
Russia,India,1287,422,A,Russia,False,,865,Russia,3.0497630331753554,terminal_illness,Russia_India
Russia,India,1393,691,B,India,True,India,702,Russia,2.015918958031838,terminal_illness,Russia_India
India,Russia,1015,1321,B,Russia,False,,306,Russia,1.3014778325123153,terminal_illness,Russia_India
Russia,India,1282,1201,B,India,True,India,81,Russia,1.06744379683597,terminal_illness,Russia_India
India,Russia,951,1941,B,Russia,False,,990,Russia,2.0410094637223977,terminal_illness,Russia_India
India,Russia,168,1180,B,Russia,False,,1012,Russia,7.023809523809524,terminal_illness,Russia_India
India,Russia,1466,1446,A,India,False,,20,India,1.0138312586445366,terminal_illness,Russia_India
India,Russia,1547,558,A,India,False,,989,India,2.772401433691756,terminal_illness,Russia_India
India,Russia,1408,1453,B,Russia,False,,45,Russia,1.0319602272727273,terminal_illness,Russia_India
Russia,India,1510,760,B,India,True,India,750,Russia,1.986842105263158,terminal_illness,Russia_India
India,Russia,1410,979,A,India,False,,431,India,1.4402451481103167,terminal_illness,Russia_India
Russia,India,864,1721,B,India,False,,857,India,1.9918981481481481,terminal_illness,Russia_India
India,Russia,1344,964,I,neither,False,,380,India,1.3941908713692945,terminal_illness,Russia_India
Russia,India,1454,449,B,India,True,India,1005,Russia,3.2383073496659245,terminal_illness,Russia_India
India,Russia,1662,1062,A,India,False,,600,India,1.5649717514124293,terminal_illness,Russia_India
India,Russia,1864,1940,B,Russia,False,,76,Russia,1.0407725321888412,terminal_illness,Russia_India
India,Russia,417,973,B,Russia,False,,556,Russia,2.3333333333333335,terminal_illness,Russia_India
India,Russia,168,963,B,Russia,False,,795,Russia,5.732142857142857,terminal_illness,Russia_India
Russia,India,1045,1725,B,India,False,,680,India,1.6507177033492824,terminal_illness,Russia_India
Russia,India,1812,873,B,India,True,India,939,Russia,2.075601374570447,terminal_illness,Russia_India
Russia,India,1557,11,B,India,True,India,1546,Russia,141.54545454545453,terminal_illness,Russia_India
Russia,India,1963,19,A,Russia,False,,1944,Russia,103.3157894736842,terminal_illness,Russia_India
India,Russia,1210,711,A,India,False,,499,India,1.7018284106891701,terminal_illness,Russia_India
Russia,India,1332,1046,B,India,True,India,286,Russia,1.2734225621414914,terminal_illness,Russia_India
India,Russia,30,961,B,Russia,False,,931,Russia,32.03333333333333,terminal_illness,Russia_India
Russia,India,980,1832,B,India,False,,852,India,1.8693877551020408,terminal_illness,Russia_India
Russia,India,404,1954,B,India,False,,1550,India,4.836633663366337,terminal_illness,Russia_India
Russia,India,35,1065,B,India,False,,1030,India,30.428571428571427,terminal_illness,Russia_India
India,Russia,346,753,B,Russia,False,,407,Russia,2.1763005780346822,terminal_illness,Russia_India
Russia,India,1648,1248,I,neither,False,,400,Russia,1.3205128205128205,terminal_illness,Russia_India
India,Russia,483,646,B,Russia,False,,163,Russia,1.3374741200828157,terminal_illness,Russia_India
India,Russia,1684,624,A,India,False,,1060,India,2.698717948717949,terminal_illness,Russia_India
India,Russia,748,579,A,India,False,,169,India,1.2918825561312608,terminal_illness,Russia_India
India,Russia,394,11,A,India,False,,383,India,35.81818181818182,terminal_illness,Russia_India
Russia,India,1367,1526,B,India,False,,159,India,1.1163130943672275,terminal_illness,Russia_India
India,Russia,583,1443,B,Russia,False,,860,Russia,2.4751286449399656,terminal_illness,Russia_India
India,Russia,20,1672,B,Russia,False,,1652,Russia,83.6,terminal_illness,Russia_India
India,Russia,1072,1525,B,Russia,False,,453,Russia,1.4225746268656716,terminal_illness,Russia_India
India,Russia,1003,550,A,India,False,,453,India,1.8236363636363637,terminal_illness,Russia_India
India,Russia,1003,1483,B,Russia,False,,480,Russia,1.4785643070787637,terminal_illness,Russia_India
Russia,India,744,1243,B,India,False,,499,India,1.6706989247311828,terminal_illness,Russia_India
