country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
South Africa,Taiwan,843,1969,B,Taiwan,False,,1126,Taiwan,2.33570581257414,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1363,1698,B,South Africa,False,,335,South Africa,1.2457813646368305,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,650,1640,B,South Africa,False,,990,South Africa,2.523076923076923,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,682,469,A,South Africa,False,,213,South Africa,1.4541577825159915,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,4,1462,B,Taiwan,False,,1458,Taiwan,365.5,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1481,888,A,South Africa,False,,593,South Africa,1.6677927927927927,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,548,1369,B,South Africa,False,,821,South Africa,2.4981751824817517,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,661,1082,B,South Africa,False,,421,South Africa,1.6369137670196672,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,526,1811,B,South Africa,False,,1285,South Africa,3.4429657794676807,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,355,471,B,Taiwan,False,,116,Taiwan,1.3267605633802817,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,601,889,B,South Africa,False,,288,South Africa,1.4792013311148087,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,740,593,A,South Africa,False,,147,South Africa,1.2478920741989883,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1903,1536,A,South Africa,False,,367,South Africa,1.2389322916666667,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1878,1245,A,South Africa,False,,633,South Africa,1.508433734939759,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,200,1007,B,South Africa,False,,807,South Africa,5.035,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,867,1607,B,South Africa,False,,740,South Africa,1.853517877739331,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1207,246,A,South Africa,False,,961,South Africa,4.90650406504065,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,647,1683,B,South Africa,False,,1036,South Africa,2.6012364760432765,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1697,394,I,neither,False,,1303,Taiwan,4.307106598984771,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1364,1750,B,Taiwan,False,,386,Taiwan,1.282991202346041,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,715,1595,B,Taiwan,False,,880,Taiwan,2.230769230769231,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1519,1979,B,Taiwan,False,,460,Taiwan,1.3028308097432522,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,684,354,A,South Africa,False,,330,South Africa,1.9322033898305084,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1263,387,A,South Africa,False,,876,South Africa,3.2635658914728682,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,342,1470,B,Taiwan,False,,1128,Taiwan,4.298245614035087,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1821,647,B,South Africa,True,South Africa,1174,Taiwan,2.8145285935085007,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1150,758,I,neither,False,,392,Taiwan,1.517150395778364,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,693,640,I,neither,False,,53,Taiwan,1.0828125,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,217,819,B,Taiwan,False,,602,Taiwan,3.774193548387097,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,107,726,B,South Africa,False,,619,South Africa,6.785046728971962,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1504,825,B,South Africa,True,South Africa,679,Taiwan,1.823030303030303,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1992,1943,A,South Africa,False,,49,South Africa,1.0252187339166239,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1470,1446,B,South Africa,True,South Africa,24,Taiwan,1.016597510373444,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1540,1055,I,neither,False,,485,Taiwan,1.4597156398104265,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,473,603,B,South Africa,False,,130,South Africa,1.2748414376321353,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1269,1605,B,South Africa,False,,336,South Africa,1.2647754137115839,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1872,654,B,South Africa,True,South Africa,1218,Taiwan,2.8623853211009176,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1376,1859,B,Taiwan,False,,483,Taiwan,1.351017441860465,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,899,911,B,Taiwan,False,,12,Taiwan,1.0133481646273637,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1466,977,A,South Africa,False,,489,South Africa,1.5005117707267144,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1200,1095,B,South Africa,True,South Africa,105,Taiwan,1.095890410958904,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,74,715,B,Taiwan,False,,641,Taiwan,9.662162162162161,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1075,676,A,South Africa,False,,399,South Africa,1.5902366863905326,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,676,1118,B,South Africa,False,,442,South Africa,1.6538461538461537,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,23,514,B,Taiwan,False,,491,Taiwan,22.347826086956523,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,690,868,B,Taiwan,False,,178,Taiwan,1.2579710144927536,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1101,250,A,South Africa,False,,851,South Africa,4.404,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,1552,1389,I,neither,False,,163,Taiwan,1.117350611951044,terminal_illness,Taiwan_South Africa
South Africa,Taiwan,1927,764,A,South Africa,False,,1163,South Africa,2.5222513089005236,terminal_illness,Taiwan_South Africa
Taiwan,South Africa,537,43,I,neither,False,,494,Taiwan,12.488372093023257,terminal_illness,Taiwan_South Africa
