country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,Kenya,383,1786,B,Kenya,False,,1403,Kenya,4.663185378590079,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1616,1291,I,neither,False,,325,Kenya,1.2517428350116189,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,610,1778,B,Ukraine,False,,1168,Ukraine,2.914754098360656,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,160,1789,B,Kenya,False,,1629,Kenya,11.18125,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1513,565,I,neither,False,,948,Kenya,2.6778761061946903,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1468,315,I,neither,False,,1153,Kenya,4.660317460317461,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,257,432,B,Kenya,False,,175,Kenya,1.6809338521400778,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,38,180,B,Kenya,False,,142,Kenya,4.7368421052631575,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,348,1863,B,Ukraine,False,,1515,Ukraine,5.353448275862069,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,36,631,B,Kenya,False,,595,Kenya,17.52777777777778,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1777,332,I,neither,False,,1445,Ukraine,5.352409638554217,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1997,454,I,neither,False,,1543,Ukraine,4.398678414096916,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1027,955,I,neither,False,,72,Kenya,1.075392670157068,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,296,1283,B,Ukraine,False,,987,Ukraine,4.33445945945946,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1083,1782,B,Ukraine,False,,699,Ukraine,1.6454293628808865,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1698,1042,I,neither,False,,656,Ukraine,1.6295585412667946,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1538,968,I,neither,False,,570,Ukraine,1.5888429752066116,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1207,1763,B,Kenya,False,,556,Kenya,1.4606462303231151,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1108,950,B,Kenya,True,Kenya,158,Ukraine,1.1663157894736842,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,76,132,B,Ukraine,False,,56,Ukraine,1.736842105263158,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1569,481,I,neither,False,,1088,Ukraine,3.261954261954262,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,734,143,I,neither,False,,591,Kenya,5.1328671328671325,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,608,661,B,Kenya,False,,53,Kenya,1.087171052631579,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,56,1594,B,Kenya,False,,1538,Kenya,28.464285714285715,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1477,1457,B,Kenya,True,Kenya,20,Ukraine,1.0137268359643101,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1242,959,I,neither,False,,283,Kenya,1.2950990615224192,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1878,723,I,neither,False,,1155,Ukraine,2.5975103734439835,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1607,1084,I,neither,False,,523,Ukraine,1.4824723247232472,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,785,999,B,Kenya,False,,214,Kenya,1.2726114649681528,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1088,852,I,neither,False,,236,Kenya,1.2769953051643192,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,49,1102,B,Kenya,False,,1053,Kenya,22.489795918367346,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,162,1559,B,Kenya,False,,1397,Kenya,9.623456790123457,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,967,1463,B,Kenya,False,,496,Kenya,1.5129265770423992,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,835,1743,B,Ukraine,False,,908,Ukraine,2.0874251497005987,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,753,814,B,Ukraine,False,,61,Ukraine,1.0810092961487383,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1720,554,A,Kenya,False,,1166,Kenya,3.104693140794224,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1677,67,I,neither,False,,1610,Ukraine,25.029850746268657,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,262,1578,B,Ukraine,False,,1316,Ukraine,6.022900763358779,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,1438,1,A,Ukraine,False,,1437,Ukraine,1438.0,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,9,1436,B,Ukraine,False,,1427,Ukraine,159.55555555555554,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,272,1218,B,Kenya,False,,946,Kenya,4.477941176470588,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,113,1397,B,Ukraine,False,,1284,Ukraine,12.36283185840708,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1949,420,I,neither,False,,1529,Kenya,4.640476190476191,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,515,722,B,Ukraine,False,,207,Ukraine,1.4019417475728155,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,754,329,I,neither,False,,425,Ukraine,2.291793313069909,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,340,1248,B,Ukraine,False,,908,Ukraine,3.6705882352941175,terminal_illness,Ukraine_Kenya
Ukraine,Kenya,590,981,B,Kenya,False,,391,Kenya,1.6627118644067798,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,604,846,B,Ukraine,False,,242,Ukraine,1.400662251655629,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,973,1606,B,Ukraine,False,,633,Ukraine,1.6505652620760534,terminal_illness,Ukraine_Kenya
Kenya,Ukraine,1035,1204,B,Ukraine,False,,169,Ukraine,1.1632850241545893,terminal_illness,Ukraine_Kenya
