country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Ukraine,47,1754,B,Ukraine,False,,1707,Ukraine,37.319148936170215,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1998,867,I,neither,False,,1131,Philippines,2.3044982698961936,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,606,1210,B,Philippines,False,,604,Philippines,1.9966996699669968,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,769,210,I,neither,False,,559,Philippines,3.6619047619047618,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1655,1509,I,neither,False,,146,Ukraine,1.0967528164347249,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1092,1323,B,Ukraine,False,,231,Ukraine,1.2115384615384615,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,441,1696,B,Philippines,False,,1255,Philippines,3.8458049886621315,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1526,1253,I,neither,False,,273,Ukraine,1.217877094972067,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,736,1880,B,Ukraine,False,,1144,Ukraine,2.5543478260869565,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,40,491,B,Philippines,False,,451,Philippines,12.275,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,236,1577,B,Ukraine,False,,1341,Ukraine,6.682203389830509,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1389,815,I,neither,False,,574,Philippines,1.7042944785276073,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,112,373,B,Ukraine,False,,261,Ukraine,3.330357142857143,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,153,1778,B,Philippines,False,,1625,Philippines,11.620915032679738,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1463,8,A,Philippines,False,,1455,Philippines,182.875,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1201,858,I,neither,False,,343,Philippines,1.3997668997668997,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,286,1082,B,Ukraine,False,,796,Ukraine,3.7832167832167833,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1119,1385,B,Philippines,False,,266,Philippines,1.2377122430741734,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1605,1553,B,Philippines,True,Philippines,52,Ukraine,1.0334835801674178,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1824,109,I,neither,False,,1715,Philippines,16.73394495412844,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,183,556,B,Philippines,False,,373,Philippines,3.0382513661202184,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,781,899,B,Philippines,False,,118,Philippines,1.151088348271447,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1969,443,A,Philippines,False,,1526,Philippines,4.444695259593679,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,205,175,I,neither,False,,30,Ukraine,1.1714285714285715,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,635,1677,B,Philippines,False,,1042,Philippines,2.6409448818897636,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,967,673,I,neither,False,,294,Philippines,1.436849925705795,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,797,1885,B,Philippines,False,,1088,Philippines,2.3651191969887075,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,781,323,I,neither,False,,458,Philippines,2.417956656346749,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,163,1758,B,Philippines,False,,1595,Philippines,10.785276073619633,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1809,1266,I,neither,False,,543,Philippines,1.4289099526066351,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,323,1596,B,Ukraine,False,,1273,Ukraine,4.9411764705882355,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1452,647,A,Ukraine,False,,805,Ukraine,2.2442040185471406,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1951,1628,I,neither,False,,323,Ukraine,1.1984029484029484,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1397,314,I,neither,False,,1083,Philippines,4.449044585987261,terminal_illness,Ukraine_Philippines
