country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
United States,South Africa,1287,1687,B,South Africa,False,,400,South Africa,1.3108003108003108,terminal_illness,United States_South Africa
United States,South Africa,341,929,B,South Africa,False,,588,South Africa,2.724340175953079,terminal_illness,United States_South Africa
South Africa,United States,1651,1654,B,United States,False,,3,United States,1.001817080557238,terminal_illness,United States_South Africa
South Africa,United States,1365,152,A,South Africa,False,,1213,South Africa,8.980263157894736,terminal_illness,United States_South Africa
United States,South Africa,1503,1840,B,South Africa,False,,337,South Africa,1.224218230206254,terminal_illness,United States_South Africa
South Africa,United States,1086,287,A,South Africa,False,,799,South Africa,3.78397212543554,terminal_illness,United States_South Africa
United States,South Africa,1029,768,I,neither,False,,261,United States,1.33984375,terminal_illness,United States_South Africa
South Africa,United States,1154,1452,B,United States,False,,298,United States,1.2582322357019065,terminal_illness,United States_South Africa
United States,South Africa,1761,695,I,neither,False,,1066,United States,2.533812949640288,terminal_illness,United States_South Africa
South Africa,United States,1233,177,A,South Africa,False,,1056,South Africa,6.966101694915254,terminal_illness,United States_South Africa
United States,South Africa,809,269,I,neither,False,,540,United States,3.007434944237918,terminal_illness,United States_South Africa
United States,South Africa,78,1206,B,South Africa,False,,1128,South Africa,15.461538461538462,terminal_illness,United States_South Africa
South Africa,United States,779,1693,B,United States,False,,914,United States,2.173299101412067,terminal_illness,United States_South Africa
South Africa,United States,610,1506,B,United States,False,,896,United States,2.4688524590163934,terminal_illness,United States_South Africa
United States,South Africa,42,1771,B,South Africa,False,,1729,South Africa,42.166666666666664,terminal_illness,United States_South Africa
United States,South Africa,1019,1300,B,South Africa,False,,281,South Africa,1.2757605495583906,terminal_illness,United States_South Africa
South Africa,United States,1381,1387,B,United States,False,,6,United States,1.004344677769732,terminal_illness,United States_South Africa
South Africa,United States,330,282,A,South Africa,False,,48,South Africa,1.1702127659574468,terminal_illness,United States_South Africa
South Africa,United States,515,346,A,South Africa,False,,169,South Africa,1.4884393063583814,terminal_illness,United States_South Africa
South Africa,United States,1849,1920,B,United States,False,,71,United States,1.0383991346673878,terminal_illness,United States_South Africa
South Africa,United States,1181,1506,B,United States,False,,325,United States,1.275190516511431,terminal_illness,United States_South Africa
South Africa,United States,1060,730,A,South Africa,False,,330,South Africa,1.452054794520548,terminal_illness,United States_South Africa
United States,South Africa,545,1191,B,South Africa,False,,646,South Africa,2.1853211009174314,terminal_illness,United States_South Africa
United States,South Africa,1180,1484,B,South Africa,False,,304,South Africa,1.2576271186440677,terminal_illness,United States_South Africa
South Africa,United States,1300,1048,A,South Africa,False,,252,South Africa,1.2404580152671756,terminal_illness,United States_South Africa
United States,South Africa,802,293,I,neither,False,,509,United States,2.737201365187713,terminal_illness,United States_South Africa
South Africa,United States,357,306,A,South Africa,False,,51,South Africa,1.1666666666666667,terminal_illness,United States_South Africa
United States,South Africa,1996,1361,I,neither,False,,635,United States,1.4665686994856724,terminal_illness,United States_South Africa
United States,South Africa,139,192,B,South Africa,False,,53,South Africa,1.381294964028777,terminal_illness,United States_South Africa
United States,South Africa,653,140,I,neither,False,,513,United States,4.664285714285715,terminal_illness,United States_South Africa
South Africa,United States,1421,1556,B,United States,False,,135,United States,1.095003518648839,terminal_illness,United States_South Africa
South Africa,United States,1432,735,A,South Africa,False,,697,South Africa,1.948299319727891,terminal_illness,United States_South Africa
South Africa,United States,1001,585,A,South Africa,False,,416,South Africa,1.711111111111111,terminal_illness,United States_South Africa
United States,South Africa,1685,1612,I,neither,False,,73,United States,1.0452853598014888,terminal_illness,United States_South Africa
United States,South Africa,892,221,I,neither,False,,671,United States,4.036199095022624,terminal_illness,United States_South Africa
United States,South Africa,849,223,I,neither,False,,626,United States,3.807174887892377,terminal_illness,United States_South Africa
South Africa,United States,1757,322,A,South Africa,False,,1435,South Africa,5.456521739130435,terminal_illness,United States_South Africa
United States,South Africa,198,745,B,South Africa,False,,547,South Africa,3.7626262626262625,terminal_illness,United States_South Africa
South Africa,United States,1033,431,A,South Africa,False,,602,South Africa,2.3967517401392113,terminal_illness,United States_South Africa
United States,South Africa,507,885,B,South Africa,False,,378,South Africa,1.7455621301775148,terminal_illness,United States_South Africa
United States,South Africa,744,684,I,neither,False,,60,United States,1.087719298245614,terminal_illness,United States_South Africa
United States,South Africa,877,740,I,neither,False,,137,United States,1.1851351351351351,terminal_illness,United States_South Africa
United States,South Africa,710,257,I,neither,False,,453,United States,2.762645914396887,terminal_illness,United States_South Africa
South Africa,United States,1453,513,A,South Africa,False,,940,South Africa,2.8323586744639377,terminal_illness,United States_South Africa
South Africa,United States,207,405,B,United States,False,,198,United States,1.9565217391304348,terminal_illness,United States_South Africa
South Africa,United States,1105,338,A,South Africa,False,,767,South Africa,3.269230769230769,terminal_illness,United States_South Africa
United States,South Africa,30,727,B,South Africa,False,,697,South Africa,24.233333333333334,terminal_illness,United States_South Africa
South Africa,United States,423,1568,B,United States,False,,1145,United States,3.706855791962175,terminal_illness,United States_South Africa
South Africa,United States,1754,219,A,South Africa,False,,1535,South Africa,8.009132420091325,terminal_illness,United States_South Africa
South Africa,United States,590,270,A,South Africa,False,,320,South Africa,2.185185185185185,terminal_illness,United States_South Africa
