country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
United States,United Kingdom,198,1429,B,United Kingdom,False,,1231,United Kingdom,7.217171717171717,terminal_illness,United States_United Kingdom
United Kingdom,United States,1896,744,A,United Kingdom,False,,1152,United Kingdom,2.5483870967741935,terminal_illness,United States_United Kingdom
United States,United Kingdom,1436,923,A,United States,False,,513,United States,1.5557963163596966,terminal_illness,United States_United Kingdom
United Kingdom,United States,1892,1484,A,United Kingdom,False,,408,United Kingdom,1.274932614555256,terminal_illness,United States_United Kingdom
United Kingdom,United States,1148,437,A,United Kingdom,False,,711,United Kingdom,2.6270022883295194,terminal_illness,United States_United Kingdom
United Kingdom,United States,1269,1622,B,United States,False,,353,United States,1.2781717888100868,terminal_illness,United States_United Kingdom
United States,United Kingdom,220,1730,B,United Kingdom,False,,1510,United Kingdom,7.863636363636363,terminal_illness,United States_United Kingdom
United States,United Kingdom,582,34,A,United States,False,,548,United States,17.11764705882353,terminal_illness,United States_United Kingdom
United States,United Kingdom,232,1919,B,United Kingdom,False,,1687,United Kingdom,8.27155172413793,terminal_illness,United States_United Kingdom
United States,United Kingdom,145,1050,B,United Kingdom,False,,905,United Kingdom,7.241379310344827,terminal_illness,United States_United Kingdom
United States,United Kingdom,935,225,A,United States,False,,710,United States,4.155555555555556,terminal_illness,United States_United Kingdom
United Kingdom,United States,817,1895,B,United States,False,,1078,United States,2.3194614443084456,terminal_illness,United States_United Kingdom
United Kingdom,United States,177,1767,B,United States,False,,1590,United States,9.983050847457626,terminal_illness,United States_United Kingdom
United Kingdom,United States,672,1153,B,United States,False,,481,United States,1.7157738095238095,terminal_illness,United States_United Kingdom
United States,United Kingdom,1867,1975,B,United Kingdom,False,,108,United Kingdom,1.0578468130690948,terminal_illness,United States_United Kingdom
United States,United Kingdom,1627,758,A,United States,False,,869,United States,2.1464379947229553,terminal_illness,United States_United Kingdom
United States,United Kingdom,1088,1409,B,United Kingdom,False,,321,United Kingdom,1.2950367647058822,terminal_illness,United States_United Kingdom
United Kingdom,United States,1208,1655,B,United States,False,,447,United States,1.3700331125827814,terminal_illness,United States_United Kingdom
United States,United Kingdom,377,1150,B,United Kingdom,False,,773,United Kingdom,3.050397877984085,terminal_illness,United States_United Kingdom
United Kingdom,United States,491,1680,B,United States,False,,1189,United States,3.4215885947046845,terminal_illness,United States_United Kingdom
United Kingdom,United States,211,1458,B,United States,False,,1247,United States,6.909952606635071,terminal_illness,United States_United Kingdom
United Kingdom,United States,476,809,B,United States,False,,333,United States,1.699579831932773,terminal_illness,United States_United Kingdom
United Kingdom,United States,1893,36,A,United Kingdom,False,,1857,United Kingdom,52.583333333333336,terminal_illness,United States_United Kingdom
United Kingdom,United States,1259,1181,A,United Kingdom,False,,78,United Kingdom,1.0660457239627434,terminal_illness,United States_United Kingdom
United Kingdom,United States,1322,1381,B,United States,False,,59,United States,1.0446293494704992,terminal_illness,United States_United Kingdom
United States,United Kingdom,171,1305,B,United Kingdom,False,,1134,United Kingdom,7.631578947368421,terminal_illness,United States_United Kingdom
United Kingdom,United States,711,807,B,United States,False,,96,United States,1.1350210970464134,terminal_illness,United States_United Kingdom
United States,United Kingdom,1125,382,A,United States,False,,743,United States,2.945026178010471,terminal_illness,United States_United Kingdom
United Kingdom,United States,1278,916,A,United Kingdom,False,,362,United Kingdom,1.3951965065502183,terminal_illness,United States_United Kingdom
United States,United Kingdom,1516,1234,A,United States,False,,282,United States,1.2285251215559156,terminal_illness,United States_United Kingdom
United States,United Kingdom,1984,1223,B,United Kingdom,True,United Kingdom,761,United States,1.6222403924775144,terminal_illness,United States_United Kingdom
United States,United Kingdom,630,1410,B,United Kingdom,False,,780,United Kingdom,2.238095238095238,terminal_illness,United States_United Kingdom
United Kingdom,United States,279,67,A,United Kingdom,False,,212,United Kingdom,4.164179104477612,terminal_illness,United States_United Kingdom
United States,United Kingdom,899,761,B,United Kingdom,True,United Kingdom,138,United States,1.1813403416557162,terminal_illness,United States_United Kingdom
United Kingdom,United States,437,1473,B,United States,False,,1036,United States,3.3707093821510297,terminal_illness,United States_United Kingdom
United Kingdom,United States,647,147,A,United Kingdom,False,,500,United Kingdom,4.401360544217687,terminal_illness,United States_United Kingdom
United States,United Kingdom,1893,1995,B,United Kingdom,False,,102,United Kingdom,1.0538827258320127,terminal_illness,United States_United Kingdom
United States,United Kingdom,1603,758,A,United States,False,,845,United States,2.1147757255936677,terminal_illness,United States_United Kingdom
United States,United Kingdom,1074,1553,B,United Kingdom,False,,479,United Kingdom,1.445996275605214,terminal_illness,United States_United Kingdom
United States,United Kingdom,1693,524,A,United States,False,,1169,United States,3.230916030534351,terminal_illness,United States_United Kingdom
United States,United Kingdom,1950,852,I,neither,False,,1098,United States,2.288732394366197,terminal_illness,United States_United Kingdom
United Kingdom,United States,1259,1909,B,United States,False,,650,United States,1.5162827640984908,terminal_illness,United States_United Kingdom
United States,United Kingdom,1223,1232,B,United Kingdom,False,,9,United Kingdom,1.0073589533932952,terminal_illness,United States_United Kingdom
United States,United Kingdom,1827,1851,B,United Kingdom,False,,24,United Kingdom,1.013136288998358,terminal_illness,United States_United Kingdom
United Kingdom,United States,911,1185,B,United States,False,,274,United States,1.300768386388584,terminal_illness,United States_United Kingdom
United States,United Kingdom,862,315,I,neither,False,,547,United States,2.7365079365079366,terminal_illness,United States_United Kingdom
United Kingdom,United States,459,1915,B,United States,False,,1456,United States,4.172113289760349,terminal_illness,United States_United Kingdom
United States,United Kingdom,1772,727,A,United States,False,,1045,United States,2.437414030261348,terminal_illness,United States_United Kingdom
United Kingdom,United States,144,1329,B,United States,False,,1185,United States,9.229166666666666,terminal_illness,United States_United Kingdom
United Kingdom,United States,1631,1064,A,United Kingdom,False,,567,United Kingdom,1.5328947368421053,terminal_illness,United States_United Kingdom
