country,elo_score,rank
Palestine,1709.5143057237196,1
India,1686.461342455777,2
Ukraine,1668.4955529533727,3
South Africa,1641.6377684796194,4
Philippines,1599.8858268894269,5
Nigeria,1577.221100842958,6
United Kingdom,1554.038314176835,7
Mexico,1535.767683222405,8
United States,1479.2154533253286,9
Canada,1476.0289741478919,10
Taiwan,1431.2765754967133,11
China,1430.012800439952,12
Pakistan,1420.6663075269523,13
Israel,1412.5087633153585,14
Russia,1406.3772265445916,15
Japan,1392.4263880881315,16
France,1388.980976712569,17
Germany,1372.0336354876315,18
Iran,1317.4510041707663,19
