country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,India,1015,178,A,Canada,False,,837,Canada,5.702247191011236,terminal_illness,Canada_India
India,Canada,254,1999,B,Canada,False,,1745,Canada,7.8700787401574805,terminal_illness,Canada_India
Canada,India,1206,755,A,Canada,False,,451,Canada,1.5973509933774834,terminal_illness,Canada_India
Canada,India,904,485,A,Canada,False,,419,Canada,1.863917525773196,terminal_illness,Canada_India
India,Canada,1351,1397,B,Canada,False,,46,Canada,1.0340488527017024,terminal_illness,Canada_India
India,Canada,727,1007,B,Canada,False,,280,Canada,1.3851444291609354,terminal_illness,Canada_India
India,Canada,1500,1898,B,Canada,False,,398,Canada,1.2653333333333334,terminal_illness,Canada_India
Canada,India,716,428,A,Canada,False,,288,Canada,1.6728971962616823,terminal_illness,Canada_India
India,Canada,78,587,B,Canada,False,,509,Canada,7.5256410256410255,terminal_illness,Canada_India
India,Canada,490,1982,B,Canada,False,,1492,Canada,4.044897959183674,terminal_illness,Canada_India
Canada,India,547,796,B,India,False,,249,India,1.4552102376599634,terminal_illness,Canada_India
India,Canada,479,1207,B,Canada,False,,728,Canada,2.519832985386221,terminal_illness,Canada_India
India,Canada,1843,799,A,India,False,,1044,India,2.306633291614518,terminal_illness,Canada_India
India,Canada,487,463,A,India,False,,24,India,1.0518358531317495,terminal_illness,Canada_India
Canada,India,373,1003,B,India,False,,630,India,2.689008042895442,terminal_illness,Canada_India
Canada,India,1608,1338,A,Canada,False,,270,Canada,1.201793721973094,terminal_illness,Canada_India
Canada,India,960,305,A,Canada,False,,655,Canada,3.1475409836065573,terminal_illness,Canada_India
India,Canada,839,1262,B,Canada,False,,423,Canada,1.504171632896305,terminal_illness,Canada_India
Canada,India,72,1619,B,India,False,,1547,India,22.48611111111111,terminal_illness,Canada_India
India,Canada,1524,330,A,India,False,,1194,India,4.618181818181818,terminal_illness,Canada_India
India,Canada,128,1167,B,Canada,False,,1039,Canada,9.1171875,terminal_illness,Canada_India
India,Canada,723,1175,B,Canada,False,,452,Canada,1.6251728907330567,terminal_illness,Canada_India
India,Canada,1980,874,A,India,False,,1106,India,2.265446224256293,terminal_illness,Canada_India
India,Canada,1436,325,A,India,False,,1111,India,4.418461538461538,terminal_illness,Canada_India
India,Canada,462,1109,B,Canada,False,,647,Canada,2.4004329004329006,terminal_illness,Canada_India
India,Canada,1247,295,A,India,False,,952,India,4.227118644067796,terminal_illness,Canada_India
India,Canada,174,685,B,Canada,False,,511,Canada,3.9367816091954024,terminal_illness,Canada_India
Canada,India,1790,408,A,Canada,False,,1382,Canada,4.387254901960785,terminal_illness,Canada_India
India,Canada,1601,896,A,India,False,,705,India,1.7868303571428572,terminal_illness,Canada_India
India,Canada,1218,225,A,India,False,,993,India,5.413333333333333,terminal_illness,Canada_India
India,Canada,791,1164,B,Canada,False,,373,Canada,1.4715549936788874,terminal_illness,Canada_India
Canada,India,1915,1528,A,Canada,False,,387,Canada,1.2532722513089005,terminal_illness,Canada_India
India,Canada,119,1871,B,Canada,False,,1752,Canada,15.722689075630251,terminal_illness,Canada_India
Canada,India,1628,118,A,Canada,False,,1510,Canada,13.796610169491526,terminal_illness,Canada_India
Canada,India,104,1715,B,India,False,,1611,India,16.490384615384617,terminal_illness,Canada_India
Canada,India,1991,607,A,Canada,False,,1384,Canada,3.2800658978583197,terminal_illness,Canada_India
India,Canada,1206,1830,B,Canada,False,,624,Canada,1.5174129353233832,terminal_illness,Canada_India
Canada,India,1930,1237,A,Canada,False,,693,Canada,1.5602263540824575,terminal_illness,Canada_India
India,Canada,118,1183,B,Canada,False,,1065,Canada,10.025423728813559,terminal_illness,Canada_India
India,Canada,1497,326,A,India,False,,1171,India,4.5920245398773005,terminal_illness,Canada_India
Canada,India,1886,8,A,Canada,False,,1878,Canada,235.75,terminal_illness,Canada_India
Canada,India,1986,148,A,Canada,False,,1838,Canada,13.41891891891892,terminal_illness,Canada_India
India,Canada,829,140,A,India,False,,689,India,5.921428571428572,terminal_illness,Canada_India
India,Canada,1772,632,A,India,False,,1140,India,2.8037974683544302,terminal_illness,Canada_India
Canada,India,852,112,A,Canada,False,,740,Canada,7.607142857142857,terminal_illness,Canada_India
Canada,India,762,1359,B,India,False,,597,India,1.7834645669291338,terminal_illness,Canada_India
Canada,India,1899,157,A,Canada,False,,1742,Canada,12.095541401273886,terminal_illness,Canada_India
Canada,India,1398,1285,A,Canada,False,,113,Canada,1.0879377431906614,terminal_illness,Canada_India
Canada,India,933,75,A,Canada,False,,858,Canada,12.44,terminal_illness,Canada_India
India,Canada,382,1627,B,Canada,False,,1245,Canada,4.2591623036649215,terminal_illness,Canada_India
