country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,Israel,969,1764,B,Israel,False,,795,Israel,1.8204334365325077,terminal_illness,Canada_Israel
Canada,Israel,1186,235,A,Canada,False,,951,Canada,5.046808510638298,terminal_illness,Canada_Israel
Canada,Israel,743,1449,B,Israel,False,,706,Israel,1.9502018842530282,terminal_illness,Canada_Israel
Canada,Israel,1162,78,A,Canada,False,,1084,Canada,14.897435897435898,terminal_illness,Canada_Israel
Canada,Israel,342,1407,B,Israel,False,,1065,Israel,4.114035087719298,terminal_illness,Canada_Israel
Canada,Israel,413,888,B,Israel,False,,475,Israel,2.1501210653753025,terminal_illness,Canada_Israel
Israel,Canada,328,1325,B,Canada,False,,997,Canada,4.039634146341464,terminal_illness,Canada_Israel
Canada,Israel,763,234,A,Canada,False,,529,Canada,3.2606837606837606,terminal_illness,Canada_Israel
Canada,Israel,170,219,B,Israel,False,,49,Israel,1.2882352941176471,terminal_illness,Canada_Israel
Israel,Canada,1144,800,A,Israel,False,,344,Israel,1.43,terminal_illness,Canada_Israel
Canada,Israel,54,1389,B,Israel,False,,1335,Israel,25.72222222222222,terminal_illness,Canada_Israel
Canada,Israel,1274,230,A,Canada,False,,1044,Canada,5.539130434782609,terminal_illness,Canada_Israel
Israel,Canada,603,533,A,Israel,False,,70,Israel,1.1313320825515947,terminal_illness,Canada_Israel
Canada,Israel,1497,1948,B,Israel,False,,451,Israel,1.3012692050768202,terminal_illness,Canada_Israel
Canada,Israel,1,61,B,Israel,False,,60,Israel,61.0,terminal_illness,Canada_Israel
Canada,Israel,260,100,A,Canada,False,,160,Canada,2.6,terminal_illness,Canada_Israel
Canada,Israel,978,1744,B,Israel,False,,766,Israel,1.7832310838445808,terminal_illness,Canada_Israel
Canada,Israel,389,933,B,Israel,False,,544,Israel,2.398457583547558,terminal_illness,Canada_Israel
Israel,Canada,1326,1337,A,Israel,True,Israel,11,Canada,1.0082956259426847,terminal_illness,Canada_Israel
Israel,Canada,1847,1450,A,Israel,False,,397,Israel,1.273793103448276,terminal_illness,Canada_Israel
Canada,Israel,1855,1042,A,Canada,False,,813,Canada,1.7802303262955854,terminal_illness,Canada_Israel
Israel,Canada,870,7,A,Israel,False,,863,Israel,124.28571428571429,terminal_illness,Canada_Israel
Canada,Israel,1153,484,A,Canada,False,,669,Canada,2.3822314049586777,terminal_illness,Canada_Israel
Canada,Israel,1556,648,A,Canada,False,,908,Canada,2.4012345679012346,terminal_illness,Canada_Israel
Israel,Canada,163,1975,B,Canada,False,,1812,Canada,12.116564417177914,terminal_illness,Canada_Israel
Israel,Canada,1880,554,A,Israel,False,,1326,Israel,3.3935018050541514,terminal_illness,Canada_Israel
Canada,Israel,273,1251,B,Israel,False,,978,Israel,4.582417582417582,terminal_illness,Canada_Israel
Israel,Canada,635,736,B,Canada,False,,101,Canada,1.1590551181102362,terminal_illness,Canada_Israel
Israel,Canada,1934,516,A,Israel,False,,1418,Israel,3.748062015503876,terminal_illness,Canada_Israel
Canada,Israel,1338,288,A,Canada,False,,1050,Canada,4.645833333333333,terminal_illness,Canada_Israel
Canada,Israel,1978,19,A,Canada,False,,1959,Canada,104.10526315789474,terminal_illness,Canada_Israel
Canada,Israel,619,124,A,Canada,False,,495,Canada,4.991935483870968,terminal_illness,Canada_Israel
Israel,Canada,353,1680,B,Canada,False,,1327,Canada,4.759206798866855,terminal_illness,Canada_Israel
Canada,Israel,83,1241,B,Israel,False,,1158,Israel,14.951807228915662,terminal_illness,Canada_Israel
Canada,Israel,686,1132,B,Israel,False,,446,Israel,1.6501457725947521,terminal_illness,Canada_Israel
Israel,Canada,879,848,A,Israel,False,,31,Israel,1.036556603773585,terminal_illness,Canada_Israel
Canada,Israel,521,458,A,Canada,False,,63,Canada,1.1375545851528384,terminal_illness,Canada_Israel
Canada,Israel,296,1577,B,Israel,False,,1281,Israel,5.327702702702703,terminal_illness,Canada_Israel
Canada,Israel,36,702,B,Israel,False,,666,Israel,19.5,terminal_illness,Canada_Israel
Israel,Canada,1456,231,A,Israel,False,,1225,Israel,6.303030303030303,terminal_illness,Canada_Israel
Canada,Israel,1924,1306,A,Canada,False,,618,Canada,1.4732006125574273,terminal_illness,Canada_Israel
Israel,Canada,925,1737,B,Canada,False,,812,Canada,1.8778378378378378,terminal_illness,Canada_Israel
Canada,Israel,544,1750,B,Israel,False,,1206,Israel,3.2169117647058822,terminal_illness,Canada_Israel
Canada,Israel,101,1631,B,Israel,False,,1530,Israel,16.14851485148515,terminal_illness,Canada_Israel
Israel,Canada,667,784,B,Canada,False,,117,Canada,1.1754122938530736,terminal_illness,Canada_Israel
Canada,Israel,1691,1843,B,Israel,False,,152,Israel,1.0898876404494382,terminal_illness,Canada_Israel
Canada,Israel,549,1310,B,Israel,False,,761,Israel,2.3861566484517303,terminal_illness,Canada_Israel
Israel,Canada,631,184,A,Israel,False,,447,Israel,3.4293478260869565,terminal_illness,Canada_Israel
Israel,Canada,1790,848,A,Israel,False,,942,Israel,2.1108490566037736,terminal_illness,Canada_Israel
Canada,Israel,393,1481,B,Israel,False,,1088,Israel,3.768447837150127,terminal_illness,Canada_Israel
