country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Israel,India,6,152,B,India,False,,146,India,25.333333333333332,terminal_illness,Israel_India
India,Israel,475,445,A,India,False,,30,India,1.0674157303370786,terminal_illness,Israel_India
Israel,India,1266,1353,B,India,False,,87,India,1.0687203791469195,terminal_illness,Israel_India
Israel,India,1690,786,A,Israel,False,,904,Israel,2.150127226463104,terminal_illness,Israel_India
India,Israel,1460,362,A,India,False,,1098,India,4.033149171270718,terminal_illness,Israel_India
India,Israel,726,383,A,India,False,,343,India,1.8955613577023498,terminal_illness,Israel_India
India,Israel,1938,144,A,India,False,,1794,India,13.458333333333334,terminal_illness,Israel_India
Israel,India,788,494,A,Israel,False,,294,Israel,1.5951417004048583,terminal_illness,Israel_India
India,Israel,690,508,A,India,False,,182,India,1.358267716535433,terminal_illness,Israel_India
India,Israel,1995,511,A,India,False,,1484,India,3.904109589041096,terminal_illness,Israel_India
India,Israel,1950,1235,A,India,False,,715,India,1.5789473684210527,terminal_illness,Israel_India
Israel,India,1083,1346,B,India,False,,263,India,1.2428439519852261,terminal_illness,Israel_India
India,Israel,371,1323,B,Israel,False,,952,Israel,3.5660377358490565,terminal_illness,Israel_India
Israel,India,1848,162,A,Israel,False,,1686,Israel,11.407407407407407,terminal_illness,Israel_India
India,Israel,1144,126,A,India,False,,1018,India,9.079365079365079,terminal_illness,Israel_India
Israel,India,1929,1838,A,Israel,False,,91,Israel,1.0495103373231773,terminal_illness,Israel_India
India,Israel,471,54,A,India,False,,417,India,8.722222222222221,terminal_illness,Israel_India
India,Israel,1672,1473,A,India,False,,199,India,1.1350984385607603,terminal_illness,Israel_India
Israel,India,1645,807,A,Israel,False,,838,Israel,2.0384138785625776,terminal_illness,Israel_India
Israel,India,1590,380,A,Israel,False,,1210,Israel,4.184210526315789,terminal_illness,Israel_India
Israel,India,636,1285,B,India,False,,649,India,2.020440251572327,terminal_illness,Israel_India
Israel,India,415,1634,B,India,False,,1219,India,3.9373493975903613,terminal_illness,Israel_India
Israel,India,1277,1350,B,India,False,,73,India,1.05716523101018,terminal_illness,Israel_India
Israel,India,488,1410,B,India,False,,922,India,2.889344262295082,terminal_illness,Israel_India
India,Israel,193,1274,B,Israel,False,,1081,Israel,6.601036269430052,terminal_illness,Israel_India
Israel,India,94,1945,B,India,False,,1851,India,20.69148936170213,terminal_illness,Israel_India
Israel,India,315,188,A,Israel,False,,127,Israel,1.675531914893617,terminal_illness,Israel_India
Israel,India,1754,231,A,Israel,False,,1523,Israel,7.593073593073593,terminal_illness,Israel_India
India,Israel,1845,1300,A,India,False,,545,India,1.4192307692307693,terminal_illness,Israel_India
Israel,India,1897,1489,A,Israel,False,,408,Israel,1.2740094022834116,terminal_illness,Israel_India
Israel,India,562,1819,B,India,False,,1257,India,3.236654804270463,terminal_illness,Israel_India
India,Israel,1141,1295,B,Israel,False,,154,Israel,1.1349693251533743,terminal_illness,Israel_India
India,Israel,44,165,B,Israel,False,,121,Israel,3.75,terminal_illness,Israel_India
Israel,India,1377,944,A,Israel,False,,433,Israel,1.458686440677966,terminal_illness,Israel_India
Israel,India,1920,1999,B,India,False,,79,India,1.0411458333333334,terminal_illness,Israel_India
Israel,India,868,254,A,Israel,False,,614,Israel,3.4173228346456694,terminal_illness,Israel_India
India,Israel,229,1059,B,Israel,False,,830,Israel,4.6244541484716155,terminal_illness,Israel_India
Israel,India,360,811,B,India,False,,451,India,2.2527777777777778,terminal_illness,Israel_India
India,Israel,513,476,A,India,False,,37,India,1.0777310924369747,terminal_illness,Israel_India
India,Israel,1980,58,A,India,False,,1922,India,34.13793103448276,terminal_illness,Israel_India
India,Israel,877,1854,B,Israel,False,,977,Israel,2.114025085518814,terminal_illness,Israel_India
Israel,India,680,325,A,Israel,False,,355,Israel,2.0923076923076924,terminal_illness,Israel_India
Israel,India,1734,1017,A,Israel,False,,717,Israel,1.705014749262537,terminal_illness,Israel_India
Israel,India,1167,611,A,Israel,False,,556,Israel,1.9099836333878888,terminal_illness,Israel_India
Israel,India,1946,931,A,Israel,False,,1015,Israel,2.0902255639097747,terminal_illness,Israel_India
Israel,India,880,1568,B,India,False,,688,India,1.7818181818181817,terminal_illness,Israel_India
India,Israel,1845,1878,A,India,True,India,33,Israel,1.0178861788617886,terminal_illness,Israel_India
India,Israel,1179,1448,B,Israel,False,,269,Israel,1.2281594571670909,terminal_illness,Israel_India
Israel,India,900,884,A,Israel,False,,16,Israel,1.0180995475113122,terminal_illness,Israel_India
India,Israel,68,1426,B,Israel,False,,1358,Israel,20.970588235294116,terminal_illness,Israel_India
