country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Mexico,Israel,1015,978,A,Mexico,False,,37,Mexico,1.0378323108384457,terminal_illness,Israel_Mexico
Israel,Mexico,729,579,A,Israel,False,,150,Israel,1.2590673575129534,terminal_illness,Israel_Mexico
Mexico,Israel,260,864,B,Israel,False,,604,Israel,3.3230769230769233,terminal_illness,Israel_Mexico
Mexico,Israel,921,1800,B,Israel,False,,879,Israel,1.9543973941368078,terminal_illness,Israel_Mexico
Mexico,Israel,304,1508,B,Israel,False,,1204,Israel,4.9605263157894735,terminal_illness,Israel_Mexico
Mexico,Israel,1732,1399,A,Mexico,False,,333,Mexico,1.2380271622587562,terminal_illness,Israel_Mexico
Israel,Mexico,916,1300,B,Mexico,False,,384,Mexico,1.4192139737991267,terminal_illness,Israel_Mexico
Mexico,Israel,732,214,A,Mexico,False,,518,Mexico,3.4205607476635516,terminal_illness,Israel_Mexico
Mexico,Israel,1883,1453,A,Mexico,False,,430,Mexico,1.2959394356503786,terminal_illness,Israel_Mexico
Mexico,Israel,176,257,B,Israel,False,,81,Israel,1.4602272727272727,terminal_illness,Israel_Mexico
Mexico,Israel,461,1542,B,Israel,False,,1081,Israel,3.3449023861171367,terminal_illness,Israel_Mexico
Mexico,Israel,598,1292,B,Israel,False,,694,Israel,2.160535117056856,terminal_illness,Israel_Mexico
Mexico,Israel,1667,1913,B,Israel,False,,246,Israel,1.1475704859028195,terminal_illness,Israel_Mexico
Mexico,Israel,886,203,A,Mexico,False,,683,Mexico,4.364532019704433,terminal_illness,Israel_Mexico
Israel,Mexico,1677,921,A,Israel,False,,756,Israel,1.8208469055374592,terminal_illness,Israel_Mexico
Israel,Mexico,67,361,B,Mexico,False,,294,Mexico,5.388059701492537,terminal_illness,Israel_Mexico
Mexico,Israel,1689,1843,B,Israel,False,,154,Israel,1.0911782119597395,terminal_illness,Israel_Mexico
Mexico,Israel,1242,1121,A,Mexico,False,,121,Mexico,1.1079393398751116,terminal_illness,Israel_Mexico
Mexico,Israel,1940,1122,A,Mexico,False,,818,Mexico,1.7290552584670231,terminal_illness,Israel_Mexico
Mexico,Israel,121,446,B,Israel,False,,325,Israel,3.6859504132231407,terminal_illness,Israel_Mexico
Mexico,Israel,505,1641,B,Israel,False,,1136,Israel,3.2495049504950497,terminal_illness,Israel_Mexico
Israel,Mexico,154,1788,B,Mexico,False,,1634,Mexico,11.61038961038961,terminal_illness,Israel_Mexico
Israel,Mexico,1075,978,A,Israel,False,,97,Israel,1.0991820040899796,terminal_illness,Israel_Mexico
Israel,Mexico,1721,635,A,Israel,False,,1086,Israel,2.710236220472441,terminal_illness,Israel_Mexico
Israel,Mexico,546,1511,B,Mexico,False,,965,Mexico,2.7673992673992673,terminal_illness,Israel_Mexico
Mexico,Israel,1897,204,A,Mexico,False,,1693,Mexico,9.299019607843137,terminal_illness,Israel_Mexico
Mexico,Israel,916,1298,B,Israel,False,,382,Israel,1.4170305676855894,terminal_illness,Israel_Mexico
Mexico,Israel,1119,1300,B,Israel,False,,181,Israel,1.161751563896336,terminal_illness,Israel_Mexico
Israel,Mexico,598,414,A,Israel,False,,184,Israel,1.4444444444444444,terminal_illness,Israel_Mexico
Israel,Mexico,684,33,A,Israel,False,,651,Israel,20.727272727272727,terminal_illness,Israel_Mexico
Israel,Mexico,1485,664,A,Israel,False,,821,Israel,2.23644578313253,terminal_illness,Israel_Mexico
Mexico,Israel,1105,654,A,Mexico,False,,451,Mexico,1.6896024464831805,terminal_illness,Israel_Mexico
Israel,Mexico,373,1118,B,Mexico,False,,745,Mexico,2.997319034852547,terminal_illness,Israel_Mexico
Mexico,Israel,389,1087,B,Israel,False,,698,Israel,2.7943444730077123,terminal_illness,Israel_Mexico
Israel,Mexico,1656,1738,B,Mexico,False,,82,Mexico,1.0495169082125604,terminal_illness,Israel_Mexico
Mexico,Israel,701,1325,B,Israel,False,,624,Israel,1.890156918687589,terminal_illness,Israel_Mexico
Israel,Mexico,35,306,B,Mexico,False,,271,Mexico,8.742857142857142,terminal_illness,Israel_Mexico
Mexico,Israel,1786,109,A,Mexico,False,,1677,Mexico,16.38532110091743,terminal_illness,Israel_Mexico
Israel,Mexico,1470,1047,A,Israel,False,,423,Israel,1.4040114613180517,terminal_illness,Israel_Mexico
Israel,Mexico,1440,438,A,Israel,False,,1002,Israel,3.287671232876712,terminal_illness,Israel_Mexico
Mexico,Israel,692,1973,B,Israel,False,,1281,Israel,2.851156069364162,terminal_illness,Israel_Mexico
Mexico,Israel,1698,1076,A,Mexico,False,,622,Mexico,1.5780669144981412,terminal_illness,Israel_Mexico
Israel,Mexico,1631,586,A,Israel,False,,1045,Israel,2.7832764505119454,terminal_illness,Israel_Mexico
Israel,Mexico,639,1565,B,Mexico,False,,926,Mexico,2.4491392801251957,terminal_illness,Israel_Mexico
Mexico,Israel,508,202,A,Mexico,False,,306,Mexico,2.514851485148515,terminal_illness,Israel_Mexico
Israel,Mexico,897,1964,B,Mexico,False,,1067,Mexico,2.189520624303233,terminal_illness,Israel_Mexico
Mexico,Israel,1051,1440,B,Israel,False,,389,Israel,1.3701236917221693,terminal_illness,Israel_Mexico
Mexico,Israel,791,802,B,Israel,False,,11,Israel,1.013906447534766,terminal_illness,Israel_Mexico
Israel,Mexico,913,1221,B,Mexico,False,,308,Mexico,1.3373493975903614,terminal_illness,Israel_Mexico
Israel,Mexico,1206,855,A,Israel,False,,351,Israel,1.4105263157894736,terminal_illness,Israel_Mexico
