country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Israel,667,983,A,Philippines,True,Philippines,316,Israel,1.4737631184407796,terminal_illness,Israel_Philippines
Philippines,Israel,612,1116,B,Israel,False,,504,Israel,1.8235294117647058,terminal_illness,Israel_Philippines
Israel,Philippines,489,1433,B,Philippines,False,,944,Philippines,2.930470347648262,terminal_illness,Israel_Philippines
Israel,Philippines,203,643,B,Philippines,False,,440,Philippines,3.167487684729064,terminal_illness,Israel_Philippines
Israel,Philippines,1644,362,A,Israel,False,,1282,Israel,4.541436464088398,terminal_illness,Israel_Philippines
Israel,Philippines,1807,135,A,Israel,False,,1672,Israel,13.385185185185184,terminal_illness,Israel_Philippines
Israel,Philippines,1348,1703,B,Philippines,False,,355,Philippines,1.263353115727003,terminal_illness,Israel_Philippines
Philippines,Israel,925,1293,A,Philippines,True,Philippines,368,Israel,1.3978378378378378,terminal_illness,Israel_Philippines
Israel,Philippines,537,1972,B,Philippines,False,,1435,Philippines,3.6722532588454375,terminal_illness,Israel_Philippines
Philippines,Israel,1683,1000,A,Philippines,False,,683,Philippines,1.683,terminal_illness,Israel_Philippines
Philippines,Israel,167,1356,B,Israel,False,,1189,Israel,8.119760479041917,terminal_illness,Israel_Philippines
Philippines,Israel,1371,1449,A,Philippines,True,Philippines,78,Israel,1.0568927789934355,terminal_illness,Israel_Philippines
Israel,Philippines,1381,1210,A,Israel,False,,171,Israel,1.1413223140495867,terminal_illness,Israel_Philippines
Philippines,Israel,1451,1662,B,Israel,False,,211,Israel,1.1454169538249483,terminal_illness,Israel_Philippines
Philippines,Israel,682,1546,B,Israel,False,,864,Israel,2.2668621700879767,terminal_illness,Israel_Philippines
Israel,Philippines,113,397,B,Philippines,False,,284,Philippines,3.5132743362831858,terminal_illness,Israel_Philippines
Philippines,Israel,1694,1987,A,Philippines,True,Philippines,293,Israel,1.1729634002361276,terminal_illness,Israel_Philippines
Israel,Philippines,1463,910,A,Israel,False,,553,Israel,1.6076923076923078,terminal_illness,Israel_Philippines
Israel,Philippines,1579,1271,A,Israel,False,,308,Israel,1.2423288749016523,terminal_illness,Israel_Philippines
Israel,Philippines,1992,29,A,Israel,False,,1963,Israel,68.6896551724138,terminal_illness,Israel_Philippines
Israel,Philippines,520,1062,B,Philippines,False,,542,Philippines,2.042307692307692,terminal_illness,Israel_Philippines
Israel,Philippines,251,117,A,Israel,False,,134,Israel,2.1452991452991452,terminal_illness,Israel_Philippines
Israel,Philippines,205,1647,B,Philippines,False,,1442,Philippines,8.034146341463414,terminal_illness,Israel_Philippines
Israel,Philippines,1120,29,A,Israel,False,,1091,Israel,38.62068965517241,terminal_illness,Israel_Philippines
Philippines,Israel,1098,1168,A,Philippines,True,Philippines,70,Israel,1.0637522768670309,terminal_illness,Israel_Philippines
Philippines,Israel,1337,1339,A,Philippines,True,Philippines,2,Israel,1.0014958863126402,terminal_illness,Israel_Philippines
Philippines,Israel,200,965,B,Israel,False,,765,Israel,4.825,terminal_illness,Israel_Philippines
Israel,Philippines,1790,1095,A,Israel,False,,695,Israel,1.634703196347032,terminal_illness,Israel_Philippines
Israel,Philippines,408,808,B,Philippines,False,,400,Philippines,1.9803921568627452,terminal_illness,Israel_Philippines
Philippines,Israel,357,15,A,Philippines,False,,342,Philippines,23.8,terminal_illness,Israel_Philippines
Philippines,Israel,1054,1519,B,Israel,False,,465,Israel,1.4411764705882353,terminal_illness,Israel_Philippines
Israel,Philippines,780,210,A,Israel,False,,570,Israel,3.7142857142857144,terminal_illness,Israel_Philippines
Israel,Philippines,1851,946,B,Philippines,True,Philippines,905,Israel,1.9566596194503172,terminal_illness,Israel_Philippines
