country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,China,386,980,A,Canada,True,Canada,594,China,2.538860103626943,terminal_illness,Canada_China
Canada,China,640,1662,A,Canada,True,Canada,1022,China,2.596875,terminal_illness,Canada_China
Canada,China,1826,100,A,Canada,False,,1726,Canada,18.26,terminal_illness,Canada_China
China,Canada,473,584,A,China,True,China,111,Canada,1.2346723044397463,terminal_illness,Canada_China
China,Canada,218,762,A,China,True,China,544,Canada,3.4954128440366974,terminal_illness,Canada_China
China,Canada,1006,686,A,China,False,,320,China,1.466472303206997,terminal_illness,Canada_China
Canada,China,1266,1376,A,Canada,True,Canada,110,China,1.0868878357030016,terminal_illness,Canada_China
Canada,China,405,117,A,Canada,False,,288,Canada,3.4615384615384617,terminal_illness,Canada_China
China,Canada,431,871,A,China,True,China,440,Canada,2.0208816705336425,terminal_illness,Canada_China
Canada,China,1084,48,A,Canada,False,,1036,Canada,22.583333333333332,terminal_illness,Canada_China
Canada,China,519,1706,A,Canada,True,Canada,1187,China,3.2870905587668595,terminal_illness,Canada_China
China,Canada,119,1314,A,China,True,China,1195,Canada,11.042016806722689,terminal_illness,Canada_China
Canada,China,1520,1799,A,Canada,True,Canada,279,China,1.1835526315789473,terminal_illness,Canada_China
China,Canada,577,606,A,China,True,China,29,Canada,1.050259965337955,terminal_illness,Canada_China
China,Canada,833,1522,A,China,True,China,689,Canada,1.8271308523409364,terminal_illness,Canada_China
China,Canada,1377,176,A,China,False,,1201,China,7.823863636363637,terminal_illness,Canada_China
China,Canada,57,1831,A,China,True,China,1774,Canada,32.12280701754386,terminal_illness,Canada_China
China,Canada,570,1812,A,China,True,China,1242,Canada,3.1789473684210527,terminal_illness,Canada_China
China,Canada,1668,1743,A,China,True,China,75,Canada,1.0449640287769784,terminal_illness,Canada_China
Canada,China,1606,890,A,Canada,False,,716,Canada,1.804494382022472,terminal_illness,Canada_China
Canada,China,1959,717,A,Canada,False,,1242,Canada,2.7322175732217575,terminal_illness,Canada_China
Canada,China,293,1113,A,Canada,True,Canada,820,China,3.7986348122866893,terminal_illness,Canada_China
China,Canada,1679,514,A,China,False,,1165,China,3.2665369649805447,terminal_illness,Canada_China
China,Canada,1751,1435,A,China,False,,316,China,1.2202090592334496,terminal_illness,Canada_China
Canada,China,936,1778,A,Canada,True,Canada,842,China,1.8995726495726495,terminal_illness,Canada_China
Canada,China,547,855,A,Canada,True,Canada,308,China,1.563071297989031,terminal_illness,Canada_China
China,Canada,834,99,A,China,False,,735,China,8.424242424242424,terminal_illness,Canada_China
China,Canada,477,641,A,China,True,China,164,Canada,1.3438155136268344,terminal_illness,Canada_China
China,Canada,539,981,A,China,True,China,442,Canada,1.8200371057513915,terminal_illness,Canada_China
China,Canada,153,73,A,China,False,,80,China,2.095890410958904,terminal_illness,Canada_China
Canada,China,1509,683,A,Canada,False,,826,Canada,2.2093704245973647,terminal_illness,Canada_China
Canada,China,246,1571,A,Canada,True,Canada,1325,China,6.3861788617886175,terminal_illness,Canada_China
China,Canada,242,1348,A,China,True,China,1106,Canada,5.570247933884297,terminal_illness,Canada_China
China,Canada,1508,1598,A,China,True,China,90,Canada,1.0596816976127321,terminal_illness,Canada_China
Canada,China,1222,39,A,Canada,False,,1183,Canada,31.333333333333332,terminal_illness,Canada_China
China,Canada,1601,578,A,China,False,,1023,China,2.7698961937716264,terminal_illness,Canada_China
Canada,China,1996,1904,A,Canada,False,,92,Canada,1.0483193277310925,terminal_illness,Canada_China
Canada,China,1143,597,A,Canada,False,,546,Canada,1.914572864321608,terminal_illness,Canada_China
China,Canada,975,687,A,China,False,,288,China,1.4192139737991267,terminal_illness,Canada_China
Canada,China,1806,735,A,Canada,False,,1071,Canada,2.4571428571428573,terminal_illness,Canada_China
Canada,China,1348,599,A,Canada,False,,749,Canada,2.2504173622704506,terminal_illness,Canada_China
Canada,China,1289,236,A,Canada,False,,1053,Canada,5.461864406779661,terminal_illness,Canada_China
China,Canada,366,169,A,China,False,,197,China,2.165680473372781,terminal_illness,Canada_China
China,Canada,1898,1432,A,China,False,,466,China,1.3254189944134078,terminal_illness,Canada_China
Canada,China,1680,1021,A,Canada,False,,659,Canada,1.6454456415279137,terminal_illness,Canada_China
China,Canada,1302,339,A,China,False,,963,China,3.84070796460177,terminal_illness,Canada_China
Canada,China,1986,1908,A,Canada,False,,78,Canada,1.0408805031446542,terminal_illness,Canada_China
China,Canada,1766,272,A,China,False,,1494,China,6.492647058823529,terminal_illness,Canada_China
Canada,China,400,1177,A,Canada,True,Canada,777,China,2.9425,terminal_illness,Canada_China
China,Canada,383,674,A,China,True,China,291,Canada,1.7597911227154046,terminal_illness,Canada_China
