country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Germany,Canada,1783,1440,A,Germany,False,,343,Germany,1.2381944444444444,terminal_illness,Canada_Germany
Germany,Canada,728,1245,A,Germany,True,Germany,517,Canada,1.710164835164835,terminal_illness,Canada_Germany
Canada,Germany,209,149,A,Canada,False,,60,Canada,1.4026845637583893,terminal_illness,Canada_Germany
Canada,Germany,1123,1294,A,Canada,True,Canada,171,Germany,1.1522707034728406,terminal_illness,Canada_Germany
Canada,Germany,1617,532,A,Canada,False,,1085,Canada,3.039473684210526,terminal_illness,Canada_Germany
Canada,Germany,1075,576,A,Canada,False,,499,Canada,1.8663194444444444,terminal_illness,Canada_Germany
Germany,Canada,868,339,A,Germany,False,,529,Germany,2.56047197640118,terminal_illness,Canada_Germany
Canada,Germany,1908,330,A,Canada,False,,1578,Canada,5.781818181818182,terminal_illness,Canada_Germany
Canada,Germany,261,203,A,Canada,False,,58,Canada,1.2857142857142858,terminal_illness,Canada_Germany
Germany,Canada,290,1921,A,Germany,True,Germany,1631,Canada,6.624137931034483,terminal_illness,Canada_Germany
Germany,Canada,591,1401,B,Canada,False,,810,Canada,2.3705583756345177,terminal_illness,Canada_Germany
Canada,Germany,1897,495,A,Canada,False,,1402,Canada,3.8323232323232324,terminal_illness,Canada_Germany
Germany,Canada,1493,201,A,Germany,False,,1292,Germany,7.4278606965174125,terminal_illness,Canada_Germany
Canada,Germany,370,1850,A,Canada,True,Canada,1480,Germany,5.0,terminal_illness,Canada_Germany
Canada,Germany,1479,311,A,Canada,False,,1168,Canada,4.755627009646302,terminal_illness,Canada_Germany
Germany,Canada,96,206,A,Germany,True,Germany,110,Canada,2.1458333333333335,terminal_illness,Canada_Germany
Canada,Germany,436,1988,B,Germany,False,,1552,Germany,4.559633027522936,terminal_illness,Canada_Germany
Canada,Germany,1020,1193,A,Canada,True,Canada,173,Germany,1.169607843137255,terminal_illness,Canada_Germany
Canada,Germany,1761,38,A,Canada,False,,1723,Canada,46.3421052631579,terminal_illness,Canada_Germany
Germany,Canada,430,425,A,Germany,False,,5,Germany,1.011764705882353,terminal_illness,Canada_Germany
Canada,Germany,458,1625,A,Canada,True,Canada,1167,Germany,3.5480349344978164,terminal_illness,Canada_Germany
Germany,Canada,835,1807,A,Germany,True,Germany,972,Canada,2.1640718562874253,terminal_illness,Canada_Germany
Germany,Canada,1869,491,A,Germany,False,,1378,Germany,3.8065173116089612,terminal_illness,Canada_Germany
Germany,Canada,1201,702,A,Germany,False,,499,Germany,1.710826210826211,terminal_illness,Canada_Germany
Germany,Canada,807,764,A,Germany,False,,43,Germany,1.056282722513089,terminal_illness,Canada_Germany
Germany,Canada,1389,73,A,Germany,False,,1316,Germany,19.027397260273972,terminal_illness,Canada_Germany
Germany,Canada,1509,644,A,Germany,False,,865,Germany,2.343167701863354,terminal_illness,Canada_Germany
Germany,Canada,1065,1775,A,Germany,True,Germany,710,Canada,1.6666666666666667,terminal_illness,Canada_Germany
Canada,Germany,645,1510,A,Canada,True,Canada,865,Germany,2.3410852713178296,terminal_illness,Canada_Germany
Germany,Canada,44,1999,B,Canada,False,,1955,Canada,45.43181818181818,terminal_illness,Canada_Germany
Germany,Canada,640,429,A,Germany,False,,211,Germany,1.491841491841492,terminal_illness,Canada_Germany
Canada,Germany,1411,1483,A,Canada,True,Canada,72,Germany,1.0510276399716514,terminal_illness,Canada_Germany
Germany,Canada,411,630,A,Germany,True,Germany,219,Canada,1.532846715328467,terminal_illness,Canada_Germany
Germany,Canada,927,1446,A,Germany,True,Germany,519,Canada,1.5598705501618122,terminal_illness,Canada_Germany
Germany,Canada,1725,1244,A,Germany,False,,481,Germany,1.3866559485530547,terminal_illness,Canada_Germany
Germany,Canada,1476,984,A,Germany,False,,492,Germany,1.5,terminal_illness,Canada_Germany
Germany,Canada,932,1795,A,Germany,True,Germany,863,Canada,1.9259656652360515,terminal_illness,Canada_Germany
Germany,Canada,1886,395,A,Germany,False,,1491,Germany,4.774683544303797,terminal_illness,Canada_Germany
Canada,Germany,1956,449,A,Canada,False,,1507,Canada,4.356347438752784,terminal_illness,Canada_Germany
Canada,Germany,440,328,A,Canada,False,,112,Canada,1.3414634146341464,terminal_illness,Canada_Germany
Germany,Canada,601,513,A,Germany,False,,88,Germany,1.1715399610136452,terminal_illness,Canada_Germany
Canada,Germany,278,1544,A,Canada,True,Canada,1266,Germany,5.553956834532374,terminal_illness,Canada_Germany
Germany,Canada,1320,544,A,Germany,False,,776,Germany,2.426470588235294,terminal_illness,Canada_Germany
Germany,Canada,603,1748,A,Germany,True,Germany,1145,Canada,2.898839137645108,terminal_illness,Canada_Germany
Germany,Canada,467,1699,B,Canada,False,,1232,Canada,3.6381156316916488,terminal_illness,Canada_Germany
Canada,Germany,1258,1491,A,Canada,True,Canada,233,Germany,1.185214626391097,terminal_illness,Canada_Germany
Canada,Germany,1756,1992,A,Canada,True,Canada,236,Germany,1.1343963553530751,terminal_illness,Canada_Germany
Germany,Canada,1069,423,A,Germany,False,,646,Germany,2.5271867612293146,terminal_illness,Canada_Germany
Germany,Canada,72,1982,B,Canada,False,,1910,Canada,27.52777777777778,terminal_illness,Canada_Germany
Canada,Germany,651,505,A,Canada,False,,146,Canada,1.2891089108910891,terminal_illness,Canada_Germany
