country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,Mexico,837,773,A,Canada,False,,64,Canada,1.0827943078913325,terminal_illness,Canada_Mexico
Mexico,Canada,738,284,A,Mexico,False,,454,Mexico,2.5985915492957745,terminal_illness,Canada_Mexico
Mexico,Canada,1183,694,A,Mexico,False,,489,Mexico,1.7046109510086456,terminal_illness,Canada_Mexico
Canada,Mexico,1786,1944,A,Canada,True,Canada,158,Mexico,1.0884658454647256,terminal_illness,Canada_Mexico
Canada,Mexico,1751,1202,A,Canada,False,,549,Canada,1.456738768718802,terminal_illness,Canada_Mexico
Canada,Mexico,969,838,A,Canada,False,,131,Canada,1.1563245823389021,terminal_illness,Canada_Mexico
Canada,Mexico,888,1743,A,Canada,True,Canada,855,Mexico,1.962837837837838,terminal_illness,Canada_Mexico
Canada,Mexico,1864,1960,A,Canada,True,Canada,96,Mexico,1.0515021459227467,terminal_illness,Canada_Mexico
Mexico,Canada,237,672,A,Mexico,True,Mexico,435,Canada,2.8354430379746836,terminal_illness,Canada_Mexico
Mexico,Canada,1119,1338,A,Mexico,True,Mexico,219,Canada,1.195710455764075,terminal_illness,Canada_Mexico
Mexico,Canada,753,1096,A,Mexico,True,Mexico,343,Canada,1.455511288180611,terminal_illness,Canada_Mexico
Mexico,Canada,149,482,A,Mexico,True,Mexico,333,Canada,3.2348993288590604,terminal_illness,Canada_Mexico
Mexico,Canada,1615,149,A,Mexico,False,,1466,Mexico,10.838926174496644,terminal_illness,Canada_Mexico
Canada,Mexico,526,510,A,Canada,False,,16,Canada,1.031372549019608,terminal_illness,Canada_Mexico
Mexico,Canada,372,1499,A,Mexico,True,Mexico,1127,Canada,4.029569892473118,terminal_illness,Canada_Mexico
Mexico,Canada,1891,984,A,Mexico,False,,907,Mexico,1.9217479674796747,terminal_illness,Canada_Mexico
Canada,Mexico,958,257,A,Canada,False,,701,Canada,3.727626459143969,terminal_illness,Canada_Mexico
Mexico,Canada,1756,687,A,Mexico,False,,1069,Mexico,2.5560407569141192,terminal_illness,Canada_Mexico
Canada,Mexico,1294,1046,A,Canada,False,,248,Canada,1.2370936902485659,terminal_illness,Canada_Mexico
Canada,Mexico,1173,443,A,Canada,False,,730,Canada,2.6478555304740405,terminal_illness,Canada_Mexico
Mexico,Canada,1864,852,A,Mexico,False,,1012,Mexico,2.187793427230047,terminal_illness,Canada_Mexico
Mexico,Canada,1092,909,A,Mexico,False,,183,Mexico,1.2013201320132014,terminal_illness,Canada_Mexico
Mexico,Canada,586,638,A,Mexico,True,Mexico,52,Canada,1.0887372013651877,terminal_illness,Canada_Mexico
Mexico,Canada,1252,470,A,Mexico,False,,782,Mexico,2.6638297872340426,terminal_illness,Canada_Mexico
Canada,Mexico,1751,484,A,Canada,False,,1267,Canada,3.6177685950413223,terminal_illness,Canada_Mexico
Canada,Mexico,73,402,A,Canada,True,Canada,329,Mexico,5.506849315068493,terminal_illness,Canada_Mexico
Mexico,Canada,753,524,A,Mexico,False,,229,Mexico,1.4370229007633588,terminal_illness,Canada_Mexico
Mexico,Canada,1994,1552,A,Mexico,False,,442,Mexico,1.2847938144329898,terminal_illness,Canada_Mexico
Mexico,Canada,899,1607,A,Mexico,True,Mexico,708,Canada,1.7875417130144604,terminal_illness,Canada_Mexico
Mexico,Canada,828,420,A,Mexico,False,,408,Mexico,1.9714285714285715,terminal_illness,Canada_Mexico
Mexico,Canada,921,1846,A,Mexico,True,Mexico,925,Canada,2.004343105320304,terminal_illness,Canada_Mexico
Mexico,Canada,86,1049,A,Mexico,True,Mexico,963,Canada,12.19767441860465,terminal_illness,Canada_Mexico
Mexico,Canada,501,189,A,Mexico,False,,312,Mexico,2.6507936507936507,terminal_illness,Canada_Mexico
Mexico,Canada,1756,1956,A,Mexico,True,Mexico,200,Canada,1.1138952164009113,terminal_illness,Canada_Mexico
Canada,Mexico,1069,333,A,Canada,False,,736,Canada,3.21021021021021,terminal_illness,Canada_Mexico
Canada,Mexico,902,857,A,Canada,False,,45,Canada,1.0525087514585765,terminal_illness,Canada_Mexico
Mexico,Canada,576,602,A,Mexico,True,Mexico,26,Canada,1.0451388888888888,terminal_illness,Canada_Mexico
Canada,Mexico,1820,1379,A,Canada,False,,441,Canada,1.3197969543147208,terminal_illness,Canada_Mexico
Mexico,Canada,1974,417,A,Mexico,False,,1557,Mexico,4.733812949640288,terminal_illness,Canada_Mexico
Mexico,Canada,1963,1951,A,Mexico,False,,12,Mexico,1.0061506919528447,terminal_illness,Canada_Mexico
Canada,Mexico,1824,1050,A,Canada,False,,774,Canada,1.737142857142857,terminal_illness,Canada_Mexico
Canada,Mexico,325,1898,A,Canada,True,Canada,1573,Mexico,5.84,terminal_illness,Canada_Mexico
Canada,Mexico,772,1191,A,Canada,True,Canada,419,Mexico,1.5427461139896372,terminal_illness,Canada_Mexico
Canada,Mexico,1909,1064,A,Canada,False,,845,Canada,1.794172932330827,terminal_illness,Canada_Mexico
Mexico,Canada,231,484,A,Mexico,True,Mexico,253,Canada,2.0952380952380953,terminal_illness,Canada_Mexico
