country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Russia,Canada,82,427,A,Russia,True,Russia,345,Canada,5.2073170731707314,terminal_illness,Canada_Russia
Canada,Russia,1586,1092,A,Canada,False,,494,Canada,1.4523809523809523,terminal_illness,Canada_Russia
Canada,Russia,1621,285,A,Canada,False,,1336,Canada,5.687719298245614,terminal_illness,Canada_Russia
Russia,Canada,1627,1549,A,Russia,False,,78,Russia,1.0503550677856681,terminal_illness,Canada_Russia
Russia,Canada,1542,1933,A,Russia,True,Russia,391,Canada,1.2535667963683528,terminal_illness,Canada_Russia
Canada,Russia,591,1418,A,Canada,True,Canada,827,Russia,2.3993231810490694,terminal_illness,Canada_Russia
Russia,Canada,1696,326,A,Russia,False,,1370,Russia,5.2024539877300615,terminal_illness,Canada_Russia
Russia,Canada,1696,943,A,Russia,False,,753,Russia,1.7985153764581123,terminal_illness,Canada_Russia
Russia,Canada,882,892,A,Russia,True,Russia,10,Canada,1.0113378684807257,terminal_illness,Canada_Russia
Russia,Canada,890,980,A,Russia,True,Russia,90,Canada,1.101123595505618,terminal_illness,Canada_Russia
Canada,Russia,639,1790,A,Canada,True,Canada,1151,Russia,2.8012519561815337,terminal_illness,Canada_Russia
Canada,Russia,299,534,I'm,neither,False,,235,Russia,1.785953177257525,terminal_illness,Canada_Russia
Canada,Russia,263,1672,A,Canada,True,Canada,1409,Russia,6.357414448669202,terminal_illness,Canada_Russia
Canada,Russia,1829,579,A,Canada,False,,1250,Canada,3.158894645941278,terminal_illness,Canada_Russia
Canada,Russia,1446,787,A,Canada,False,,659,Canada,1.8373570520965692,terminal_illness,Canada_Russia
Russia,Canada,1219,507,A,Russia,False,,712,Russia,2.4043392504930967,terminal_illness,Canada_Russia
Canada,Russia,177,831,A,Canada,True,Canada,654,Russia,4.694915254237288,terminal_illness,Canada_Russia
Canada,Russia,1639,855,A,Canada,False,,784,Canada,1.9169590643274854,terminal_illness,Canada_Russia
Russia,Canada,18,99,A,Russia,True,Russia,81,Canada,5.5,terminal_illness,Canada_Russia
Russia,Canada,281,1613,A,Russia,True,Russia,1332,Canada,5.740213523131673,terminal_illness,Canada_Russia
Russia,Canada,956,1853,A,Russia,True,Russia,897,Canada,1.9382845188284519,terminal_illness,Canada_Russia
Russia,Canada,1463,1990,A,Russia,True,Russia,527,Canada,1.3602187286397813,terminal_illness,Canada_Russia
Canada,Russia,311,1779,A,Canada,True,Canada,1468,Russia,5.720257234726688,terminal_illness,Canada_Russia
Canada,Russia,1332,282,A,Canada,False,,1050,Canada,4.723404255319149,terminal_illness,Canada_Russia
Canada,Russia,86,1999,A,Canada,True,Canada,1913,Russia,23.24418604651163,terminal_illness,Canada_Russia
Canada,Russia,1316,1752,A,Canada,True,Canada,436,Russia,1.331306990881459,terminal_illness,Canada_Russia
Russia,Canada,1931,250,A,Russia,False,,1681,Russia,7.724,terminal_illness,Canada_Russia
Russia,Canada,839,1706,A,Russia,True,Russia,867,Canada,2.033373063170441,terminal_illness,Canada_Russia
Russia,Canada,1359,1177,A,Russia,False,,182,Russia,1.1546304163126593,terminal_illness,Canada_Russia
Russia,Canada,1612,1869,A,Russia,True,Russia,257,Canada,1.1594292803970223,terminal_illness,Canada_Russia
Canada,Russia,1628,1997,A,Canada,True,Canada,369,Russia,1.2266584766584767,terminal_illness,Canada_Russia
Russia,Canada,105,601,A,Russia,True,Russia,496,Canada,5.723809523809524,terminal_illness,Canada_Russia
Russia,Canada,23,71,A,Russia,True,Russia,48,Canada,3.0869565217391304,terminal_illness,Canada_Russia
Canada,Russia,920,1355,A,Canada,True,Canada,435,Russia,1.4728260869565217,terminal_illness,Canada_Russia
Russia,Canada,1241,1142,A,Russia,False,,99,Russia,1.0866900175131349,terminal_illness,Canada_Russia
Russia,Canada,1458,935,A,Russia,False,,523,Russia,1.5593582887700534,terminal_illness,Canada_Russia
Russia,Canada,815,468,A,Russia,False,,347,Russia,1.7414529914529915,terminal_illness,Canada_Russia
Canada,Russia,349,1840,A,Canada,True,Canada,1491,Russia,5.2722063037249285,terminal_illness,Canada_Russia
Russia,Canada,307,1380,A,Russia,True,Russia,1073,Canada,4.495114006514658,terminal_illness,Canada_Russia
Russia,Canada,1943,1772,A,Russia,False,,171,Russia,1.0965011286681716,terminal_illness,Canada_Russia
Canada,Russia,1017,1852,A,Canada,True,Canada,835,Russia,1.8210422812192724,terminal_illness,Canada_Russia
Russia,Canada,983,292,A,Russia,False,,691,Russia,3.3664383561643834,terminal_illness,Canada_Russia
Russia,Canada,1411,265,A,Russia,False,,1146,Russia,5.324528301886793,terminal_illness,Canada_Russia
Russia,Canada,700,662,A,Russia,False,,38,Russia,1.0574018126888218,terminal_illness,Canada_Russia
Canada,Russia,1341,299,A,Canada,False,,1042,Canada,4.48494983277592,terminal_illness,Canada_Russia
Canada,Russia,1414,1497,A,Canada,True,Canada,83,Russia,1.0586987270155588,terminal_illness,Canada_Russia
Canada,Russia,1253,801,A,Canada,False,,452,Canada,1.564294631710362,terminal_illness,Canada_Russia
Canada,Russia,1244,1154,A,Canada,False,,90,Canada,1.0779896013864818,terminal_illness,Canada_Russia
Russia,Canada,821,814,A,Russia,False,,7,Russia,1.0085995085995085,terminal_illness,Canada_Russia
Canada,Russia,1825,771,A,Canada,False,,1054,Canada,2.3670557717250325,terminal_illness,Canada_Russia
