country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,United Kingdom,1000,855,A,Canada,False,,145,Canada,1.1695906432748537,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,264,528,A,Canada,True,Canada,264,United Kingdom,2.0,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1549,1048,A,United Kingdom,False,,501,United Kingdom,1.4780534351145038,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1506,1733,A,Canada,True,Canada,227,United Kingdom,1.150730411686587,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1835,396,A,United Kingdom,False,,1439,United Kingdom,4.633838383838384,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1517,501,A,Canada,False,,1016,Canada,3.027944111776447,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1390,513,A,Canada,False,,877,Canada,2.709551656920078,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1550,1558,A,United Kingdom,True,United Kingdom,8,Canada,1.0051612903225806,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1609,1308,A,United Kingdom,False,,301,United Kingdom,1.2301223241590213,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1624,495,A,Canada,False,,1129,Canada,3.2808080808080806,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1056,243,A,United Kingdom,False,,813,United Kingdom,4.345679012345679,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,680,1625,A,United Kingdom,True,United Kingdom,945,Canada,2.389705882352941,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1282,1559,A,Canada,True,Canada,277,United Kingdom,1.21606864274571,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1746,1439,A,United Kingdom,False,,307,United Kingdom,1.213342599027102,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,314,1676,A,Canada,True,Canada,1362,United Kingdom,5.337579617834395,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,790,21,A,United Kingdom,False,,769,United Kingdom,37.61904761904762,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,622,1760,A,United Kingdom,True,United Kingdom,1138,Canada,2.829581993569132,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,366,814,A,United Kingdom,True,United Kingdom,448,Canada,2.2240437158469946,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,797,872,A,United Kingdom,True,United Kingdom,75,Canada,1.0941028858218318,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1932,149,A,Canada,False,,1783,Canada,12.966442953020135,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1988,983,A,Canada,False,,1005,Canada,2.022380467955239,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1367,1932,A,United Kingdom,True,United Kingdom,565,Canada,1.4133138258961229,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1227,1705,A,United Kingdom,True,United Kingdom,478,Canada,1.389568052159739,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1094,125,A,United Kingdom,False,,969,United Kingdom,8.752,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1828,96,A,Canada,False,,1732,Canada,19.041666666666668,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1309,904,A,Canada,False,,405,Canada,1.448008849557522,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1328,1020,A,United Kingdom,False,,308,United Kingdom,1.3019607843137255,terminal_illness,Canada_United Kingdom
United Kingdom,Canada,1489,916,A,United Kingdom,False,,573,United Kingdom,1.6255458515283843,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,1085,198,A,Canada,False,,887,Canada,5.47979797979798,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,43,1088,A,Canada,True,Canada,1045,United Kingdom,25.302325581395348,terminal_illness,Canada_United Kingdom
Canada,United Kingdom,69,873,A,Canada,True,Canada,804,United Kingdom,12.652173913043478,terminal_illness,Canada_United Kingdom
