country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Iran,Philippines,1631,1859,I'm,neither,False,,228,Philippines,1.1397915389331699,terminal_illness,Iran_Philippines
Iran,Philippines,1935,68,A,Iran,False,,1867,Iran,28.455882352941178,terminal_illness,Iran_Philippines
Iran,Philippines,1710,1970,A,Iran,True,Iran,260,Philippines,1.152046783625731,terminal_illness,Iran_Philippines
Iran,Philippines,345,1700,A,Iran,True,Iran,1355,Philippines,4.927536231884058,terminal_illness,Iran_Philippines
Iran,Philippines,91,421,A,Iran,True,Iran,330,Philippines,4.626373626373627,terminal_illness,Iran_Philippines
Iran,Philippines,920,1749,A,Iran,True,Iran,829,Philippines,1.9010869565217392,terminal_illness,Iran_Philippines
Philippines,Iran,850,21,A,Philippines,False,,829,Philippines,40.476190476190474,terminal_illness,Iran_Philippines
Philippines,Iran,1863,1704,A,Philippines,False,,159,Philippines,1.0933098591549295,terminal_illness,Iran_Philippines
Iran,Philippines,343,1620,A,Iran,True,Iran,1277,Philippines,4.723032069970846,terminal_illness,Iran_Philippines
Philippines,Iran,1147,1518,A,Philippines,True,Philippines,371,Iran,1.3234524847428073,terminal_illness,Iran_Philippines
Philippines,Iran,1670,1311,A,Philippines,False,,359,Philippines,1.2738367658276124,terminal_illness,Iran_Philippines
Philippines,Iran,806,1147,A,Philippines,True,Philippines,341,Iran,1.4230769230769231,terminal_illness,Iran_Philippines
Iran,Philippines,250,398,A,Iran,True,Iran,148,Philippines,1.592,terminal_illness,Iran_Philippines
Iran,Philippines,413,1261,A,Iran,True,Iran,848,Philippines,3.053268765133172,terminal_illness,Iran_Philippines
Iran,Philippines,465,1894,A,Iran,True,Iran,1429,Philippines,4.073118279569893,terminal_illness,Iran_Philippines
Iran,Philippines,1857,335,A,Iran,False,,1522,Iran,5.543283582089552,terminal_illness,Iran_Philippines
Philippines,Iran,509,966,A,Philippines,True,Philippines,457,Iran,1.8978388998035363,terminal_illness,Iran_Philippines
Philippines,Iran,546,1126,A,Philippines,True,Philippines,580,Iran,2.062271062271062,terminal_illness,Iran_Philippines
Iran,Philippines,641,463,A,Iran,False,,178,Iran,1.3844492440604752,terminal_illness,Iran_Philippines
Iran,Philippines,1393,1271,A,Iran,False,,122,Iran,1.095987411487018,terminal_illness,Iran_Philippines
Philippines,Iran,1472,347,A,Philippines,False,,1125,Philippines,4.24207492795389,terminal_illness,Iran_Philippines
Iran,Philippines,34,85,A,Iran,True,Iran,51,Philippines,2.5,terminal_illness,Iran_Philippines
Iran,Philippines,1136,535,A,Iran,False,,601,Iran,2.1233644859813086,terminal_illness,Iran_Philippines
Iran,Philippines,1774,781,A,Iran,False,,993,Iran,2.2714468629961586,terminal_illness,Iran_Philippines
Philippines,Iran,87,1863,B,Iran,False,,1776,Iran,21.413793103448278,terminal_illness,Iran_Philippines
Philippines,Iran,1287,1330,A,Philippines,True,Philippines,43,Iran,1.0334110334110334,terminal_illness,Iran_Philippines
Iran,Philippines,1726,864,A,Iran,False,,862,Iran,1.9976851851851851,terminal_illness,Iran_Philippines
Iran,Philippines,1907,1077,A,Iran,False,,830,Iran,1.7706592386258124,terminal_illness,Iran_Philippines
Iran,Philippines,1275,925,A,Iran,False,,350,Iran,1.3783783783783783,terminal_illness,Iran_Philippines
Iran,Philippines,371,605,A,Iran,True,Iran,234,Philippines,1.6307277628032344,terminal_illness,Iran_Philippines
Iran,Philippines,527,42,A,Iran,False,,485,Iran,12.547619047619047,terminal_illness,Iran_Philippines
Philippines,Iran,1699,1201,A,Philippines,False,,498,Philippines,1.414654454621149,terminal_illness,Iran_Philippines
Iran,Philippines,1257,1499,A,Iran,True,Iran,242,Philippines,1.192521877486078,terminal_illness,Iran_Philippines
Philippines,Iran,1473,1805,A,Philippines,True,Philippines,332,Iran,1.2253903598099118,terminal_illness,Iran_Philippines
Iran,Philippines,1821,558,A,Iran,False,,1263,Iran,3.263440860215054,terminal_illness,Iran_Philippines
Philippines,Iran,1520,843,A,Philippines,False,,677,Philippines,1.8030842230130486,terminal_illness,Iran_Philippines
Iran,Philippines,1170,1014,A,Iran,False,,156,Iran,1.1538461538461537,terminal_illness,Iran_Philippines
Iran,Philippines,158,765,A,Iran,True,Iran,607,Philippines,4.841772151898734,terminal_illness,Iran_Philippines
Philippines,Iran,1872,797,A,Philippines,False,,1075,Philippines,2.3488080301129233,terminal_illness,Iran_Philippines
Philippines,Iran,934,1671,A,Philippines,True,Philippines,737,Iran,1.7890792291220556,terminal_illness,Iran_Philippines
Iran,Philippines,838,839,A,Iran,True,Iran,1,Philippines,1.0011933174224343,terminal_illness,Iran_Philippines
Philippines,Iran,1492,1709,A,Philippines,True,Philippines,217,Iran,1.1454423592493297,terminal_illness,Iran_Philippines
Philippines,Iran,836,722,A,Philippines,False,,114,Philippines,1.1578947368421053,terminal_illness,Iran_Philippines
Iran,Philippines,202,55,A,Iran,False,,147,Iran,3.672727272727273,terminal_illness,Iran_Philippines
Philippines,Iran,200,1154,A,Philippines,True,Philippines,954,Iran,5.77,terminal_illness,Iran_Philippines
