country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Israel,Philippines,286,1823,B,Philippines,False,,1537,Philippines,6.374125874125874,terminal_illness,Israel_Philippines
Philippines,Israel,1890,138,A,Philippines,False,,1752,Philippines,13.695652173913043,terminal_illness,Israel_Philippines
Philippines,Israel,134,834,A,Philippines,True,Philippines,700,Israel,6.223880597014926,terminal_illness,Israel_Philippines
Israel,Philippines,693,1087,B,Philippines,False,,394,Philippines,1.5685425685425685,terminal_illness,Israel_Philippines
Israel,Philippines,252,787,B,Philippines,False,,535,Philippines,3.123015873015873,terminal_illness,Israel_Philippines
Philippines,Israel,599,205,A,Philippines,False,,394,Philippines,2.921951219512195,terminal_illness,Israel_Philippines
Philippines,Israel,946,1072,A,Philippines,True,Philippines,126,Israel,1.1331923890063424,terminal_illness,Israel_Philippines
Philippines,Israel,428,431,A,Philippines,True,Philippines,3,Israel,1.0070093457943925,terminal_illness,Israel_Philippines
Philippines,Israel,575,668,A,Philippines,True,Philippines,93,Israel,1.1617391304347826,terminal_illness,Israel_Philippines
Philippines,Israel,360,605,A,Philippines,True,Philippines,245,Israel,1.6805555555555556,terminal_illness,Israel_Philippines
Israel,Philippines,1671,633,A,Israel,False,,1038,Israel,2.639810426540284,terminal_illness,Israel_Philippines
Philippines,Israel,917,905,A,Philippines,False,,12,Philippines,1.0132596685082873,terminal_illness,Israel_Philippines
Philippines,Israel,1198,284,A,Philippines,False,,914,Philippines,4.21830985915493,terminal_illness,Israel_Philippines
Philippines,Israel,1601,726,A,Philippines,False,,875,Philippines,2.2052341597796143,terminal_illness,Israel_Philippines
Philippines,Israel,118,192,A,Philippines,True,Philippines,74,Israel,1.6271186440677967,terminal_illness,Israel_Philippines
Philippines,Israel,1028,1043,A,Philippines,True,Philippines,15,Israel,1.014591439688716,terminal_illness,Israel_Philippines
Israel,Philippines,1710,64,A,Israel,False,,1646,Israel,26.71875,terminal_illness,Israel_Philippines
Philippines,Israel,489,964,A,Philippines,True,Philippines,475,Israel,1.9713701431492843,terminal_illness,Israel_Philippines
Israel,Philippines,360,599,A,Israel,True,Israel,239,Philippines,1.663888888888889,terminal_illness,Israel_Philippines
Israel,Philippines,698,461,A,Israel,False,,237,Israel,1.5140997830802603,terminal_illness,Israel_Philippines
Philippines,Israel,1174,954,A,Philippines,False,,220,Philippines,1.230607966457023,terminal_illness,Israel_Philippines
Israel,Philippines,931,200,A,Israel,False,,731,Israel,4.655,terminal_illness,Israel_Philippines
Israel,Philippines,846,1213,B,Philippines,False,,367,Philippines,1.433806146572104,terminal_illness,Israel_Philippines
Israel,Philippines,1364,581,A,Israel,False,,783,Israel,2.3476764199655764,terminal_illness,Israel_Philippines
Philippines,Israel,142,1746,A,Philippines,True,Philippines,1604,Israel,12.295774647887324,terminal_illness,Israel_Philippines
Philippines,Israel,1863,577,A,Philippines,False,,1286,Philippines,3.2287694974003465,terminal_illness,Israel_Philippines
Israel,Philippines,1636,1118,A,Israel,False,,518,Israel,1.4633273703041145,terminal_illness,Israel_Philippines
Philippines,Israel,1921,1125,A,Philippines,False,,796,Philippines,1.7075555555555555,terminal_illness,Israel_Philippines
Israel,Philippines,210,732,B,Philippines,False,,522,Philippines,3.4857142857142858,terminal_illness,Israel_Philippines
Israel,Philippines,1413,846,A,Israel,False,,567,Israel,1.6702127659574468,terminal_illness,Israel_Philippines
Philippines,Israel,450,1375,A,Philippines,True,Philippines,925,Israel,3.0555555555555554,terminal_illness,Israel_Philippines
Philippines,Israel,1422,1890,A,Philippines,True,Philippines,468,Israel,1.3291139240506329,terminal_illness,Israel_Philippines
Philippines,Israel,14,711,As,neither,False,,697,Israel,50.785714285714285,terminal_illness,Israel_Philippines
Israel,Philippines,264,1758,B,Philippines,False,,1494,Philippines,6.659090909090909,terminal_illness,Israel_Philippines
Israel,Philippines,251,1188,B,Philippines,False,,937,Philippines,4.733067729083666,terminal_illness,Israel_Philippines
Israel,Philippines,409,1082,B,Philippines,False,,673,Philippines,2.645476772616137,terminal_illness,Israel_Philippines
Israel,Philippines,1058,1730,B,Philippines,False,,672,Philippines,1.6351606805293006,terminal_illness,Israel_Philippines
Philippines,Israel,1039,894,A,Philippines,False,,145,Philippines,1.162192393736018,terminal_illness,Israel_Philippines
Philippines,Israel,412,1994,A,Philippines,True,Philippines,1582,Israel,4.839805825242719,terminal_illness,Israel_Philippines
Israel,Philippines,1559,1327,A,Israel,False,,232,Israel,1.1748304446119067,terminal_illness,Israel_Philippines
Israel,Philippines,651,515,A,Israel,False,,136,Israel,1.2640776699029126,terminal_illness,Israel_Philippines
Philippines,Israel,1844,1609,A,Philippines,False,,235,Philippines,1.1460534493474208,terminal_illness,Israel_Philippines
Philippines,Israel,448,1218,A,Philippines,True,Philippines,770,Israel,2.71875,terminal_illness,Israel_Philippines
Israel,Philippines,17,435,B,Philippines,False,,418,Philippines,25.58823529411765,terminal_illness,Israel_Philippines
Philippines,Israel,483,1611,A,Philippines,True,Philippines,1128,Israel,3.3354037267080745,terminal_illness,Israel_Philippines
Philippines,Israel,611,39,A,Philippines,False,,572,Philippines,15.666666666666666,terminal_illness,Israel_Philippines
Israel,Philippines,1173,1641,A,Israel,True,Israel,468,Philippines,1.3989769820971867,terminal_illness,Israel_Philippines
Israel,Philippines,275,964,B,Philippines,False,,689,Philippines,3.5054545454545454,terminal_illness,Israel_Philippines
Israel,Philippines,1547,1537,A,Israel,False,,10,Israel,1.0065061808718283,terminal_illness,Israel_Philippines
Philippines,Israel,253,39,A,Philippines,False,,214,Philippines,6.487179487179487,terminal_illness,Israel_Philippines
